estimate	std_error	t_value	p_values	r_sq	FDR
amp24_11q14.2 	0.25599226913526	0.0856177700834177	2.98994319620619	0.00446968301776087	0.513557021964306	0.345533639567389
del35_11q14.3 	0.192227063788317	0.0665827877452332	2.88703838180881	0.00590655794132289	0.508142721348459	0.345533639567389
del60_19q13.42	-0.321610711117602	0.156483909705336	-2.05523182366292	0.0455599480523046	0.467882438517788	0.946253200728362
del39_13q11   	-0.32647738420688	0.159043171485203	-2.05275951905459	0.0458094721886547	0.467774812861041	0.946253200728362
del6_2p11.2  	-0.332466846583385	0.163261535183607	-2.0364064702043	0.047490079517386	0.467065097243344	0.946253200728362
del37_12p13.31	-0.181817071179821	0.0935682613815721	-1.94314897482566	0.058132306648415	0.463091590278787	0.946253200728362
del29_9p21.3  	-0.244941087485083	0.144439399331768	-1.69580522086269	0.0966818820526828	0.453204141170829	0.946253200728362
del34_11p15.5 	0.288602325053845	0.170556019112368	1.69212629701273	0.0973861136606094	0.453064665672785	0.946253200728362
del73_xq28    	-0.206226067416191	0.123779483030081	-1.66607633484843	0.102494683856359	0.452083718809931	0.946253200728362
amp42_21q11.2 	-0.199603255473003	0.121479619730387	-1.64310075974887	0.107181209613513	0.45122831022239	0.946253200728362
del50_17p11.2 	-0.519150007770843	0.34424851036371	-1.50806755045169	0.138375219511323	0.446391175383623	0.946253200728362
amp8_4q31.21 	0.24074374936048	0.163381019933858	1.4735111181087	0.147423913737115	0.445207069893111	0.946253200728362
del40_14q11.2 	-0.27920967632246	0.19262718935351	-1.44948216946702	0.153986826376367	0.444396968436543	0.946253200728362
amp3_2q31.2  	0.142974819162337	0.103447540477005	1.3820997435325	0.173615979362337	0.442184320088599	0.946253200728362
del2_1p36.21 	-0.16717214833895	0.132315276089472	-1.26343800413422	0.212797836549066	0.43850521307603	0.946253200728362
del42_15q11.2 	0.190039926984631	0.152216608804307	1.24848351620388	0.218171103774641	0.438061713442159	0.946253200728362
amp25_12p12.1 	-0.0909533366441523	0.0773137731321789	-1.17641828822213	0.245479923883998	0.435989296225433	0.946253200728362
del54_18p11.21	-0.18751058298529	0.16229837513154	-1.15534479524713	0.253915391632977	0.43540379534763	0.946253200728362
amp14_6q21    	-0.118206444162621	0.102547365788127	-1.15270093243397	0.254988240893405	0.435331001189848	0.946253200728362
del12_3q29    	0.109136312623795	0.0991008592134019	1.10126504946625	0.276510558207037	0.433944411761191	0.946253200728362
amp32_15q26.3 	0.126735912203634	0.116531609553139	1.08756682147982	0.282452174158947	0.433584702059352	0.946253200728362
del57_19p13.12	-0.227702815628233	0.209665819636198	-1.08602735545227	0.283125466416561	0.433544529396292	0.946253200728362
del58_19p12   	-0.109622995964577	0.101415745710361	-1.08092678505423	0.285364244694735	0.433411795124332	0.946253200728362
amp13_6p22.2  	-0.0908481948291735	0.0877267964545044	-1.03558090003079	0.305811276037344	0.432256591178922	0.946253200728362
del9_2q37.3  	0.176573977862639	0.171963704625475	1.02680957151513	0.309879500367004	0.432038323864534	0.946253200728362
del69_22q13.33	0.180887097361047	0.176426990487104	1.02528018452069	0.310592607389072	0.432000439319321	0.946253200728362
