estimate	std_error	t_value	p_values	r_sq	FDR
amp27_12q14.3 	0.700436753113572	0.218752157945332	3.20196499862012	0.00244972494722392	0.170600183080735	0.286617818825199
amp28_13q33.1 	0.988002806739297	0.335296198917033	2.94665674687166	0.00498604651083278	0.147217970353177	0.291683720883718
del11_3q21.3  	1.11001078248071	0.426737492674382	2.60115598356316	0.0123837491091072	0.116816050080787	0.482966215255181
del13_4p16.1  	-0.862656753581398	0.418101288087278	-2.06327217389801	0.0446345813668573	0.073586164645794	0.913708128719036
amp18_8q24.13 	-0.307808544211199	0.182979886370494	-1.68219879417759	0.0991636609490062	0.0470504371874431	0.913708128719036
amp11_5q22.3  	-0.699175726804223	0.416606268142448	-1.67826501968318	0.0999335607735037	0.0467975628567707	0.913708128719036
del38_12q24.33	0.73926670706758	0.441360816120922	1.67497131613296	0.100581967036231	0.0465861865725916	0.913708128719036
amp32_15q26.3 	-0.606440769633344	0.366288609494674	-1.65563644053791	0.104458384276738	0.0453518583866716	0.913708128719036
del19_6p21.33 	0.697735877458966	0.422302992454956	1.65221627581383	0.105156674874165	0.0451346784792374	0.913708128719036
del10_3p21.1  	0.859308064330659	0.522312065335596	1.64520048714275	0.106601046555995	0.0446902747814988	0.913708128719036
amp44_21q22.3 	-0.650380293101711	0.398632333465144	-1.63152920248146	0.109462232903092	0.0438285453635594	0.913708128719036
amp31_15q25.3 	-0.455307120627725	0.283547751437856	-1.6057511241718	0.11502751227625	0.0422191090628273	0.913708128719036
amp42_21q11.2 	-0.58805131049383	0.390101177274132	-1.5074328014155	0.138392502810013	0.036269312720938	0.913708128719036
amp41_20q13.2 	-0.490871773127104	0.339878241375298	-1.4442577175309	0.155300189393509	0.0326081776542803	0.913708128719036
del21_6q27    	-0.817997475085695	0.568084624925087	-1.43992186937565	0.156517563212986	0.0323616572633619	0.913708128719036
del44_16p11.2 	1.18038789978447	0.821194173923274	1.43740413323336	0.157227887293648	0.0322187907181146	0.913708128719036
del43_16p13.11	0.686142243846721	0.478219874422537	1.43478404086667	0.157969763984576	0.0320703368629508	0.913708128719036
del22_7p22.1  	-0.396750491614966	0.278297260943968	-1.42563563245003	0.160581599796359	0.0315537592014236	0.913708128719036
del23_7p11.2  	-0.677303910825727	0.494613806894133	-1.3693590865948	0.177395126645173	0.0284370528208271	0.913708128719036
amp33_16p13.13	-0.599973951893494	0.440473861874176	-1.36211022679225	0.179655865080836	0.0280432988996205	0.913708128719036
del29_9p21.3  	-0.632831166879583	0.467399389595011	-1.35394093566941	0.182230081232315	0.0276016730922293	0.913708128719036
del68_22q13.2 	-0.757707712523486	0.564828809635073	-1.34148205544443	0.186210217155401	0.0269325067166134	0.913708128719036
del47_16q23.1 	-0.475930853348469	0.363304724095686	-1.31000458233271	0.196561116449125	0.0252654144046097	0.913708128719036
del36_11q25   	0.51749472893148	0.397476421012896	1.30195076128727	0.199278136377395	0.0248443301009762	0.913708128719036
del26_8p23.1  	0.592447079356645	0.456753134692895	1.29708377317429	0.200933728646381	0.0245909490864008	0.913708128719036
amp36_17q21.2 	0.469061572856803	0.363355276705172	1.29091719022262	0.203046250826452	0.0242710846387398	0.913708128719036
amp43_21q22.11	-0.423521588008334	0.350352647855185	-1.20884369106693	0.232769360227946	0.020140271925983	0.988644085232307
del3_1p11.2  	0.652764753863896	0.544495489526267	1.19884327128555	0.236598584500039	0.0196531890021282	0.988644085232307
del12_3q29    	0.367306737602468	0.317251665966845	1.15777717504832	0.252804807414817	0.0176905422880081	0.991953646223509
del14_4q35.2  	0.861774806188551	0.773441201282948	1.11420855878776	0.270855235305139	0.0156749288595623	0.991953646223509
del2_1p36.21 	-0.460832856747956	0.425724100892713	-1.08246833050237	0.284566955407733	0.014250232019467	0.991953646223509
amp5_3q25.1  	0.451464258691497	0.432152208858333	1.04468807387143	0.301510642292491	0.0126029656462281	0.991953646223509
amp21_10q21.2 	-0.48772768922773	0.480480954409691	-1.01508225196343	0.315263825537166	0.0113493292074633	0.991953646223509
