estimate	std_error	t_value	p_values	r_sq	FDR
amp27_12q14.3 	0.372643402353081	0.111315255289538	3.34764001020178	0.00161143958899033	0.148072935698055	0.188538431911868
del39_13q11   	-0.572647439601116	0.260400618883011	-2.19910168438727	0.0328267930249839	0.0433711801321349	0.965146715126433
del46_16q22.1 	-0.464622098068942	0.225936901940669	-2.05642413469471	0.0453174285915557	0.0320331535842534	0.965146715126433
amp40_19q13.33	0.364911091213164	0.201069545132799	1.81485013542033	0.0759314418535217	0.0140340370031008	0.965146715126433
del65_21q22.3 	-0.4642088475468	0.275988239050581	-1.68198778739164	0.0992048338502083	0.00484105404216761	0.965146715126433
del67_22q11.21	0.679816064602769	0.414233452898663	1.64114235546562	0.107443894951833	0.00212283134456925	0.965146715126433
del57_19p13.12	0.552690636892658	0.339802545193354	1.62650528876459	0.110529279700796	0.00116147079033135	0.965146715126433
amp44_21q22.3 	-0.318417919228394	0.205050945009286	-1.55287223481938	0.127162151602464	-0.00357094541954606	0.965146715126433
del8_2q37.3  	-0.422485034821122	0.282848100854178	-1.49368170952979	0.141942407718686	-0.00724689662883482	0.965146715126433
amp26_12q13.11	0.500889867399941	0.340642732722125	1.47042581357089	0.14810986510413	-0.00865921328693031	0.965146715126433
amp23_11q13.1 	-0.15064746256684	0.103406837889683	-1.45684236788629	0.151808802785608	-0.00947567803153793	0.965146715126433
amp5_3q25.1  	0.302837866144177	0.219898501149966	1.37717112468015	0.174983297692296	-0.0141371245173307	0.965146715126433
amp11_5q22.3  	-0.296421563127581	0.215777741894672	-1.37373558794713	0.176040829817268	-0.0143331770358752	0.965146715126433
del37_12p13.31	-0.212420862328568	0.154746141131597	-1.37270539203897	0.176358903040338	-0.0143918855572907	0.965146715126433
amp15_7q31.2  	-0.17588303432244	0.129771461200406	-1.35532907386182	0.181790686151626	-0.0153764975943989	0.965146715126433
del43_16p13.11	-0.326926766842532	0.246107042995302	-1.32839256798016	0.190462881976651	-0.0168817208860419	0.965146715126433
del42_15q11.2 	-0.328452242635756	0.250139575885494	-1.31307587563077	0.195532399289502	-0.0177260979392302	0.965146715126433
del17_5q13.2  	-0.242934783247073	0.190399673735053	-1.27592016562551	0.208253472797568	-0.0197393664556147	0.965146715126433
amp22_10q25.1 	0.280017485400435	0.21964135918275	1.27488505098646	0.208616536137276	-0.0197947387289172	0.965146715126433
amp25_12p12.1 	0.158511869101465	0.126895849751409	1.24914935683076	0.217796060020947	-0.0211588880172942	0.965146715126433
del2_1p36.21 	0.262591246914611	0.217797296553665	1.20566807334043	0.233980376838598	-0.0234084010170452	0.965146715126433
del10_3p21.1  	-0.309019777938063	0.271889307689873	-1.13656465774131	0.261482221127803	-0.0268384895594356	0.965146715126433
del32_10q11.22	0.329359020036076	0.295096897582814	1.1161046515023	0.270051170766973	-0.0278194394541067	0.965146715126433
del36_11q25   	-0.227015382189855	0.204927001260467	-1.1077865815316	0.273591139111013	-0.0282136797129828	0.965146715126433
del20_6q25.1  	-0.408882949748374	0.387190453931809	-1.05602538904636	0.29635475519241	-0.0306071330677811	0.965146715126433
del60_19q13.42	0.262957905802421	0.255956052730823	1.02735568468452	0.309511460489224	-0.0318881130319828	0.965146715126433
amp7_4q28.1  	-0.18975227067216	0.185804865234016	-1.02124489815255	0.312366485963645	-0.0321569923684126	0.965146715126433
del55_18q23   	-0.276252468948659	0.274373853357464	-1.00684691915139	0.31916399448388	-0.0327847172808906	0.965146715126433
amp28_13q33.1 	0.186503264403781	0.185267491516312	1.00667020899001	0.319248038319694	-0.0327923708556748	0.965146715126433
amp19_9p22.3  	-0.13954970932733	0.143230499646399	-0.974301630391882	0.334894861410112	-0.0341734959280733	0.965146715126433
del33_10q26.3 	-0.268084505738009	0.276798770053814	-0.968517691339051	0.33774364245284	-0.0344159164455975	0.965146715126433
del30_9q34.13 	-0.185850537284136	0.198056540191126	-0.938371119200554	0.352851158483826	-0.0356578531397109	0.965146715126433
del26_8p23.1  	-0.221366660513818	0.236316078784806	-0.936739732870227	0.353681107932464	-0.0357240243035681	0.965146715126433
del13_4p16.1  	0.206547501438763	0.22199213083941	0.930427131167909	0.356904560056086	-0.0359790660089749	0.965146715126433
del69_22q13.33	-0.266027548261434	0.288158215777914	-0.923199595552964	0.360618592681374	-0.0362691078872126	0.965146715126433
del16_5p14.3  	-0.118710020456362	0.129545187581619	-0.916359941055858	0.364156273771621	-0.036541648968859	0.965146715126433
del28_8q24.3  	-0.112862120600534	0.123321704821934	-0.915184563524299	0.364766463084104	-0.0365882947717038	0.965146715126433
amp43_21q22.11	-0.165030406689428	0.180940393691031	-0.912070562702709	0.366386260867451	-0.0367116071935985	0.965146715126433
del70_22q13.33	0.280013927188099	0.315519544941787	0.887469355471343	0.379345332632078	-0.0376720259399541	0.965146715126433
del24_7q22.1  	-0.106809154439349	0.127354224431617	-0.838677750314441	0.405895514337619	-0.039504061351997	0.965146715126433
amp12_5q31.3  	-0.0852647984583745	0.104399455080878	-0.816716891791439	0.418210802860195	-0.0402968528585825	0.965146715126433
amp38_19q12   	0.146399866545302	0.17940921118287	0.816010870233846	0.418610461589426	-0.0403220111686677	0.965146715126433
amp41_20q13.2 	0.140195494393767	0.177037742729113	0.791896079517244	0.43239999219891	-0.0411689617376998	0.965146715126433
del14_4q35.2  	-0.30905408457002	0.399514502410004	-0.77357413236742	0.443056291018979	-0.0417963626389981	0.965146715126433
del34_11p15.5 	-0.216177342209659	0.287559487732466	-0.751765639570137	0.455940261111715	-0.0425249576584705	0.965146715126433
del21_6q27    	-0.210917120773735	0.296243554075614	-0.711972017186574	0.48000144862978	-0.0438031801376118	0.965146715126433
amp36_17q21.2 	0.129023780925316	0.188773519909559	0.683484532084429	0.497656560783998	-0.0446773500972397	0.965146715126433
del4_1q42.13 	-0.138465409548978	0.20545116588506	-0.673957769733183	0.503639466221824	-0.0449620413074114	0.965146715126433
amp9_5p15.33 	0.0812423441589294	0.121139697685764	0.670650048753394	0.505725880892351	-0.0450599882512541	0.965146715126433
amp30_14q13.3 	-0.0733508110757599	0.110272659383451	-0.665176767168524	0.509188557602878	-0.0452210424191977	0.965146715126433
amp13_6p22.2  	-0.0943461216684943	0.143547368308432	-0.657247309931716	0.514227787476864	-0.0454521164573312	0.965146715126433
del63_20q13.33	-0.141306308450075	0.217017680109204	-0.651128094167118	0.518134820850487	-0.0456286122663041	0.965146715126433
del15_5p15.33 	-0.0736573666869347	0.115046270040918	-0.640241240856718	0.525124901946968	-0.0459386832870783	0.965146715126433
del27_8q21.2  	0.0911899750434776	0.142692860737633	0.639064733666999	0.52588326987755	-0.0459718895426675	0.965146715126433
del51_17q11.2 	-0.16503564018525	0.259304728291151	-0.636454418987476	0.527567920895509	-0.0460453536205943	0.965146715126433
del7_2q14.3  	-0.159106399098066	0.253218632504212	-0.6283360648645	0.532825461202157	-0.0462719778516789	0.965146715126433
amp20_9q33.2  	0.178080366170296	0.287903177678904	0.618542551721702	0.539204074822117	-0.0465416204108455	0.965146715126433
del68_22q13.2 	0.176355334771654	0.294179996598305	0.599481055173382	0.551731258458882	-0.0470546745780029	0.965146715126433
amp24_11q14.2 	-0.0900300150788041	0.152610735233244	-0.58993238543282	0.558061667832876	-0.0473058304001213	0.965146715126433
amp1_1q21.1  	-0.0935102014737687	0.159623206524539	-0.585818337507169	0.560800323746508	-0.0474128345615608	0.965146715126433
amp33_16p13.13	0.13380401352445	0.229591045989396	0.582792821679246	0.562818638432769	-0.0474910625801226	0.965146715126433
amp21_10q21.2 	0.144443438979043	0.248324168898484	0.581672898050018	0.56356665344014	-0.047519919660338	0.965146715126433
