estimate	p_values	FDR
del73_xq28    	176	0.00826024239453486	0.897694334759706
amp32_15q26.3 	424	0.0269216604068321	0.897694334759706
del48_16q24.3 	421	0.0313879741947288	0.897694334759706
del64_21p11.2 	419	0.0351610751838451	0.897694334759706
amp42_21q11.2 	207	0.0442759536040692	0.897694334759706
del68_22q13.2 	413	0.0464324655910193	0.897694334759706
del9_2q37.3  	403	0.0731361175974907	0.942060581769406
del17_5q13.2  	401.5	0.077535584346477	0.942060581769406
amp11_5q22.3  	398	0.0904988217701815	0.942060581769406
del71_xp11.23 	225.5	0.0999269800638012	0.942060581769406
amp27_12q14.3 	226	0.102024038091624	0.942060581769406
amp19_9p22.3  	231	0.124859949685551	0.942060581769406
amp39_19q13.12	232	0.129776824671427	0.942060581769406
del69_22q13.33	388	0.134839807695577	0.942060581769406
del39_13q11   	386	0.143509477597652	0.942060581769406
amp44_21q22.3 	385	0.150927920004285	0.942060581769406
del27_8q21.2  	237	0.155288005295377	0.942060581769406
del20_6q25.1  	384	0.156597594521223	0.942060581769406
del59_19q13.2 	237.5	0.158166875574648	0.942060581769406
amp23_11q13.1 	383	0.162424238236104	0.942060581769406
amp17_8p23.1  	380	0.179228677910563	0.94768603811313
amp36_17q21.2 	241	0.180865622588312	0.94768603811313
amp9_5p15.33 	243	0.19397948911517	0.94768603811313
amp31_15q25.3 	376	0.207764766420956	0.94768603811313
del72_xp11.22 	246	0.214912973422207	0.94768603811313
del2_1p36.21 	248	0.227447270604992	0.94768603811313
del18_6p22.1  	372.5	0.231251630396751	0.94768603811313
amp8_4q31.21 	372	0.237395835208572	0.94768603811313
del62_20q13.33	371	0.24524006108924	0.94768603811313
amp1_1q21.1  	370	0.253260923978509	0.94768603811313
del23_7p11.2  	251	0.253260923978509	0.94768603811313
del14_4q35.2  	365	0.29604004169852	0.977658149559434
del70_22q13.33	362	0.323862548707894	0.977658149559434
amp33_16p13.13	361	0.33349653511902	0.977658149559434
amp14_6q21    	261	0.343310061586204	0.977658149559434
del34_11p15.5 	359	0.353302702628535	0.977658149559434
del60_19q13.42	263	0.35929099205138	0.977658149559434
del44_16p11.2 	264	0.370561287306535	0.977658149559434
amp4_3q21.3  	264	0.37382292836646	0.977658149559434
amp35_16q24.1 	357	0.37382292836646	0.977658149559434
del10_3p21.1  	266	0.395050995967026	0.977658149559434
del45_16q11.2 	353	0.416978391549028	0.977658149559434
amp37_17q23.3 	269	0.428201039723746	0.977658149559434
amp30_14q13.3 	270	0.436165684820374	0.977658149559434
del30_9q34.13 	350	0.447722621493572	0.977658149559434
del8_2q37.3  	350	0.45115635598411	0.977658149559434
del52_17q25.1 	271	0.45115635598411	0.977658149559434
amp16_7q36.1  	272	0.459483970499527	0.977658149559434
del42_15q11.2 	349	0.459483970499527	0.977658149559434
amp12_5q31.3  	349	0.462885428735296	0.977658149559434
amp2_2q24.2  	348	0.474779467908381	0.977658149559434
amp18_8q24.13 	274	0.486836306718446	0.977658149559434
amp26_12q13.11	275	0.495681864134995	0.977658149559434
del47_16q23.1 	345	0.511428980300136	0.977658149559434
del32_10q11.22	277	0.520543941453686	0.977658149559434
del29_9p21.3  	277	0.523959748476699	0.977658149559434
amp40_19q13.33	278	0.536643185066422	0.977658149559434
amp41_20q13.2 	278	0.536643185066422	0.977658149559434
del15_5p15.33 	280	0.562456346580309	0.977658149559434
del37_12p13.31	340	0.572382505358313	0.977658149559434
amp22_10q25.1 	281	0.575579860830662	0.977658149559434
del46_16q22.1 	340	0.575579860830662	0.977658149559434
del66_21q22.3 	281	0.575579860830662	0.977658149559434
del24_7q22.1  	283	0.599184180175761	0.977658149559434
del4_1q42.13 	338	0.602244192559933	0.977658149559434
del11_3q21.3  	283	0.602244192559933	0.977658149559434
del26_8p23.1  	337	0.612618404096067	0.977658149559434
del28_8q24.3  	284	0.615777978753264	0.977658149559434
del51_17q11.2 	337	0.615777978753264	0.977658149559434
del13_4p16.1  	331	0.631055564512511	0.977658149559434
del35_11q14.3 	335	0.643230229179781	0.977658149559434
del22_7p22.1  	287.5	0.661401950410338	0.977658149559434
del50_17p11.2 	288.5	0.67550618698735	0.977658149559434
amp6_3q29    	290	0.696981544794073	0.977658149559434
del43_16p13.11	331	0.699561591619056	0.977658149559434
del57_19p13.12	290	0.699561591619056	0.977658149559434
