Chromosome Arm	MDL15-1352	MDL15-2291	MDL16-2187	MDL16-2366	MDL16-2565	MDL16-2571	MDL16-3157	MDL16-3467	MDL16-3681	MDL16-372	MDL16-3785	MDL16-4031	MDL16-4342	MDL16-4473	MDL16-4671	MDL16-4853	MDL16-5150	MDL16-5262	MDL17-137	MDL17-1665	MDL17-1897	MDL17-2054	MDL17-2071	MDL17-2084	MDL17-2385	MDL17-2416	MDL17-2508	MDL17-2917	MDL17-3055	MDL17-3392	MDL17-3439	MDL17-3683	MDL17-377	MDL17-379	MDL17-3883	MDL17-5117	MDL17-5120	MDL17-5335	MDL17-681	MDL17-682	MDL17-911	MDL18-1257	MDL18-1935	MDL18-2281	MDL18-2288	MDL18-2673	MDL18-3105	MDL18-337	MDL18-339	MDL18-473	MDL18-604	MDL18-93
1p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.703	0.000	0.000	0.000	0.000	0.000	0.000	0.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.526	0.349	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.259	1.054	0.000	0.499	0.000	0.000	0.000	0.000	0.000	-0.505	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1q	0.000	0.000	0.305	0.000	0.000	1.520	0.000	0.000	0.703	1.485	0.000	0.718	0.000	0.000	0.530	0.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.526	0.349	0.000	0.000	0.000	0.000	0.000	1.312	0.000	0.000	0.000	0.000	1.054	0.423	0.499	0.000	0.000	0.000	0.000	0.000	0.000	0.911	0.000	0.000	0.603	0.000	0.000	0.000
2p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.718	0.468	0.000	0.000	0.000	0.000	0.287	0.000	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.369	0.000	0.000	0.503	0.000	0.000	0.000	0.000	0.000	0.409	0.463	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.507	0.000	0.000	0.380	0.000	0.000	0.350
2q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.478	0.468	0.000	0.000	0.000	0.000	0.287	0.000	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.369	0.000	0.000	0.503	0.000	0.000	0.000	0.000	0.000	0.000	0.463	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.507	0.000	0.000	0.000	0.000	0.000	0.350
3p	0.291	0.000	0.000	0.000	0.000	-0.055	0.000	0.000	0.224	0.552	0.000	-0.393	0.000	0.000	0.000	0.292	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.066	0.000	-0.442	0.486	0.000	0.000	0.000	0.559	0.000	0.000	0.000	0.000	0.683	0.422	0.000	0.278	0.000	0.000	-0.541	-0.512	0.503	0.000	0.000	0.000	0.673	0.000
3q	0.291	0.000	0.000	0.486	0.000	0.455	0.000	0.000	1.294	0.552	0.000	0.705	0.000	0.000	0.000	0.292	0.000	0.000	0.000	0.681	0.000	0.000	0.000	0.000	0.000	0.000	0.432	0.000	0.000	0.486	0.000	0.000	0.000	0.559	0.000	0.000	0.000	0.829	0.683	0.422	0.000	0.278	0.000	0.000	0.000	0.516	0.503	0.000	0.000	0.000	0.673	0.000
4p	0.302	0.000	0.000	0.000	0.000	-0.396	0.000	0.000	-0.417	0.000	0.000	0.268	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.000	0.000	0.363	0.664	0.061	0.000	-0.418	0.000	0.000	0.000	0.000	0.000	0.000	0.739	0.341	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.584	0.000	0.307	0.000	0.000	0.000	0.000	0.264
4q	0.000	0.000	0.000	0.000	0.000	-0.396	0.000	0.000	-0.417	0.000	0.000	0.268	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.441	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.341	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.584	0.000	0.307	0.000	0.000	0.000	0.000	0.000
5p	0.000	0.000	0.000	0.757	0.000	1.639	0.000	0.000	-0.403	0.804	0.277	0.000	0.000	0.000	0.000	0.271	0.000	0.317	0.300	0.000	0.000	0.356	0.000	0.000	0.571	0.000	0.468	0.000	0.829	0.347	0.000	0.564	0.000	0.746	0.000	-0.331	0.782	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.255	1.247	0.000	0.000	0.000	0.000	0.000	0.837
5q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.403	0.000	0.277	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.356	0.000	0.000	0.000	0.000	0.468	0.000	0.000	0.000	0.000	0.564	0.000	0.746	0.000	-0.331	-0.494	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.255	-0.408	0.000	0.000	0.000	0.000	0.000	0.000
