# Using amp_thresh=0.25, del_thresh=0.25
Sample	Low	High
X1032	-0.531000	1.032000
X103	-1.043000	1.002000
X1040	-0.548000	0.508000
X106	-0.250000	0.530000
X1097	-1.077000	1.236000
X1098	-1.543000	2.157000
X1172	-1.145000	1.847000
X1177	-1.108000	1.942000
X1192	-1.321000	1.346000
X1196	-1.175000	1.070000
X119	-0.979000	2.298000
X120	-0.920000	0.634000
X1230	-1.543000	1.424000
X1237	-0.857000	1.489000
X1265	-1.135000	1.180000
X1269	-1.202000	1.067000
X1283	-0.904000	0.828000
X128	-0.918000	1.078000
X1326	-1.035000	1.027000
X1341	-1.066000	1.072000
X1364	-0.717000	1.038000
X137	-1.117000	1.562000
X1410	-0.894000	0.950000
X1419	-1.075000	0.994000
X1471	-1.523000	1.119000
X1499	-0.919000	0.889000
X1530	-1.543000	1.076000
X1548	-1.087000	0.250000
X1552	-1.248000	1.398000
X1568	-1.209000	2.305000
X1580	-1.376000	0.855000
X1582	-1.067000	1.195000
X1593	-0.603000	1.191000
X1605	-0.730000	1.605000
X1634	-0.581000	0.250000
X1652	-0.526000	0.960000
X1677	-0.250000	0.676000
X1689	-0.968000	1.837000
X1718	-0.250000	0.655000
X1751	-0.646000	0.948000
X1851	-0.906000	1.869000
X1922	-1.025000	2.567000
X1928	-1.014000	1.613000
X1979	-0.613000	0.783000
X2090	-0.847000	1.390000
X2120	-0.896000	3.108000
X2152	-0.762000	1.378000
X2176	-0.564000	0.815000
X2212	-1.083000	1.790000
X2316	-0.585000	0.813000
X2354	-0.648000	0.702000
X2357	-0.911000	1.124000
X2360	-1.155000	1.903000
X2362	-1.437000	1.588000
X2374	-0.622000	1.568000
X23	-1.148000	0.643000
X2401	-0.703000	0.793000
X2412	-0.834000	0.250000
X2415	-0.873000	0.250000
X2429	-1.325000	1.336000
X2438	-1.055000	0.901000
X2443	-1.212000	1.115000
X2503	-0.729000	0.908000
X2529	-1.243000	1.385000
X2554	-0.880000	0.904000
X2556	-1.107000	1.290000
X2577	-0.644000	0.762000
X2587	-0.675000	0.534000
X2593	-0.773000	0.910000
X2638	-1.543000	1.447000
X2648	-0.542000	0.804000
X2665	-0.991000	1.330000
X2700	-1.056000	1.131000
X2704	-0.250000	0.747000
X2716	-0.783000	1.164000
X2763	-0.948000	0.831000
X2773	-0.602000	0.756000
X2797	-0.799000	1.580000
X2816	-0.600000	0.673000
X2825	-0.806000	0.731000
X2890	-0.772000	0.621000
X2902	-0.843000	0.867000
X2949	-1.289000	1.795000
X2991	-1.185000	0.738000
X2998	-0.883000	0.862000
X300	-0.922000	1.458000
X301	-1.122000	1.135000
X3056	-0.695000	0.737000
X3059	-0.600000	0.995000
X3080	-0.982000	0.881000
X3107	-1.105000	1.590000
X3144	-0.250000	0.531000
X3151	-1.067000	1.625000
X3225	-0.926000	1.423000
X3238	-0.741000	1.971000
X3297	-0.828000	0.936000
X3349	-0.767000	0.743000
X3391	-0.600000	1.547000
X342	-0.250000	1.076000
X356	-0.250000	0.250000
X429	-1.038000	0.250000
X451	-1.265000	0.388000
X472	-0.784000	2.692000
X544	-1.031000	0.250000
X592	-1.102000	1.177000
X603	-0.250000	0.959000
X655	-0.941000	0.943000
X736	-0.827000	0.861000
X80	-0.971000	0.782000
X860	-0.782000	0.769000
X88	-0.250000	1.067000
X935	-0.889000	1.405000
X93	-0.962000	0.250000
X94	-1.543000	0.547000
X970	-1.087000	2.532000
X987	-1.287000	2.625000
X991	-0.804000	1.227000
