Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2439	0.24	0.28	0.447	0.932	0.15	0.20	-2	1
1q	2242	0.50	0.53	8.19	1.48e-15	0.06	0.11	-3.67	1
2p	1102	0.18	0.22	-2.32	1	0.17	0.20	-2.7	1
2q	1931	0.14	0.16	-3.49	1	0.13	0.15	-3.75	1
3p	1252	0.25	0.30	0.0917	1	0.15	0.20	-2.5	1
3q	1319	0.27	0.31	0.688	0.756	0.14	0.19	-2.64	1
4p	567	0.12	0.16	-3.87	1	0.27	0.31	0.00823	1
4q	1191	0.08	0.11	-4.97	1	0.27	0.30	0.147	1
5p	355	0.22	0.29	-0.622	1	0.24	0.31	-0.0324	1
5q	1707	0.12	0.18	-2.8	1	0.31	0.36	2.19	0.0637
6p	1407	0.46	0.49	6.32	8.59e-10	0.07	0.13	-3.73	1
6q	1013	0.13	0.23	-1.58	1	0.45	0.51	6.33	9.92e-10
7p	740	0.52	0.54	7.26	1.95e-12	0.04	0.08	-4.93	1
7q	1491	0.55	0.57	8.75	0	0.04	0.08	-4.43	1
8p	620	0.26	0.36	1.46	0.263	0.29	0.39	2.27	0.0582
8q	1037	0.47	0.53	6.89	2.31e-11	0.11	0.21	-2.12	1
9p	541	0.06	0.15	-2.93	1	0.63	0.67	11.1	0
9q	1321	0.10	0.20	-2.17	1	0.49	0.55	7.76	4.44e-14
10p	518	0.04	0.08	-4.71	1	0.55	0.57	8.16	1.48e-15
10q	1483	0.02	0.05	-4.87	1	0.60	0.61	10.3	0
11p	977	0.12	0.18	-3.04	1	0.32	0.37	2.06	0.0788
11q	1785	0.07	0.11	-4.2	1	0.41	0.44	4.95	2.43e-06
12p	647	0.21	0.25	-1.64	1	0.14	0.18	-3.47	1
12q	1708	0.10	0.13	-4.3	1	0.22	0.24	-1.24	1
13q	857	0.22	0.29	-0.24	1	0.24	0.30	0.12	1
14q	1564	0.15	0.20	-2.35	1	0.27	0.32	0.881	0.54
15q	1547	0.25	0.30	0.386	0.932	0.18	0.24	-1.35	1
16p	1024	0.20	0.26	-1.13	1	0.21	0.26	-1.01	1
16q	815	0.18	0.26	-1.18	1	0.30	0.36	1.8	0.12
17p	779	0.11	0.18	-3.11	1	0.38	0.43	3.85	0.000344
17q	1882	0.27	0.33	1.37	0.283	0.18	0.24	-1.12	1
18p	176	0.22	0.29	-0.749	1	0.22	0.29	-0.749	1
18q	505	0.18	0.25	-1.63	1	0.27	0.33	0.63	0.661
19p	1111	0.27	0.36	1.85	0.129	0.27	0.37	1.97	0.0897
19q	1925	0.26	0.35	1.91	0.126	0.25	0.34	1.66	0.149
20p	455	0.45	0.50	5.75	2.48e-08	0.11	0.21	-2.42	1
20q	930	0.55	0.57	8.54	0	0.04	0.09	-4.35	1
21p	13	0.20	0.26	-1.58	1	0.23	0.29	-0.752	1
21q	616	0.21	0.27	-0.907	1	0.22	0.28	-0.787	1
22q	1075	0.39	0.49	5.38	1.91e-07	0.20	0.33	0.726	0.624
