estimate	std_error	t_value	p_values	r_sq	FDR
19q	2.64672568112442	0.986268819353811	2.68357432495789	0.0122871250967109	0.140288872275784	0.528346379158567
17q	-1.80386831371662	0.963625488234551	-1.87195994267594	0.0720823438053688	0.0360855714715642	0.937854930680211
17p	-1.17001067915829	0.754469351434486	-1.55077297299582	0.132599808008387	4.84784546622707e-05	0.937854930680211
6p	-1.53958228261455	1.00993066963052	-1.52444353747352	0.139026809158532	-0.00271257011011938	0.937854930680211
5q	-1.69061206910292	1.14872943748914	-1.47172346588264	0.152656418903405	-0.00814309793616141	0.937854930680211
2q	1.74866678485977	1.25029917007312	1.39859869278926	0.173315395829484	-0.0154507458384578	0.937854930680211
19p	1.1728183209372	0.942841414388271	1.2439189698706	0.224221043740806	-0.029990082230068	0.937854930680211
3p	-1.10480909727583	0.97943309391631	-1.12800874724194	0.26924046822255	-0.0400060633899537	0.937854930680211
10q	1.26287406775332	1.26823236753689	0.995774985782787	0.328200515099622	-0.0504403146143604	0.937854930680211
14q	-0.972324235106858	0.990731455802855	-0.981420575083002	0.335098325054328	-0.0515064680698825	0.937854930680211
8q	-0.558918782332201	0.576687998878567	-0.969187469513982	0.341054108563251	-0.0524045227564227	0.937854930680211
22q	1.04923369751358	1.14652963747977	0.915138748458298	0.368219998579679	-0.056254820520403	0.937854930680211
Xp	0.446585240010895	0.505463212126713	0.883516800623153	0.384756717121032	-0.0584173581449083	0.937854930680211
13q	-0.642526196891994	0.7659329877443	-0.838880433632004	0.408902382083761	-0.0613546088559025	0.937854930680211
9q	-1.50161926333176	1.95006241153574	-0.770036514959125	0.447963640118819	-0.0656151178608277	0.937854930680211
Xq	0.356035364098524	0.475164188063808	0.749289136349461	0.460161822922536	-0.06683386234333	0.937854930680211
11q	-0.343070207699439	0.467156105776769	-0.734380228486995	0.469047363333771	-0.067690755411123	0.937854930680211
4p	-0.734791014344667	1.00806155741187	-0.728914825629494	0.47232964024661	-0.0680009059802489	0.937854930680211
12p	0.598433771224074	0.839032431919969	0.713242716797812	0.481815352146321	-0.0688783945317581	0.937854930680211
15q	0.711915898502685	1.01579285677373	0.700847514092397	0.489394604124138	-0.0695598940581161	0.937854930680211
3q	-0.506278829549131	0.726721117117243	-0.696661783487781	0.491969279530352	-0.069787524327642	0.937854930680211
22p	0.501112663883599	0.900330438768634	0.556587495330005	0.582393640349624	-0.076664144889502	0.937854930680211
7q	0.36993923267526	0.759275721293107	0.487226474257894	0.630030291404763	-0.0795260376067648	0.937854930680211
12q	-0.526206675603815	1.15292079587368	-0.456411817261965	0.651744251497072	-0.0806797416649003	0.937854930680211
11p	-0.20517947139557	0.473368771761249	-0.433445304455055	0.668134700881561	-0.0814920802584806	0.937854930680211
18q	0.474377639448304	1.1290068369731	0.420172512613053	0.677684522995436	-0.0819429539093046	0.937854930680211
20q	-0.518191647348795	1.30827244668124	-0.396088481923865	0.695152609828902	-0.0827261718162522	0.937854930680211
21q	0.392300640438825	1.11064909704826	0.353217448680624	0.726668374886998	-0.0840084309757867	0.937854930680211
6q	-0.421192572274106	1.24386440725292	-0.338616146436982	0.737518170386957	-0.0844122824948519	0.937854930680211
4q	-0.398269815602547	1.19164698949314	-0.334217951385039	0.740797318248771	-0.0845306466300955	0.937854930680211
20p	-0.339671562192378	1.28910249878958	-0.263494611569925	0.794169942638735	-0.0862242740366186	0.937854930680211
1q	-0.130945181327274	0.504188815425603	-0.259714569861568	0.797054135358514	-0.0863036417891176	0.937854930680211
21p	-0.156935719991156	0.642621979506236	-0.244211566046557	0.808913240755557	-0.0866172677246269	0.937854930680211
7p	0.168562130763437	0.772772979515681	0.218126325883029	0.828970913724955	-0.0871017774856193	0.937854930680211
2p	0.257442908636827	1.18374823133486	0.217481134773499	0.829468576113398	-0.08711307362397	0.937854930680211
18p	-0.117588656053885	0.542386115805231	-0.21679879448852	0.829994971840826	-0.0871249840243495	0.937854930680211
5p	0.113192845318387	0.525823337559906	0.215267823302899	0.831176342252524	-0.087151572209835	0.937854930680211
8p	-0.12558114768677	0.587524153828216	-0.213746357266339	0.832350777436518	-0.087177809923132	0.937854930680211
16p	-0.280355560705501	1.47437757635363	-0.190151807245241	0.850612611547168	-0.0875610219998333	0.937854930680211
10p	0.0789809688210407	0.520782090802302	0.151658381146258	0.880583907058588	-0.0880905533041882	0.938116880514687
9p	-0.179261737466866	1.33888552515086	-0.133888770996063	0.894483537234934	-0.0882949005373199	0.938116880514687
16q	0.0730352543862581	1.75594178787942	0.04159320934805	0.967129044752145	-0.0889476828037483	0.990155926770053
1p	-0.0073872540422763	1.33121057221891	-0.00554927537118563	0.995613140766368	-0.0890162138575608	0.995613140766368
