estimate	p_values	FDR
5q	90	0.00902040174411821	0.259281142458895
4q	99	0.0132689960691365	0.259281142458895
19q	228	0.0189717909116265	0.259281142458895
15q	214.5	0.0524216775174474	0.537322194553836
16q	205	0.0776276077742417	0.586674858534114
8q	108	0.127895152243412	0.586674858534114
21p	101	0.132955350131583	0.586674858534114
13q	200	0.138665484438591	0.586674858534114
17q	117	0.158461248997653	0.586674858534114
3q	112.5	0.159882823266145	0.586674858534114
7q	111.5	0.163673327933213	0.586674858534114
12p	197	0.209807367717804	0.586674858534114
4p	121	0.216500892387672	0.586674858534114
20p	193.5	0.222933892412564	0.586674858534114
8p	116	0.239977894728815	0.586674858534114
10q	184	0.240037691829377	0.586674858534114
Xq	114	0.243255429148291	0.586674858534114
5p	121.5	0.277179227945425	0.621261830588328
19p	193.5	0.2897196107411	0.621261830588328
9p	127	0.303054551506501	0.621261830588328
7p	126.5	0.37341967457577	0.639572982533107
1p	178.5	0.381409103045595	0.639572982533107
22q	187.5	0.389291515631378	0.639572982533107
9q	136	0.393114404654106	0.639572982533107
3p	131	0.403148041507612	0.639572982533107
12q	134	0.417404321500087	0.639572982533107
1q	182	0.421182208009607	0.639572982533107
16p	178.5	0.456547884309274	0.659277847590525
Xp	131	0.482342174584727	0.659277847590525
17p	135	0.494258638252516	0.659277847590525
22p	183	0.498478372568446	0.659277847590525
21q	142	0.585914184883856	0.738919457814648
2p	172	0.599159508400827	0.738919457814648
10p	173	0.615152387855701	0.738919457814648
14q	172	0.630784903012505	0.738919457814648
20q	167	0.725761693960427	0.803086424102136
6p	166.5	0.757549010029877	0.803086424102136
11p	148	0.76292691336946	0.803086424102136
11q	149	0.763911476584959	0.803086424102136
18p	165	0.792701048524229	0.812518574737334
18q	155	0.937868895756442	0.937868895756442
