estimate	std_error	t_value	p_values	r_sq	FDR
3p	0.513519648930298	0.282969629346989	1.8147518167068	0.0759467996802888	0.175035761736054	0.997179254744102
14q	0.539016388615772	0.313676216714537	1.71838462686608	0.0923083170453487	0.169412808230776	0.997179254744102
12p	0.457528054770657	0.269012465552111	1.70076897303493	0.0955948969521927	0.168410119023496	0.997179254744102
3q	0.382319469350767	0.230956484523974	1.65537447514742	0.104511734666222	0.165863025824538	0.997179254744102
8p	-0.249630891340565	0.159735907491351	-1.56277254914698	0.124815070257284	0.160835376522652	0.997179254744102
13q	0.359058565316747	0.270606844965479	1.32686431255111	0.190964174027049	0.149103573133706	0.997179254744102
10q	-0.546985231117543	0.445973686931709	-1.22649664575682	0.22612104614799	0.144607818980913	0.997179254744102
1q	0.217790851939487	0.179485697069797	1.21341619691732	0.231033714005404	0.144044612165475	0.997179254744102
8q	-0.175948794169609	0.149895534787682	-1.17380944281516	0.246385264007101	0.142371721797004	0.997179254744102
22q	-0.37831682638418	0.363100667041901	-1.0419061729251	0.302785135836448	0.137159127577817	0.997179254744102
4p	-0.336843588547217	0.328105073075034	-1.02663328363163	0.309848043661501	0.136591862045569	0.997179254744102
9q	-0.401057051697822	0.396454903279699	-1.01160825198541	0.316905118353173	0.136041263934575	0.997179254744102
5p	0.178309654774101	0.191055956466004	0.933284981386217	0.355442874457379	0.133292060415763	0.997179254744102
9p	-0.231523857055429	0.282416138365478	-0.819796837374116	0.416470047524607	0.129674952443591	0.997179254744102
Xq	-0.120177215170991	0.159353329988614	-0.754155656361735	0.454517760735718	0.127784665465356	0.997179254744102
2p	0.27602847303157	0.397404086764207	0.694578848645175	0.490738721288562	0.126199200226753	0.997179254744102
6p	0.206192030206229	0.329092643339573	0.626547066241984	0.533987706275777	0.124542063589436	0.997179254744102
18p	0.123848999431317	0.197696869591078	0.626459081964677	0.534044900428148	0.124540027089561	0.997179254744102
7p	-0.0844823613906117	0.135826079172492	-0.6219892520296	0.536954707710701	0.124436931558786	0.997179254744102
Xp	-0.0978977949959079	0.164789309216126	-0.594078556804388	0.55530843693951	0.123809351651259	0.997179254744102
7q	0.144864170886478	0.274455636355373	0.527823632300644	0.600104970421496	0.122431802241702	0.997179254744102
16p	0.219221424913148	0.432117197462325	0.507319371227435	0.614303072525281	0.122037657465437	0.997179254744102
5q	-0.179567950361587	0.362348490979154	-0.495566988222721	0.622509242390882	0.121818633164162	0.997179254744102
17q	0.111167162333629	0.242385412437037	0.458638006371384	0.648608016153442	0.121163158320971	0.997179254744102
11p	-0.077831575476199	0.175758341629849	-0.442832896319164	0.659918114104742	0.120897849694903	0.997179254744102
1p	0.124787363200569	0.324364435084128	0.384713457158779	0.702185096773459	0.120001061731257	0.997179254744102
20p	0.113090499983808	0.318724741251628	0.354821842633563	0.7243103187568	0.119588270193096	0.997179254744102
20q	0.107329180976198	0.359421957372673	0.298616093910232	0.766549303115518	0.118901597381491	0.997179254744102
17p	-0.0821675231791504	0.287354218882282	-0.285945073292316	0.776176749932065	0.118762981420071	0.997179254744102
19q	0.0843547546801887	0.306904653764078	0.274856551197928	0.784631094375238	0.118646574099019	0.997179254744102
21p	-0.0602645449753705	0.219603211999876	-0.274424697282682	0.784960896212545	0.118642133019464	0.997179254744102
21q	0.0955127079551873	0.369961542620083	0.258169287755593	0.797403434473221	0.118480014302866	0.997179254744102
22p	-0.0767850109657236	0.300966691521109	-0.255127936509008	0.799737426231642	0.118450774882256	0.997179254744102
12q	0.0928904952975429	0.383487712451062	0.242225480195528	0.809659320175232	0.11833056383159	0.997179254744102
15q	-0.0544298580998811	0.321008714005883	-0.169558817954342	0.866084823562232	0.117769583876495	0.997179254744102
18q	0.0589651392332287	0.358042286912739	0.164687639947958	0.869896109841837	0.11773903927672	0.997179254744102
6q	0.0510692848912988	0.391909842981238	0.130308758011326	0.896878286891072	0.117548734017431	0.997179254744102
16q	-0.0519853913070525	0.43022973208239	-0.120831703228491	0.904339435710013	0.117504060714752	0.997179254744102
19p	0.0339700437202139	0.301280927564343	0.112752055016689	0.9107073451361	0.117468633868292	0.997179254744102
2q	-0.0203621716302624	0.434351256916246	-0.0468795043321095	0.962807896832871	0.117271193832444	0.997179254744102
4q	0.0170683909261616	0.467330381646192	0.0365231784546885	0.971019883606432	0.117254971890464	0.997179254744102
11q	0.00571022169826202	0.176792715225218	0.0322989648696085	0.974370410451337	0.117249511774767	0.997179254744102
10p	-0.000706748502384496	0.198852133699305	-0.00355414090478509	0.997179254744102	0.117230155292791	0.997179254744102
