estimate	p_values	FDR
12q	453	0.00104743486514417	0.0429448294709111
12p	449	0.00374465401220796	0.0767654072502631
19p	190.5	0.00695328280357292	0.0950281983154966
4p	416.5	0.0207704521359954	0.212897134393953
18q	240	0.0297233679463022	0.243731617159678
19q	236	0.0496056752664642	0.305795062737315
4q	383.5	0.0591378530930266	0.305795062737315
18p	248	0.0596673293145981	0.305795062737315
3q	392.5	0.110632291473258	0.503991550044842
22q	254	0.179910452767388	0.699510894424741
Xp	250	0.18767365460176	0.699510894424741
5p	375	0.241840120972887	0.826287079990696
10q	355	0.274074433650311	0.864388598435595
21p	368.5	0.366239592418261	0.89089757471259
9q	351	0.384217408014046	0.89089757471259
14q	356	0.392547347667778	0.89089757471259
15q	285	0.406017601938264	0.89089757471259
7p	360.5	0.412814880134014	0.89089757471259
7q	357	0.433117837960695	0.89089757471259
17p	286	0.465250876277868	0.89089757471259
22p	355	0.512255530879887	0.89089757471259
11q	295	0.518728041966223	0.89089757471259
20q	343.5	0.529423852166858	0.89089757471259
Xq	288.5	0.55506690587613	0.89089757471259
1p	300.5	0.569257310931414	0.89089757471259
11p	343	0.596773508460911	0.89089757471259
2q	339	0.597640209717171	0.89089757471259
1q	340	0.646588541525395	0.89089757471259
17q	339	0.647245940125954	0.89089757471259
5q	337	0.651876274179944	0.89089757471259
16q	334.5	0.71230477182469	0.919805838381104
9p	304.5	0.717897239712081	0.919805838381104
13q	309	0.795084312855305	0.92174875016312
8q	332	0.8020651915451	0.92174875016312
21q	310	0.808740181495829	0.92174875016312
8p	307.5	0.809340365996886	0.92174875016312
2p	327	0.864063373281524	0.954671546414862
6q	326	0.88481753082353	0.954671546414862
6p	315.5	0.918822982630719	0.965942109945115
16p	322.5	0.959357213327548	0.973006884864415
3p	318	0.973006884864415	0.973006884864415
