estimate	std_error	t_value	p_values	r_sq	FDR
Xq	-0.677583636273079	0.303680811795818	-2.23123625185992	0.0306924701929964	0.0850899718980662	0.68887909698623
10q	-1.65505386532979	0.891520116336896	-1.85644029226185	0.0699450802072264	0.0561572985057192	0.68887909698623
1p	-1.10552257526026	0.620103679525387	-1.78280279856814	0.081365047944086	0.0509073210146576	0.68887909698623
7p	-0.451246348502884	0.262465281003053	-1.71926110294807	0.0924394734742789	0.0465032955920601	0.68887909698623
7q	-0.951172011816859	0.560993288896944	-1.69551406521655	0.0968874585844361	0.0448882526606212	0.68887909698623
20q	-1.08891091120041	0.696250632309555	-1.56396398174655	0.124832021862538	0.0362566006539109	0.68887909698623
Xp	-0.498815827849389	0.323276685230757	-1.54299969851934	0.129834682386017	0.0349317260309618	0.68887909698623
10p	-0.576837720750667	0.384262207113385	-1.50115652820486	0.140299811438396	0.0323302738742829	0.68887909698623
15q	0.921504384717175	0.620016358516333	1.48625818022332	0.144183997043629	0.0314179767229398	0.68887909698623
2p	-1.06811461518884	0.805800009486149	-1.32553313801767	0.191684742626548	0.0220562481316698	0.754822013218551
19p	-0.776989327211704	0.624027934422323	-1.24511946397236	0.21953287965367	0.0177135016449573	0.754822013218551
5p	-0.503754553681244	0.41667350129672	-1.20899109761845	0.232980390845928	0.0158389996548179	0.754822013218551
21q	-0.850435603465677	0.720330262979576	-1.18061901210138	0.243957016896614	0.0144007842408774	0.754822013218551
22p	0.69158315821738	0.588051835899081	1.17605815677798	0.245756004303714	0.0141723891059018	0.754822013218551
9p	-0.581814631616998	0.565038505255486	-1.0296902356308	0.308658326219898	0.00726241452428222	0.884820535163707
8q	-0.295371642564098	0.304736770089761	-0.969268140753398	0.337592421269897	0.00465237002120322	0.907279632162847
19q	-0.488151616295689	0.697699018317056	-0.699659313658168	0.487741310205984	-0.00519306631888128	0.926557721923355
11q	0.228758816842113	0.354190909712163	0.645863037614421	0.521648156128949	-0.00679510441995812	0.926557721923355
21p	-0.259608622846749	0.43301874092705	-0.599532071731936	0.55182500741212	-0.00807581776076849	0.926557721923355
13q	0.316683087957249	0.555951199804217	0.569623895170605	0.571765619411299	-0.00885353698704749	0.926557721923355
9q	0.467345035020543	0.843783201637168	0.553868617097102	0.582410714358022	-0.00924768675029086	0.926557721923355
6q	0.428371537693182	0.787762647846047	0.543782494466403	0.589275278421535	-0.00949436414812199	0.926557721923355
20p	-0.295882833395425	0.62982029927252	-0.469789293449556	0.640774236877235	-0.0111685857006081	0.926557721923355
3p	-0.239208215783197	0.6005671683923	-0.398303850714235	0.692289777247966	-0.0125581114364635	0.926557721923355
16p	-0.357014594305195	0.914216093765031	-0.390514449198653	0.697998782626048	-0.0126959019152038	0.926557721923355
12p	0.228768444526817	0.626048856016227	0.365416280739738	0.716512745128073	-0.0131216020523028	0.926557721923355
2q	-0.316000686687639	0.948546911243005	-0.333141864616418	0.740574431890052	-0.013627939718073	0.926557721923355
3q	-0.15374849110193	0.47314781051577	-0.324948119139199	0.74672626618683	-0.0137491155312457	0.926557721923355
5q	0.240097017642175	0.743915455499268	0.322747720681562	0.748381182021517	-0.0137811476945555	0.926557721923355
11p	0.11364460866659	0.355376757050901	0.319786273051934	0.750610373129882	-0.0138239183633679	0.926557721923355
17p	0.187332969582197	0.594818043057328	0.314941639327746	0.754261744360925	-0.0138930445107803	0.926557721923355
22q	0.216902142457052	0.738201605707573	0.29382507539949	0.77024255789727	-0.0141821267285889	0.926557721923355
14q	-0.173728981102246	0.649953142793961	-0.267294624279275	0.790463583513398	-0.0145171034347917	0.926557721923355
18q	0.177070339893553	0.708202261153542	0.250027922256468	0.803703693450032	-0.0147182046789613	0.926557721923355
4q	0.19822282140691	0.922821718914248	0.214800776080705	0.830893140962974	-0.0150870618835799	0.926557721923355
18p	0.0815506136578081	0.39124591618826	0.208438248895529	0.8358273873275	-0.0151477476771362	0.926557721923355
4p	0.129913182454426	0.655618251131022	0.198153700313116	0.843817283229733	-0.0152419978099703	0.926557721923355
1q	-0.058854583566935	0.368976132724402	-0.159507833561947	0.873982582252921	-0.0155536619747338	0.926557721923355
6p	0.0919927712765475	0.680134025562459	0.135256828535333	0.893012030841777	-0.0157149191314203	0.926557721923355
8p	-0.0333045161371124	0.327214654401254	-0.101781859978288	0.919382007899534	-0.0158939792067159	0.926557721923355
17q	0.0491275528446217	0.491431512551054	0.0999682592383978	0.920813571499326	-0.0159022375877904	0.926557721923355
16q	0.086875818645201	0.893140273504894	0.0972700719275369	0.922943871950335	-0.0159142494824536	0.926557721923355
12q	0.0703308919484097	0.758738561855111	0.0926945004303605	0.926557721923355	-0.0159338686051118	0.926557721923355
