estimate	std_error	t_value	p_values	r_sq	FDR
8p	0.547571108002776	0.217743568863301	2.51475215025313	0.0153914894423494	0.0948272239640754	0.352022868560929
8q	0.484472247766419	0.203358310753911	2.38235775056517	0.0212998079595651	0.0836860431337725	0.352022868560929
1q	0.56770720693337	0.244389313836457	2.32296248154808	0.0245597350158788	0.0787985526434481	0.352022868560929
16q	-1.05353557481536	0.589445090034166	-1.78733455011779	0.0803327266215031	0.0383936241897882	0.617124334310873
Xq	0.391555911540806	0.219644574565296	1.7826796419431	0.081098070683717	0.0380751564034278	0.617124334310873
10q	-1.08930859384052	0.621371463455584	-1.75307148445896	0.0861103722294241	0.0360640810286412	0.617124334310873
3p	0.658721690687943	0.403088447467645	1.63418647898813	0.108901251941969	0.0282491632313168	0.634840166398696
4p	-0.706717919018718	0.458207298062116	-1.54235413099621	0.129694390831929	0.0225084745271352	0.634840166398696
17q	0.513334061080665	0.33564857782432	1.52937952071212	0.132873523199727	0.0217188865619543	0.634840166398696
4q	-0.935938724077338	0.647345097131567	-1.4458110955417	0.154865857803397	0.0167641065171498	0.665923188554607
5p	0.355950306511463	0.267978991946503	1.32827690680515	0.190500785664669	0.0101899505387393	0.682959188987516
22q	0.657712139903113	0.510996763453284	1.28711605814944	0.204356718779864	0.00800001784332527	0.682959188987516
16p	-0.761886957347188	0.603246695622675	-1.26297742345818	0.212827201820975	0.00674344438964425	0.682959188987516
Xp	0.27699583801249	0.230645493660348	1.20095924536206	0.235784553594399	0.00361026542554699	0.682959188987516
17p	-0.479151948099683	0.401102047570118	-1.19458863648887	0.238241577553785	0.00329626726781573	0.682959188987516
3q	0.367996476063218	0.332038199304901	1.1082956022337	0.273373576090974	-0.000810610772617348	0.7321803240357
18p	-0.287627572291125	0.277885671715364	-1.03505722520929	0.305938636738729	-0.00407873097367517	0.7321803240357
14q	0.467998772588394	0.45267312673297	1.03385587734362	0.306494089131223	-0.0041306486198831	0.7321803240357
5q	0.499324750906913	0.509112439319361	0.980774996530171	0.331725519333141	-0.00636951034780608	0.743884141799635
13q	-0.367913863386163	0.386484577264306	-0.951949663788414	0.345992624092853	-0.00753984480176317	0.743884141799635
2q	0.54283863785145	0.609782934822188	0.890216184894943	0.377884122621056	-0.00993730881655974	0.768125351762501
21q	0.447190565734026	0.52003107359084	0.859930470396996	0.394192625943717	-0.0110586273348112	0.768125351762501
10p	-0.231894484011566	0.279464826535942	-0.82978057341231	0.41085774629157	-0.0121387190285598	0.768125351762501
19q	-0.328871269197492	0.432163354675995	-0.760988329156357	0.450465330485396	-0.0144666513874763	0.781604758755938
18q	-0.380150682925568	0.503966235315313	-0.754317762355094	0.454421371369731	-0.0146822157197108	0.781604758755938
12q	-0.348106262298626	0.540843579557632	-0.643635748774813	0.522940069458913	-0.0179934567011939	0.864862422566663
15q	-0.277005238239911	0.452774621271593	-0.611794975305719	0.543621706672763	-0.0188524279070945	0.865767903219585
9q	-0.315052925300644	0.565452918704338	-0.557169155696546	0.580055728613345	-0.0202275886702317	0.868641555290324
11q	-0.136883178758358	0.249481114036355	-0.548671506807569	0.585828025660917	-0.0204302718494214	0.868641555290324
7p	-0.0885642303982775	0.192638823024888	-0.459742376991348	0.647820809673814	-0.0223685658594635	0.928543160532466
20q	-0.171993405126385	0.508678703657363	-0.33811795911597	0.736780012722058	-0.0244742933955582	0.977840882317547
22p	-0.112041746236154	0.426044112521239	-0.26298156210425	0.793714226825017	-0.0254573111722085	0.977840882317547
9p	-0.102274330447945	0.40237333519692	-0.254177703892562	0.800467032914873	-0.0255565131899205	0.977840882317547
6q	-0.128676807973701	0.554588596669771	-0.232022094840009	0.817528158555153	-0.0257912942432308	0.977840882317547
21p	-0.0716555085844064	0.310953934517421	-0.230437697132248	0.818751770657093	-0.0258072680688239	0.977840882317547
2p	-0.122222458239874	0.565182705509138	-0.216253004645235	0.829726402930614	-0.0259454218703756	0.977840882317547
12p	-0.0789172751592155	0.392201758824143	-0.201216015440157	0.841397968505796	-0.0260823326302544	0.977840882317547
7q	0.0582915359962501	0.389589298315064	0.149623042132716	0.881702248788032	-0.0264773134716851	0.981278709933338
20p	-0.0536700997662398	0.451737736715354	-0.11880809461809	0.905933747350599	-0.0266579125000945	0.981278709933338
1p	-0.0329017119266815	0.459882854876425	-0.0715436802607535	0.943268638329592	-0.0268544166915718	0.981278709933338
6p	0.027704182617745	0.467803038577453	0.0592218953985227	0.953026462660356	-0.0268896169346511	0.981278709933338
19p	0.022337247215703	0.426552611591425	0.0523669217083561	0.958458274818609	-0.0269063288809703	0.981278709933338
11p	-0.00408202215640535	0.249329546087098	-0.0163719952988619	0.987006924681813	-0.0269603886855203	0.987006924681813
