estimate	std_error	t_value	p_values	r_sq	FDR
13q	1.47023416120973	0.607298090447435	2.42094316503864	0.0193959657384139	0.101694822983578	0.834026526751798
2q	-1.64577257826569	0.986158264499234	-1.66887267238125	0.101791695398866	0.0461956506265356	0.909523749476611
15q	-1.0568484603279	0.734311980281551	-1.43923630378832	0.156710731202511	0.0323227349052183	0.909523749476611
1p	1.06386666465216	0.743092802298834	1.43167402693308	0.158853910258633	0.0318944167659878	0.909523749476611
16p	-1.31124147736281	0.994243836221218	-1.31883289550619	0.193615091831475	0.0257295537409129	0.909523749476611
3q	0.704560904041758	0.545582103822994	1.2913929894415	0.202882661406363	0.0242957178211047	0.909523749476611
2p	1.03873306207034	0.920973531708638	1.12786418535094	0.265102112391211	0.0162992440278795	0.909523749476611
18q	0.93045389108609	0.825787212462296	1.12674775904038	0.265569176884466	0.0162479470798764	0.909523749476611
21q	-0.915275705078956	0.854724697906971	-1.07084270212416	0.289708529958803	0.0137376972615345	0.909523749476611
5q	-0.891480055717754	0.838877235395557	-1.06270621981701	0.293345175312823	0.0133819662094568	0.909523749476611
6p	0.77940378287656	0.763768805695912	1.02047082450088	0.312729415597301	0.0115750563220143	0.909523749476611
9q	0.937189735619032	0.926380810575863	1.01166790689074	0.316876885635375	0.0112068678962574	0.909523749476611
10p	0.454460411811498	0.459897757520066	0.988177055400555	0.328126092169099	0.010238652415723	0.909523749476611
8p	-0.373251972909255	0.378932669329409	-0.98500869183381	0.329663571475633	0.0101096607771608	0.909523749476611
5p	-0.437380957321107	0.446011508845409	-0.980649486945654	0.331786777645989	0.00993280956620923	0.909523749476611
22q	-0.754039458915289	0.851109347952809	-0.885948980267925	0.380155655346196	0.00627031369375886	0.909523749476611
7q	0.559428178162148	0.638011396519545	0.876831011505311	0.385038316969142	0.00593594943486209	0.909523749476611
18p	0.393816720193416	0.460305301606517	0.855555473332485	0.396584356876922	0.00516835767542989	0.909523749476611
16q	-0.844137686122224	0.997890699469572	-0.845921989824061	0.401882586978037	0.00482661524334094	0.909523749476611
20q	-0.630733548436795	0.835595137274809	-0.754831521032848	0.454115965415736	0.0017761569229352	0.910928071392778
21p	0.37961143178115	0.510556012314776	0.743525534172157	0.46086441452696	0.00142054577881157	0.910928071392778
3p	0.436922613028419	0.68100270519394	0.641587191498732	0.524258021061758	-0.00155331333314046	0.910928071392778
20p	-0.463118360965146	0.742683611584598	-0.623574229646769	0.535921964918747	-0.00203496051050522	0.910928071392778
Xp	-0.211591066092635	0.385266024763366	-0.549207696740443	0.585462989477523	-0.00388253337325772	0.910928071392778
11p	-0.22329139367263	0.41025323397003	-0.544276985977255	0.588823900398828	-0.00399697355443851	0.910928071392778
22p	0.325794053963976	0.702138546081141	0.464002518850926	0.644787950709895	-0.00571808120953987	0.910928071392778
Xq	-0.164404371029201	0.373833016383823	-0.439780232948722	0.662111972759125	-0.00618460533222986	0.910928071392778
17p	0.271326265057147	0.670867726469455	0.404440777744733	0.687723304236233	-0.00682108858688868	0.910928071392778
4q	-0.427920455097653	1.09022429846529	-0.392506804058612	0.696458243107999	-0.00702415964430414	0.910928071392778
10q	-0.399361943861534	1.05703216918469	-0.377814370748594	0.707269431791702	-0.00726592306912011	0.910928071392778
17q	0.192457032417074	0.566944704648201	0.339463497655379	0.735772842152963	-0.00785401532697838	0.910928071392778
1q	0.139716327094326	0.42542856810249	0.328413128712754	0.744058059349385	-0.0080119135789245	0.910928071392778
8q	-0.1135415057229	0.354966250006532	-0.319865637143842	0.750487798569473	-0.00813049697921575	0.910928071392778
6q	0.281601841555645	0.915005593950789	0.307759693948702	0.759624931058722	-0.00829314308349915	0.910928071392778
14q	0.205692722721923	0.755033910354927	0.272428456392416	0.786485919291987	-0.0087322107040062	0.910928071392778
19q	0.172690561526522	0.717267053873095	0.240761876060009	0.810786851122097	-0.00908056596010187	0.910928071392778
19p	0.147690582874615	0.703757909240325	0.209859926169839	0.834684073144292	-0.00937925501224313	0.910928071392778
12q	-0.175122527755169	0.896277212278327	-0.195388798639664	0.845930842365074	-0.00950509768179808	0.910928071392778
9p	-0.126808054671243	0.664355622507127	-0.190873758534168	0.849446631622518	-0.00954252755554941	0.910928071392778
11q	0.0741934220083017	0.412968012035827	0.179659004683068	0.858192613683264	-0.00963172347183949	0.910928071392778
7p	-0.0475818137448236	0.318607894374099	-0.149342858683076	0.881922094696105	-0.00984588005902332	0.910928071392778
4p	0.108029546594912	0.77505985562553	0.139382198433854	0.889743697639458	-0.00990764618527784	0.910928071392778
12p	-0.0679104621990835	0.647570576581204	-0.104869592064561	0.916925558409302	-0.0100887375355445	0.916925558409302
