estimate	p_values	FDR
16q	43	0.112681881706427	0.964004192792576
4p	7	0.124601330780387	0.964004192792576
8p	46.5	0.144252431095248	0.964004192792576
16p	42	0.148683751627113	0.964004192792576
21p	3.5	0.15166635817515	0.964004192792576
3p	8	0.174306339270725	0.964004192792576
7q	8.5	0.209379178099671	0.964004192792576
Xq	44	0.224763858487224	0.964004192792576
7p	10.5	0.292961128310963	0.964004192792576
Xp	39	0.382666042191088	0.964004192792576
19p	14.5	0.436421580504242	0.964004192792576
3q	16	0.479916903165998	0.964004192792576
8q	34	0.536744122002829	0.964004192792576
22p	16	0.544778301061479	0.964004192792576
1q	33	0.559852326987218	0.964004192792576
5p	33.5	0.568295647537589	0.964004192792576
2p	31	0.640839374890475	0.964004192792576
20q	30.5	0.662927880152234	0.964004192792576
20p	30.5	0.701016038253662	0.964004192792576
14q	30.5	0.70102599781924	0.964004192792576
15q	20.5	0.70102599781924	0.964004192792576
17q	30	0.725973722333483	0.964004192792576
18q	21.5	0.734599635206079	0.964004192792576
19q	21	0.739000197296689	0.964004192792576
17p	21	0.757418907823891	0.964004192792576
2q	29	0.761741608761958	0.964004192792576
9q	22	0.761741608761958	0.964004192792576
6q	22	0.779542472851278	0.964004192792576
1p	28.5	0.79078896761133	0.964004192792576
12q	29	0.792647329965898	0.964004192792576
12p	29	0.810524600714229	0.964004192792576
22q	29	0.827754559836399	0.964004192792576
11q	28	0.85196625808757	0.964004192792576
18p	23	0.85196625808757	0.964004192792576
10p	28	0.867693592043662	0.964004192792576
11p	28	0.867693592043662	0.964004192792576
4q	27.5	0.873533567400418	0.964004192792576
21q	27.5	0.892305028595925	0.964004192792576
9p	23.5	0.898165896509411	0.964004192792576
13q	24	0.93017744114829	0.964004192792576
5q	26.5	0.961373163663262	0.964004192792576
6p	26.5	0.964004192792576	0.964004192792576
