HR	lower_CI	upper_CI	z_scores	p_values	FDR
10p	-1.35668913810761	0.25751195362591	0.620199088875704	-2.18750585488124	0.0287056162726413	0.724335355929627
8q	-0.81761225040837	0.441484551536169	0.428113371041558	-1.9098031169155	0.0561585678325752	0.724335355929627
2p	-2.02070630951239	0.132561802344599	1.05897252679028	-1.90817632978366	0.0563684298638558	0.724335355929627
7p	-0.999123196985605	0.368202140425561	0.607068323736125	-1.64581671933832	0.0998014989993769	0.724335355929627
Xq	-0.619636805212488	0.538139851694923	0.399530362518261	-1.55091293013849	0.120922551325906	0.724335355929627
17p	-0.909918784951509	0.402556916385547	0.594637562775201	-1.53020737658226	0.125965406062169	0.724335355929627
1p	-1.56046796204092	0.210037758501115	1.03563872847998	-1.506768643474	0.131869969602706	0.724335355929627
6p	-1.33993502088255	0.261862683633583	0.946978062326469	-1.4149588825645	0.15708055197417	0.724335355929627
5q	1.05290862555342	2.86597505486713	0.766589616897689	1.37349711285477	0.169597858158091	0.724335355929627
20p	-1.09754579844955	0.33368901970716	0.812245995352784	-1.35124802674201	0.176615994667598	0.724335355929627
8p	-0.550053881940358	0.576918724042718	0.415252086690098	-1.32462641265633	0.185295091051765	0.724335355929627
10q	-1.07101654655327	0.342660010459368	0.937413822892246	-1.14252267290962	0.253236827188494	0.835237430750784
21p	-0.443897150609383	0.64153139854778	0.484224483612854	-0.91671769113659	0.359290593218525	0.835237430750784
16p	0.964763138045055	2.62416601776313	1.09143886968609	0.883936943094695	0.376730253169376	0.835237430750784
20q	-0.753596028561849	0.470670959653484	0.883453978190942	-0.853011076032501	0.393653162003743	0.835237430750784
15q	0.605231088141333	1.83167543845482	0.720824231806981	0.839637544681488	0.401111641667162	0.835237430750784
Xp	-0.339088998155286	0.712419042287135	0.415133294699978	-0.816819567315964	0.41403154827961	0.835237430750784
11p	-0.318140694968326	0.727500425564464	0.400781382006457	-0.793801082713968	0.427311242250346	0.835237430750784
9q	0.944714629477505	2.57207927824048	1.20632385390798	0.783135164257118	0.433547743514087	0.835237430750784
7q	-0.479404427409506	0.619152031998854	0.624694778700928	-0.767421857449237	0.44283073709691	0.835237430750784
1q	-0.275223795997236	0.759402153044211	0.389446400137236	-0.706705199740583	0.479749697561345	0.835237430750784
18p	-0.286678009286137	0.75075342555436	0.405715841689829	-0.706598017203635	0.479816321485395	0.835237430750784
4q	0.654939355904188	1.92502577238907	0.932661303804696	0.702226363667529	0.482538006829532	0.835237430750784
13q	-0.38175008918614	0.682665637414123	0.613424942146188	-0.622325671744798	0.533727744007078	0.835237430750784
11q	-0.220239149895383	0.802326898623171	0.35622855878844	-0.618252367649671	0.536408995003014	0.835237430750784
12p	0.397169850260919	1.48760857929977	0.668808501075972	0.593846892828001	0.552614521939911	0.835237430750784
6q	-0.484185919177772	0.616198628119603	0.843233431353197	-0.574201521399317	0.565831439919347	0.835237430750784
3p	-0.530077107463062	0.588559585592146	0.92704199308252	-0.571794062640567	0.56746150018111	0.835237430750784
9p	-0.358870053858586	0.698465108300425	0.648689704592125	-0.553222983682516	0.580110730648529	0.835237430750784
21q	-0.451058484861717	0.636953588946049	0.820986325483208	-0.549410472331847	0.582723788895896	0.835237430750784
3q	-0.215730536925944	0.805952447039786	0.537886581453473	-0.401070679887568	0.688368086908428	0.924916522706312
12q	0.265762586444062	1.304425333665	0.785808836050871	0.338202593622728	0.735210521473811	0.924916522706312
22p	0.220182409205968	1.24630404718607	0.701991610167883	0.313653904144682	0.753783914318973	0.924916522706312
17q	-0.186705173546314	0.829688314392996	0.643932814996314	-0.289945114145772	0.771858227214327	0.924916522706312
14q	-0.166698746838519	0.846454570046978	0.61874086915744	-0.269416091853636	0.787609504313887	0.924916522706312
16q	0.3205532935229	1.37788993103968	1.2038951774632	0.266263458417001	0.790036313507791	0.924916522706312
18q	0.194535614346081	1.21474674452563	0.751942443690041	0.258710777638017	0.79585840325892	0.924916522706312
2q	-0.18052385309648	0.834832767112905	0.916792517017808	-0.196908078704326	0.843899471559144	0.942565262037739
4p	-0.137930809596256	0.87115896550114	0.754175928301181	-0.182889435236885	0.854884772545856	0.942565262037739
19q	-0.0771084036507688	0.925789489206187	0.817336639516704	-0.0943410584118234	0.924838235441795	0.977078376562838
19p	-0.0571470211030202	0.944455204312836	0.666122093713262	-0.0857906105237512	0.931632870676194	0.977078376562838
22q	0.0479042759115909	1.04907022922658	0.885508413349891	0.0540980471663373	0.956857048106587	0.979639358775792
5p	-0.00155153375514264	0.998449669251105	0.387272781350958	-0.00400630725900819	0.996803437843276	0.996803437843276
