HR	lower_CI	upper_CI	z_scores	p_values	FDR
Xq	-0.815777592804234	0.442295267991905	0.376086062066449	-2.1691247697983	0.0300732126348179	0.953464446719557
10q	-1.71636771082469	0.179717750630557	0.966160444600924	-1.77648310942148	0.075653323456381	0.953464446719557
10p	-1.11320539022641	0.328504287225981	0.648368578821183	-1.71693297082711	0.085991419829543	0.953464446719557
Xp	-0.607304433015905	0.544817483528662	0.38683184914678	-1.56994423896433	0.11642808437421	0.953464446719557
14q	0.703892616027288	2.02160675000316	0.582713545815013	1.20795650123902	0.227063994553088	0.953464446719557
3p	-1.03001202996057	0.35700266581532	0.876997264498592	-1.17447576139187	0.240204515032522	0.953464446719557
18q	0.744066809702825	2.10447664117788	0.731467735378229	1.01722437465828	0.309046703147203	0.953464446719557
1q	0.36579989481465	1.44166672880094	0.365302901515664	1.00136049644534	0.316652555117457	0.953464446719557
21q	-0.794617638813569	0.451753935074161	0.821646019826199	-0.967104592050056	0.33349175014841	0.953464446719557
21p	-0.448454498836667	0.638614368575299	0.483548621357091	-0.927423797793216	0.353706539433874	0.953464446719557
8q	-0.335789197070489	0.714773766339542	0.373878600043634	-0.898123607586259	0.369119654431546	0.953464446719557
16p	-0.817687225576584	0.441451452398476	0.949265853452831	-0.861389064614884	0.389023796811667	0.953464446719557
12q	-0.569782989739002	0.565648176839827	0.767235588242237	-0.742644108890196	0.457697176174267	0.953464446719557
17q	0.429995369787793	1.53725040573621	0.618306644605883	0.695440318390688	0.486779400812679	0.953464446719557
1p	-0.502752124085267	0.604863706958149	0.750160577784245	-0.670192674707393	0.502734972949134	0.953464446719557
2p	-0.581102792579941	0.559281255136727	0.899713910556798	-0.645875078468354	0.518360260505	0.953464446719557
16q	-0.712376942860307	0.490476975056033	1.14563528556156	-0.621818262616729	0.534061376314803	0.953464446719557
7p	-0.198498721336486	0.819960819193717	0.323722857189693	-0.613174871430753	0.539760718262989	0.953464446719557
8p	-0.195320543308106	0.822570946180497	0.399719838281086	-0.488643606351995	0.625094035278061	0.953464446719557
5q	-0.320984125769353	0.725434766617545	0.690067364353002	-0.465148972912671	0.641824777415292	0.953464446719557
17p	-0.284797104284969	0.752166850269235	0.642001389688714	-0.443608236460451	0.657325849813028	0.953464446719557
9p	-0.249622515577907	0.77909482372932	0.580642358794568	-0.429907518452721	0.667262916121532	0.953464446719557
19p	-0.279399445684092	0.756237766963393	0.668857173132401	-0.41772661923562	0.676147007649561	0.953464446719557
19q	-0.323039267232504	0.723945426476395	0.779321437174093	-0.414513513709928	0.678498072279913	0.953464446719557
12p	0.272283460152994	1.31295912016126	0.678632282769346	0.401223854311595	0.688255319611073	0.953464446719557
11q	0.128233736603858	1.13681868778497	0.361435444035995	0.354790153317359	0.722746805646869	0.953464446719557
15q	0.251414822118513	1.28584336998502	0.758609598523681	0.331415292671998	0.740330815107884	0.953464446719557
18p	0.132590278656733	1.14178208998979	0.406639437770811	0.326063500834032	0.744376311317198	0.953464446719557
4p	-0.204652606764516	0.814930368540792	0.726439710425586	-0.281720015890404	0.778158205418421	0.953464446719557
11p	-0.123276597264469	0.884019111473327	0.442469608393615	-0.278610315659925	0.780543895318115	0.953464446719557
6q	-0.215674805820693	0.805997364912089	0.907434421582084	-0.237675363300271	0.81213289340929	0.953464446719557
4q	-0.199142242765357	0.819433326580335	0.921074936034098	-0.216206342149327	0.828826910140976	0.953464446719557
5p	-0.0851367096127461	0.918386723525639	0.399737720298313	-0.212981425793921	0.831341450381918	0.953464446719557
20q	0.138498643618501	1.1485481236997	0.724548985504904	0.191151525140826	0.848406880582667	0.953464446719557
22q	-0.138682388685635	0.870504466623788	0.838025401509241	-0.165487094348065	0.868560607003272	0.953464446719557
22p	-0.0795701975604089	0.923513189320261	0.636047418924342	-0.125101046231702	0.90044355503185	0.953464446719557
6p	-0.106379160995859	0.899083685974509	0.876243262270235	-0.121403684999807	0.903371298263769	0.953464446719557
9q	0.121247729642721	1.12890454084835	1.1947328783588	0.101485220536726	0.919165289286793	0.953464446719557
20p	0.0698090175279385	1.0723033705487	0.723398476734395	0.0965014715583509	0.923122305247896	0.953464446719557
2q	-0.0902863695770317	0.913669500655311	0.936155922551058	-0.0964437305817584	0.923168161990856	0.953464446719557
7q	-0.0573301556663519	0.944282257758137	0.606174972635672	-0.0945769097280248	0.924650890975963	0.953464446719557
3q	-0.0439512796660854	0.957000581725161	0.509752323811494	-0.0862208519962306	0.931290854935382	0.953464446719557
13q	-0.0121658721654419	0.987907832859247	0.599398607978429	-0.0202967974958656	0.983806610490033	0.983806610490033
