estimate	std_error	t_value	p_values	r_sq	FDR
15q	-0.563189568623398	0.177949117149066	-3.16489105226423	0.00272118241883887	0.173455548784499	0.117010844010071
5q	0.563192598061186	0.205967636173058	2.73437423726114	0.00878522105202252	0.134921676684072	0.136990324349768
6p	0.490231323009354	0.188606945672417	2.5992220024644	0.0124447334743803	0.123321296701439	0.136990324349768
1q	0.26954829210047	0.104077630856286	2.5898772856645	0.0127432859860249	0.122529772984401	0.136990324349768
17p	-0.380315007507935	0.166550938870106	-2.28347561465591	0.0269670678543251	0.0974362148746178	0.197337705649822
16q	-0.567016127509987	0.249280331127688	-2.27461238094853	0.027535493811603	0.0967373393536328	0.197337705649822
16p	-0.475987965155339	0.255199259732577	-1.86516201361292	0.0684084052487311	0.0664066191948431	0.420223060813634
6q	-0.371455871055906	0.23303983188552	-1.59395871534263	0.117648902181302	0.0487276770947372	0.632362849224499
8p	0.147192823901429	0.0976680565607454	1.50707231294074	0.1384846550054	0.0435256925398227	0.661648907248023
19p	0.251737380921051	0.180216799700412	1.39685856889886	0.169017229718287	0.0372720669773133	0.717071887128354
8q	0.120313523666054	0.0911500088608694	1.31995076215186	0.193244457024841	0.0331451340732628	0.717071887128354
22p	-0.234706624903586	0.180614073724601	-1.29949244853126	0.200113084780006	0.0320809614049642	0.717071887128354
5p	0.121297113795143	0.116354138978868	1.04248215714245	0.302520952682515	0.0199653278256958	0.949930603568267
13q	0.16701097138906	0.166464057856544	1.00328547519241	0.32086071228963	0.0183283369262025	0.949930603568267
21p	0.130337433719113	0.132793939467957	0.981501371533326	0.331371140779628	0.0174434039887871	0.949930603568267
14q	0.174249652477208	0.195740036713992	0.890209562654852	0.377887641094584	0.0139304807409981	0.978364278865004
Xp	0.0743413372088757	0.100376404906136	0.740625620915533	0.462604629759498	0.00887147096345042	0.978364278865004
2p	-0.160347881624237	0.242683329887218	-0.660728867115659	0.512011939900033	0.00653212793640523	0.978364278865004
17q	0.0946395948301038	0.147633021548059	0.641046249936001	0.524606332067476	0.00599522711323042	0.978364278865004
3q	-0.0903870892363452	0.144421144089431	-0.625857728840411	0.534435895317629	0.00559163247299743	0.978364278865004
Xq	0.0454003349213891	0.0976278999404793	0.465034431233984	0.644054231173445	0.0018967213422193	0.978364278865004
22q	-0.100678931558814	0.223691408073159	-0.450079564637935	0.654722248987523	0.0016073419746061	0.978364278865004
1p	-0.0813748282164477	0.197940296990172	-0.41110794241401	0.682861916329534	0.000896961812628216	0.978364278865004
10q	-0.0927666208220955	0.276202469652376	-0.335864559570557	0.73846778582268	-0.000294950331721999	0.978364278865004
19q	0.0591333947552252	0.187279312212586	0.315749743293062	0.753590351420246	-0.000573316616739206	0.978364278865004
7q	0.0526089023000412	0.167841667622278	0.313443634380682	0.755330492277772	-0.000604141974939409	0.978364278865004
3p	0.0531785614493843	0.178498302443311	0.297921945035153	0.767075771163888	-0.000805785850638063	0.978364278865004
18p	0.034841234374393	0.121065623809092	0.287788005200667	0.774774241195127	-0.000931953568154009	0.978364278865004
9q	0.0662783418803978	0.244415832806985	0.271170411176832	0.787447434577886	-0.00112945734281045	0.978364278865004
4p	0.0378518907905651	0.202425350816613	0.186991849775066	0.852471887391053	-0.00195035727358395	0.978364278865004
21q	0.0377470489143905	0.225908754121232	0.167089801637939	0.868016225001495	-0.00210049562312387	0.978364278865004
18q	0.0354840777687475	0.21854231337943	0.162367082237025	0.871712854099701	-0.00213365150728562	0.978364278865004
7p	-0.0125728139076245	0.0832253333798874	-0.151069552947719	0.880567394301883	-0.00220911730882078	0.978364278865004
11p	0.0146263253839861	0.107481135406225	0.136082721202246	0.892337094421358	-0.00230084733132108	0.978364278865004
11q	0.0135115451131376	0.107893293484951	0.125230629974439	0.900875097708521	-0.00236130207528196	0.978364278865004
9p	0.0214109085514839	0.173580125191104	0.123348848423237	0.902356844564373	-0.0023712749495679	0.978364278865004
2q	-0.0297772800240851	0.265088358626855	-0.112329640495456	0.911040434366439	-0.00242664622147504	0.978364278865004
12q	0.025845852817471	0.234187551067389	0.11036390576557	0.912590699095493	-0.00243598037097059	0.978364278865004
10p	-0.0121091131111474	0.121361806389366	-0.0997769683181682	0.920945776538029	-0.00248342069953922	0.978364278865004
20p	-0.0173370856468971	0.194786018875289	-0.0890058010682844	0.929455493268661	-0.00252678489240798	0.978364278865004
12p	-0.0115061299115298	0.169167895407456	-0.0680160374627601	0.946061405641139	-0.00259707965799394	0.978364278865004
20q	0.0122876829179003	0.219583368468068	0.0559590783383361	0.955611621216981	-0.00262896359586717	0.978364278865004
4q	-0.00398319792547944	0.28525087615857	-0.0139638411601765	0.988917936231821	-0.00269160481162611	0.988917936231821
