estimate	std_error	t_value	p_values	r_sq	FDR
10q	1.41880097959652	0.502202086229778	2.82515946966289	0.00691485366338401	0.0980996488259783	0.297338707525513
7q	-0.646002191530691	0.31628389020821	-2.04247579952753	0.0467364285661809	0.0309516691688858	0.809146498878945
4p	0.696540870429634	0.384560444803951	1.81126499056535	0.0764931512178964	0.0137791139748354	0.809146498878945
12q	0.78961141842402	0.445404446105951	1.77279644450651	0.0827432980741302	0.0110673819558382	0.809146498878945
21q	-0.735956445695419	0.430688918656352	-1.70878890497445	0.0940868021952261	0.00665268744773162	0.809146498878945
5q	-0.682235118991403	0.424037096277724	-1.60890432695674	0.114334664042474	1.44287200223303e-05	0.819398425637731
18q	-0.630575617388743	0.419418187927944	-1.50345320145505	0.139412519776097	-0.00664806404279927	0.85639119291031
4q	0.675844189675543	0.551555559197729	1.22534199575216	0.22655158155151	-0.022399213544577	0.926967773713421
19p	-0.423144982986619	0.355946648357924	-1.18878765943913	0.240495086910481	-0.0242628279852262	0.926967773713421
1p	0.423972167945945	0.384555572780551	1.10249908714205	0.27585831943689	-0.0284629066568105	0.926967773713421
10p	0.238135494905486	0.235862338407656	1.00963764080852	0.317838701575769	-0.0326636840058181	0.926967773713421
21p	-0.256269726078931	0.260830954925266	-0.982512701195143	0.330878161552592	-0.0338270660243321	0.926967773713421
5p	-0.198506818452839	0.229351640904242	-0.865512963718968	0.391153892807888	-0.0385084630832835	0.926967773713421
9p	-0.258989786508014	0.338905514361354	-0.764194666457593	0.448570969430646	-0.0421121473529749	0.926967773713421
16q	0.380640448788957	0.51289155221423	0.742146068005362	0.461691749948648	-0.0428400294111482	0.926967773713421
17q	-0.21345842941977	0.289579427903619	-0.737132575214615	0.46470579351913	-0.0430027034178808	0.926967773713421
14q	-0.277511560385029	0.385585109417528	-0.71971544960396	0.475264077203619	-0.0435596558473648	0.926967773713421
13q	0.234832649269583	0.328674488104016	0.714483958351112	0.478461756407641	-0.0437244579840748	0.926967773713421
22p	-0.236211378652378	0.359434946941908	-0.657174213754332	0.51427436487056	-0.0454542341510782	0.926967773713421
9q	0.298085646996692	0.478490132057166	0.622971357246464	0.536314663996394	-0.0464201905578228	0.926967773713421
22q	0.270262203534809	0.438556479903933	0.61625404233911	0.540700277086508	-0.0466040386748112	0.926967773713421
3q	0.171314546693966	0.283756163910706	0.603738591376912	0.548920454662661	-0.0469414294141257	0.926967773713421
11q	-0.121168247609397	0.211223233315757	-0.573650188510572	0.568939565497208	-0.04772506365053	0.926967773713421
Xq	0.101907109138928	0.191627555770459	0.531797782052792	0.59737090210023	-0.0487502499791683	0.926967773713421
7p	-0.0862547431833785	0.163027685461834	-0.52908033956951	0.599239770576323	-0.0488141971217113	0.926967773713421
6p	0.190517228704701	0.395221859185787	0.482051344774282	0.632006774020153	-0.0498701200081195	0.926967773713421
2p	0.216692340763942	0.477847670995342	0.45347577045333	0.652293075196834	-0.05046467636975	0.926967773713421
18p	-0.107147009696721	0.237495108034969	-0.451154596754661	0.653952910550041	-0.0505114052831659	0.926967773713421
6q	-0.204319465518422	0.469004607919352	-0.435644900003959	0.665088691713174	-0.0508175885863544	0.926967773713421
16p	-0.211829832701339	0.518567642175737	-0.408490263319501	0.684769002259293	-0.0513282656078591	0.926967773713421
19q	0.143970015656094	0.367648219099897	0.391597206722699	0.697125738441629	-0.0516296158255123	0.926967773713421
3p	-0.11969021681371	0.350506090334546	-0.341478279876591	0.734265601906379	-0.0524496637933858	0.926967773713421
15q	0.113902243414769	0.384620456770463	0.296141927476167	0.768426308660295	-0.0530957679025466	0.926967773713421
8p	-0.0556432130640319	0.196254339151174	-0.28352602701523	0.778018836697573	-0.0532593460890887	0.926967773713421
20q	0.119063720042433	0.430974367031759	0.276266360949627	0.783554717118603	-0.0533502696465427	0.926967773713421
20p	0.0991958886709545	0.382360936048503	0.259429976545437	0.796436504048488	-0.0535521160422783	0.926967773713421
Xp	0.048611452417832	0.19818159040647	0.245287427142602	0.807301779575472	-0.0537119166970634	0.926967773713421
2q	0.112487356329137	0.520502881268441	0.216112840826184	0.8298350222103	-0.0540134083068509	0.926967773713421
1q	-0.0425239114728067	0.218444266631056	-0.194667098059515	0.846492608419251	-0.0542108089544977	0.926967773713421
11p	0.0361017958314528	0.211092382987618	0.171023678450636	0.864939317705975	-0.0544046223172201	0.926967773713421
8q	0.0267744782921072	0.182284976304335	0.146882528856386	0.883852993540704	-0.0545767168561879	0.926967773713421
17p	-0.0396988204591712	0.344763548620622	-0.115147963344744	0.908818392419789	-0.0547632440727384	0.930456925572641
12p	-0.0247973818930683	0.332279430965674	-0.0746280978663105	0.940827352425504	-0.0549357941242896	0.940827352425504
