estimate	p_values	FDR
Xq	192.5	0.0204162464311833	0.70257043800922
10p	223.5	0.0334557351432962	0.70257043800922
Xp	225	0.0950782359924519	0.816416372015157
1p	256	0.0995954100868272	0.816416372015157
22p	393	0.106545396851975	0.816416372015157
10q	264.5	0.11663091028788	0.816416372015157
15q	364	0.192579621117466	0.982207529075298
7q	264	0.30494018011803	0.982207529075298
11q	346	0.32949124114809	0.982207529075298
19p	266	0.333449030882372	0.982207529075298
20q	276.5	0.350640592041968	0.982207529075298
2p	277.5	0.365207786297484	0.982207529075298
3p	273.5	0.390899322138777	0.982207529075298
17p	348	0.393579409446949	0.982207529075298
7p	270	0.396326433843663	0.982207529075298
22q	348.5	0.426504281885031	0.982207529075298
12p	344.5	0.430975651313436	0.982207529075298
5q	338	0.432711390072111	0.982207529075298
6p	339	0.452171272322643	0.982207529075298
9p	284	0.511723409024198	0.982207529075298
6q	333.5	0.530741066020682	0.982207529075298
13q	334.5	0.541436155539909	0.982207529075298
19q	286	0.544725301824153	0.982207529075298
8q	288	0.618142222104764	0.982207529075298
4q	327	0.625587986849536	0.982207529075298
14q	329	0.649640105134392	0.982207529075298
11p	325.5	0.721483195520742	0.982207529075298
3q	297	0.764357615911886	0.982207529075298
18q	300	0.7805432275938	0.982207529075298
1q	321.5	0.79629987324836	0.982207529075298
17q	320.5	0.805020014095237	0.982207529075298
21p	297.5	0.807593358032518	0.982207529075298
21q	301.5	0.825193065663744	0.982207529075298
9q	318	0.830955364406395	0.982207529075298
20p	302.5	0.853706070442981	0.982207529075298
18p	304	0.87201462068835	0.982207529075298
4p	304.5	0.892441489233553	0.982207529075298
2q	306	0.902909680829552	0.982207529075298
8p	305	0.917137596381766	0.982207529075298
16q	313.5	0.944470013485352	0.982207529075298
12q	313	0.959743379362266	0.982207529075298
5p	312	0.982207529075298	0.982207529075298
