estimate	std_error	t_value	p_values	r_sq	FDR
13q	-2.16932371521476	0.825014459216682	-2.62943720680295	0.0115226203863916	0.0916141792989819	0.454347226846251
17p	-1.9548370995483	0.876806551980558	-2.22949645521313	0.0305973727352	0.0576478364467865	0.454347226846251
22p	-2.03440261896905	0.918779021352978	-2.21424583244535	0.0316986437334594	0.0564174028534825	0.454347226846251
5q	2.05076604148154	1.12558350846829	1.82195814531101	0.0748280471403278	0.0267266563742473	0.673738759221912
5p	1.06606698006456	0.598261134054401	1.78194256551457	0.0812198167525548	0.0239293076154138	0.673738759221912
1p	-1.66726781386931	1.01269742556569	-1.64636323918566	0.10636054960762	0.0148027696877528	0.673738759221912
2q	2.15474667170273	1.35654911565859	1.58840299022762	0.11890057204065	0.0110729385650582	0.673738759221912
2p	-1.9484444653752	1.24858919937438	-1.56051683480162	0.125346745901751	0.00931631744443084	0.673738759221912
16p	1.51540888061891	1.37137675175256	1.10502739577748	0.274772581920137	-0.0156274605280353	0.978561400589607
12q	1.2352310316273	1.21689267387735	1.01506982344755	0.315269687102576	-0.0196603102139394	0.978561400589607
14q	-0.956606475996259	1.02726331431241	-0.931218376698831	0.356499476241646	-0.023136756263618	0.978561400589607
20p	-0.913613490488354	1.01442531501811	-0.90062173820262	0.372381280864871	-0.0243361618148847	0.978561400589607
15q	-0.912524689799692	1.02076868185154	-0.89395835317409	0.375899197718201	-0.0245924213183948	0.978561400589607
9p	0.76429260117386	0.904984143931187	0.844537007967706	0.402647888886983	-0.0264374380289807	0.978561400589607
6p	-0.883608611062227	1.05153859832059	-0.840300691266526	0.404994349601932	-0.0265910075442484	0.978561400589607
4q	1.10092006543373	1.48956653594787	0.739087539136459	0.463529153935669	-0.0300425008104785	0.978561400589607
10p	-0.415630303446892	0.634594575554499	-0.654954075338133	0.515690130702445	-0.0325896595210327	0.978561400589607
10q	-0.908664373653657	1.44635001623338	-0.628246526397548	0.532883599556062	-0.0333363259722301	0.978561400589607
20q	0.712738188253627	1.14863882560735	0.620506788003413	0.537921588389743	-0.0335470933947986	0.978561400589607
6q	-0.727765303829438	1.25212689596373	-0.581223281901708	0.563867098377954	-0.0345778097843732	0.978561400589607
11p	0.284654879807779	0.563094825215365	0.505518550448245	0.615557312719896	-0.0363790007259288	0.978561400589607
7q	0.440979200674626	0.880111407286756	0.501049295604627	0.618675077338222	-0.0364776707672088	0.978561400589607
21p	0.342483065440937	0.702798586272877	0.487313253228373	0.628301623016667	-0.0367755575165307	0.978561400589607
1q	0.282548456171654	0.582886657062804	0.484739962303186	0.630112395372631	-0.0368304610138652	0.978561400589607
Xp	0.216473580916255	0.529323424490769	0.4089627832445	0.684424598336243	-0.0383191319598792	0.978561400589607
22q	-0.440820136813943	1.17564399000402	-0.37496056677195	0.70937652712682	-0.038906238098313	0.978561400589607
8q	-0.171911811948173	0.486885298950208	-0.353084827820513	0.725603581958446	-0.0392573529770315	0.978561400589607
7p	0.150689122453818	0.43666932911139	0.345087489337678	0.731568229082173	-0.0393805029601493	0.978561400589607
19q	-0.323636051010352	0.983538782275314	-0.329052658464219	0.743577714596814	-0.0396190049099263	0.978561400589607
3p	-0.306774305636966	0.937326016667082	-0.327286664599138	0.744904385815393	-0.0396445851904992	0.978561400589607
4p	0.288227290840141	1.06274248858842	0.271210847345509	0.787416524281823	-0.0403858030184321	0.978561400589607
Xq	0.133987930443958	0.513567782327276	0.260896292670036	0.795312266113051	-0.0405071188904316	0.978561400589607
3q	-0.185421916315913	0.761202563824555	-0.243590766936316	0.808607898409258	-0.040700153012559	0.978561400589607
21q	0.249361579921614	1.18631275541658	0.210198852522706	0.834421072142266	-0.0410353619259485	0.978561400589607
17q	0.150518187555401	0.778470995977154	0.193351053967615	0.847517213935661	-0.0411858363632305	0.978561400589607
18p	-0.112451208027729	0.636209416654588	-0.176751876165299	0.860462760319638	-0.0413218401220448	0.978561400589607
12p	0.121032374304323	0.888371884823426	0.136240662690918	0.892212924722704	-0.0416026580794566	0.978561400589607
11q	-0.057281795637667	0.566710062198172	-0.101077781141702	0.919918686522888	-0.0417875533386503	0.978561400589607
9q	0.129758283032918	1.28458514648673	0.101011819565095	0.919970764868027	-0.0417878487464975	0.978561400589607
18q	-0.0988359218181979	1.14805922029964	-0.0860895675681277	0.931760927186442	-0.0418497250453518	0.978561400589607
8p	-0.0317189405945164	0.525200169579081	-0.0603940029568867	0.952097914636361	-0.0419331547303097	0.978561400589607
16q	0.0768551773582065	1.37940710710731	0.055716094952835	0.95580415871543	-0.0419451949658811	0.978561400589607
19p	0.0039399428781868	0.96598242932213	0.0040786900036594	0.996762948361995	-0.0420136451438244	0.996762948361995
