estimate	p_values	FDR
19q	248	0.0233952863122633	0.844416715208156
7p	245	0.0586155385350412	0.844416715208156
2q	132	0.0942460218755794	0.844416715208156
19p	235.5	0.0960034747886038	0.844416715208156
7q	229	0.128436931170055	0.844416715208156
12q	135	0.176754632164782	0.844416715208156
22q	127	0.180593488225549	0.844416715208156
16p	214	0.197606172515651	0.844416715208156
14q	216	0.199564174696182	0.844416715208156
17p	132	0.201051598859085	0.844416715208156
21p	128.5	0.232888723777557	0.889211490787037
6q	148	0.328728078404847	0.927182963999625
9p	206	0.338044504743356	0.927182963999625
3q	207	0.362156477060443	0.927182963999625
2p	151	0.384228146419833	0.927182963999625
20p	150.5	0.416835528935237	0.927182963999625
10p	150	0.418813769518927	0.927182963999625
9q	197	0.430334187074875	0.927182963999625
16q	195.5	0.499787165816751	0.927182963999625
11q	195	0.511156082790566	0.927182963999625
5q	159.5	0.555253902251609	0.927182963999625
1q	192	0.623122636160847	0.927182963999625
15q	160.5	0.626161211314586	0.927182963999625
13q	191	0.628664557676055	0.927182963999625
Xp	157	0.636296678204426	0.927182963999625
4q	165.5	0.686276263682714	0.927182963999625
8p	161	0.69423328742026	0.927182963999625
17q	164	0.701311517953918	0.927182963999625
Xq	161	0.70972068440399	0.927182963999625
18q	165.5	0.712358031950548	0.927182963999625
3p	164	0.726488045851436	0.927182963999625
8q	165	0.757611947623539	0.927182963999625
20q	168	0.782150024399251	0.927182963999625
21q	167.5	0.783432818725748	0.927182963999625
6p	184	0.796661412380535	0.927182963999625
4p	168	0.807565007254958	0.927182963999625
5p	167.5	0.816804039713956	0.927182963999625
22p	168.5	0.857709559307015	0.947994776076175
10q	180	0.881067919678952	0.948842375038871
11p	173	0.936823564242054	0.96229234139331
12p	179	0.939380618979184	0.96229234139331
18p	177	0.985832069687841	0.985832069687841
