estimate	p_values	FDR
amp25_12p12.1 	411	0.00287231441624187	0.336060786700299
amp5_3q25.1  	386	0.0124784660100424	0.62534972409467
amp23_11q13.1 	381	0.0169203923293228	0.62534972409467
del71_xp11.23 	154	0.0213794777468263	0.62534972409467
amp32_15q26.3 	168	0.0433565977793334	0.873981179373761
del2_1p36.21 	353	0.0743201038030793	0.873981179373761
del55_18q23   	181	0.0812477228754168	0.873981179373761
amp4_3q21.3  	182	0.0850063827856502	0.873981179373761
amp18_8q24.13 	349.5	0.0868382177303197	0.873981179373761
amp42_21q11.2 	349	0.0889008017015498	0.873981179373761
del38_12q24.33	349	0.0889008017015498	0.873981179373761
amp3_2q31.2  	347	0.0971090199304179	0.873981179373761
amp35_16q24.1 	185	0.0971090199304179	0.873981179373761
del44_16p11.2 	188.5	0.112165347930089	0.898617889670937
del24_7q22.1  	189.5	0.116903314024809	0.898617889670937
amp28_13q33.1 	192	0.130551592080301	0.898617889670937
del72_xp11.22 	195	0.147298986324649	0.898617889670937
del3_1p11.2  	199	0.170007265252764	0.898617889670937
del60_19q13.42	332.5	0.172561165875637	0.898617889670937
del30_9q34.13 	200	0.176520539889944	0.898617889670937
del26_8p23.1  	201	0.183124474942533	0.898617889670937
del54_18p11.21	202	0.192521015305697	0.898617889670937
amp12_5q31.3  	204	0.207101199998715	0.898617889670937
amp34_16q13   	326	0.222446397629446	0.898617889670937
amp26_12q13.11	324	0.235526000295553	0.898617889670937
del56_19p13.2 	209	0.246924338178276	0.898617889670937
amp22_10q25.1 	321	0.264230194072851	0.898617889670937
del51_17q11.2 	319	0.282333972259339	0.898617889670937
del64_21p11.2 	214	0.28717053738213	0.898617889670937
del12_3q29    	317.5	0.292639491301907	0.898617889670937
del37_12p13.31	215	0.297458830239921	0.898617889670937
del29_9p21.3  	215	0.301240008773879	0.898617889670937
del27_8q21.2  	316	0.307128120045706	0.898617889670937
del70_22q13.33	216	0.310994557487976	0.898617889670937
del36_11q25   	218	0.331106660084278	0.898617889670937
amp37_17q23.3 	313	0.341463701113311	0.898617889670937
amp38_19q12   	313	0.341463701113311	0.898617889670937
del52_17q25.1 	219	0.341463701113311	0.898617889670937
amp17_8p23.1  	311.5	0.353218381984676	0.898617889670937
amp21_10q21.2 	311	0.362777222382436	0.898617889670937
del4_1q42.13 	311	0.362777222382436	0.898617889670937
amp11_5q22.3  	223	0.384884558889646	0.898617889670937
del43_16p13.11	223	0.384884558889646	0.898617889670937
amp16_7q36.1  	308	0.391910042359528	0.898617889670937
del33_10q26.3 	308	0.396233213757661	0.898617889670937
amp30_14q13.3 	306	0.415100839994699	0.898617889670937
del48_16q24.3 	226	0.419513519675133	0.898617889670937
amp2_2q24.2  	228	0.443559765486338	0.898617889670937
del6_2p11.2  	228	0.443559765486338	0.898617889670937
del13_4p16.1  	296	0.446780053597657	0.898617889670937
del22_7p22.1  	229	0.451416737830376	0.898617889670937
amp19_9p22.3  	303	0.455865154117642	0.898617889670937
amp6_3q29    	230	0.463852831891283	0.898617889670937
del25_7q35    	302	0.463910082588242	0.898617889670937
amp15_7q31.2  	302	0.463938701162793	0.898617889670937
del45_16q11.2 	230	0.468355720046976	0.898617889670937
del67_22q11.21	302	0.468355720046976	0.898617889670937
del17_5q13.2  	301	0.475839179707213	0.898617889670937
