estimate	p_values	FDR
amp3_2q31.2  	482	0.00190791119080078	0.223225609323691
amp40_19q13.33	181	0.00832510698766726	0.456512660048362
del55_18q23   	188	0.0124412790808914	0.456512660048362
del71_xp11.23 	191	0.0156072704290038	0.456512660048362
del31_9q34.13 	440	0.0239276434474714	0.55990685667083
amp5_3q25.1  	434	0.0318891683902424	0.605467787754908
del25_7q35    	425	0.049333884207253	0.605467787754908
del44_16p11.2 	424	0.0515635648334756	0.605467787754908
amp34_16q13   	418	0.0663527824147902	0.605467787754908
del72_xp11.22 	222	0.0663527824147902	0.605467787754908
amp2_2q24.2  	417	0.0692485555287563	0.605467787754908
amp36_17q21.2 	416	0.0722452247819347	0.605467787754908
del15_5p15.33 	416	0.0722452247819347	0.605467787754908
amp16_7q36.1  	416	0.0724491369963138	0.605467787754908
del38_12q24.33	413	0.0818638402030483	0.638537953583777
amp25_12p12.1 	395	0.161127157273269	0.910284077514918
del32_10q11.22	246	0.166651850863385	0.910284077514918
del35_11q14.3 	394	0.168315859387805	0.910284077514918
del41_15q11.1 	392	0.178493306790632	0.910284077514918
amp27_12q14.3 	389.5	0.194342417331396	0.910284077514918
amp42_21q11.2 	251	0.199527172465027	0.910284077514918
del13_4p16.1  	267	0.217038703827616	0.910284077514918
del46_16q22.1 	255	0.227327878071596	0.910284077514918
del54_18p11.21	256	0.23468197369674	0.910284077514918
del69_22q13.33	384	0.23468197369674	0.910284077514918
amp22_10q25.1 	257	0.242199728405837	0.910284077514918
del61_20p11.21	258	0.249882030804661	0.910284077514918
del60_19q13.42	380	0.262228432217933	0.910284077514918
amp6_3q29    	379	0.27109089745076	0.910284077514918
del1_1p36.33 	261	0.273923647728099	0.910284077514918
del40_14q11.2 	377	0.287711630032921	0.910284077514918
del19_6p21.33 	375	0.3053135113846	0.910284077514918
del33_10q26.3 	375	0.308319332223499	0.910284077514918
amp21_10q21.2 	373	0.32652456097185	0.910284077514918
del4_1q42.13 	372	0.335878907818227	0.910284077514918
del21_6q27    	371	0.34540072151757	0.910284077514918
del27_8q21.2  	370	0.35179224134424	0.910284077514918
del53_18p11.21	270.5	0.356708928264554	0.910284077514918
amp26_12q13.11	368	0.371621382535369	0.910284077514918
del12_3q29    	367.5	0.376585221841383	0.910284077514918
amp12_5q31.3  	367	0.385152527167064	0.910284077514918
del52_17q25.1 	274	0.395503008249161	0.910284077514918
del66_21q22.3 	276	0.416692201744086	0.910284077514918
amp11_5q22.3  	362	0.438523988578087	0.910284077514918
del56_19p13.2 	278	0.438523988578087	0.910284077514918
amp10_5p13.2  	279	0.449677230166425	0.910284077514918
amp24_11q14.2 	359	0.472450038496657	0.910284077514918
del58_19p12   	359	0.472450038496657	0.910284077514918
del18_6p22.1  	358.5	0.47475267940824	0.910284077514918
amp14_6q21    	282	0.484065870387487	0.910284077514918
del57_19p13.12	358	0.484065870387487	0.910284077514918
del26_8p23.1  	283	0.492198057007249	0.910284077514918
amp9_5p15.33 	357	0.495831949365518	0.910284077514918
amp13_6p22.2  	357	0.495831949365518	0.910284077514918
del8_2q37.3  	357	0.495831949365518	0.910284077514918
del70_22q13.33	283	0.495831949365518	0.910284077514918
del14_4q35.2  	356	0.507746089607063	0.910284077514918
del62_20q13.33	356	0.507746089607063	0.910284077514918
del6_2p11.2  	355	0.519805975220461	0.910284077514918
amp20_9q33.2  	354	0.53200916745799	0.910284077514918
amp19_9p22.3  	353	0.544353099391634	0.910284077514918
del11_3q21.3  	353	0.544353099391634	0.910284077514918
del42_15q11.2 	352	0.553521145226349	0.910284077514918
del20_6q25.1  	352	0.556835083550319	0.910284077514918
del2_1p36.21 	351	0.566157621131372	0.910284077514918
amp35_16q24.1 	351	0.569452306876251	0.910284077514918
amp39_19q13.12	289	0.569452306876251	0.910284077514918
del36_11q25   	289	0.569452306876251	0.910284077514918
del16_5p14.3  	350.5	0.572491076878866	0.910284077514918
del59_19q13.2 	350.5	0.572564856473783	0.910284077514918
del34_11p15.5 	290	0.58220183878907	0.910284077514918
del3_1p11.2  	349	0.591842971511491	0.910284077514918
del37_12p13.31	349	0.591890433830796	0.910284077514918
amp31_15q25.3 	291	0.595080626422947	0.910284077514918
del68_22q13.2 	348	0.60808550310641	0.910284077514918
del47_16q23.1 	347	0.621213183882322	0.910284077514918
amp18_8q24.13 	346.5	0.624812632011051	0.910284077514918
del24_7q22.1  	293.5	0.624812632011051	0.910284077514918
amp7_4q28.1  	294	0.634460274393771	0.910284077514918
amp32_15q26.3 	294	0.634460274393771	0.910284077514918
del17_5q13.2  	344	0.657908199250218	0.910284077514918
amp37_17q23.3 	297	0.674882399205516	0.910284077514918
del9_2q37.3  	343	0.674882399205516	0.910284077514918
del49_17p11.2 	342	0.679589676102522	0.910284077514918
amp30_14q13.3 	342	0.685900049452534	0.910284077514918
amp15_7q31.2  	341	0.699800294569724	0.910284077514918
del73_xq28    	341	0.702360428764418	0.910284077514918
del45_16q11.2 	340	0.716246672534399	0.910284077514918
del51_17q11.2 	340	0.716246672534399	0.910284077514918
del65_21q22.3 	302	0.744293081818763	0.910284077514918
del10_3p21.1  	303	0.758444769572055	0.910284077514918
del22_7p22.1  	304	0.770621245743812	0.910284077514918
amp28_13q33.1 	336	0.772676324065748	0.910284077514918
amp33_16p13.13	304	0.772676324065748	0.910284077514918
del7_2q14.3  	336	0.772676324065748	0.910284077514918
del23_7p11.2  	336	0.772676324065748	0.910284077514918
del29_9p21.3  	304	0.772676324065748	0.910284077514918
amp23_11q13.1 	305	0.786983303550831	0.910284077514918
del5_2p23.3  	335	0.786983303550831	0.910284077514918
del67_22q11.21	335	0.786983303550831	0.910284077514918
del64_21p11.2 	334	0.799204921750118	0.910284077514918
amp41_20q13.2 	306	0.801361196444757	0.910284077514918
amp44_21q22.3 	334	0.801361196444757	0.910284077514918
amp4_3q21.3  	333	0.815805418568935	0.915265669735174
del50_17p11.2 	307.5	0.821392267711054	0.915265669735174
amp8_4q31.21 	309	0.844874204319875	0.923834410331078
del48_16q24.3 	309	0.844874204319875	0.923834410331078
del43_16p13.11	330	0.859489296398429	0.931113404431632
amp17_8p23.1  	328	0.887815010609683	0.95297574533333
del63_20q13.33	327	0.903599456969575	0.961101240594911
amp38_19q12   	314	0.918374797614417	0.966210696465928
del39_13q11   	325	0.932426695817934	0.966210696465928
del28_8q24.3  	315	0.933177852142306	0.966210696465928
amp29_14q11.2 	324	0.948003620973193	0.972951084683014
amp43_21q22.11	317	0.962847078413834	0.979592244994944
amp1_1q21.1  	322	0.977703184688609	0.984990374371607
del30_9q34.13 	318.5	0.984990374371607	0.984990374371607
