estimate	std_error	t_value	p_values	r_sq	FDR
del9_2q37.3  	-44.8815484141882	17.6337188310048	-2.54521175279683	0.0145904369859383	0.116551817983196	0.80234404152793
amp14_6q21    	25.4967977492028	11.0987979483766	2.2972575830099	0.0265346526529491	0.0945795153452663	0.80234404152793
del68_22q13.2 	-40.9830607730531	18.6495751356321	-2.1975332132232	0.0334171054581455	0.0860941916111119	0.80234404152793
amp19_9p22.3  	19.6552259309225	9.01070572250739	2.18131925913713	0.0346745657503505	0.0847355554763632	0.80234404152793
del62_20q13.33	-28.1669675887791	13.4853441547196	-2.088709584688	0.0426893248247652	0.0770937278951781	0.80234404152793
amp30_14q13.3 	-17.1655376735076	8.24775961252429	-2.08123641812276	0.0434018038539256	0.076486093975031	0.80234404152793
amp4_3q21.3  	-23.1824113140699	11.5444058826406	-2.0081077839553	0.0509400997846553	0.0706140874022809	0.80234404152793
del57_19p13.12	43.6669681794485	22.124192121955	1.97372034823886	0.0548611310446448	0.0679004829080592	0.80234404152793
del52_17q25.1 	-26.5164081507983	13.8731137405124	-1.91135232124313	0.0626392832178242	0.0630594128578577	0.811499579910385
del4_1q42.13 	-27.3349816257821	14.6756722137242	-1.86260508055089	0.069358938453879	0.0593501041829403	0.811499579910385
del11_3q21.3  	-26.8893864903445	15.7801570329563	-1.70399993068428	0.0955984600663283	0.0477582364739553	0.989497108990565
del63_20q13.33	-21.962351603343	14.2367722199434	-1.54264964445925	0.13024391741304	0.0367658975508919	0.989497108990565
del23_7p11.2  	24.052455871778	17.1404121291359	1.40326006694394	0.167719525624133	0.0279702663091762	0.989497108990565
amp32_15q26.3 	-17.4829788836198	12.577688588889	-1.38999934368419	0.171683366608072	0.0271689548874317	0.989497108990565
amp33_16p13.13	20.536590283712	14.8003529511584	1.3875743606577	0.172416021141932	0.02702310028916	0.989497108990565
del43_16p13.11	22.906514535906	17.3752470690556	1.31834180227004	0.194368753512045	0.0229488243619786	0.989497108990565
amp1_1q21.1  	-14.4693754906102	10.9836885848924	-1.31735121391845	0.194697607892933	0.0228918008591893	0.989497108990565
del37_12p13.31	-13.4212956832513	10.3169773313197	-1.30089417202727	0.200222980426777	0.0219497554781691	0.989497108990565
amp35_16q24.1 	-18.2495135695686	14.8945466382311	-1.22524800605384	0.227150962100263	0.0177499049288734	0.989497108990565
del73_xq28    	18.2413440929319	14.9512188565716	1.22005732562159	0.229092407230075	0.0174696641611847	0.989497108990565
del31_9q34.13 	19.5425276818734	16.2054551284138	1.2059227912463	0.234440992483504	0.0167117824512524	0.989497108990565
amp24_11q14.2 	-11.9224285937601	9.95356200338424	-1.19780522688325	0.237553827104208	0.0162799957282653	0.989497108990565
del35_11q14.3 	-9.18345665300684	7.7441118972339	-1.18586311443757	0.242188026317711	0.0156493954190112	0.989497108990565
amp12_5q31.3  	-7.89160486540904	6.87221262518799	-1.14833537549243	0.257178439238062	0.0137037968610358	0.989497108990565
del46_16q22.1 	-18.6604533020709	16.519162488882	-1.12962465952073	0.26489670255569	0.0127543405613791	0.989497108990565
amp23_11q13.1 	7.58166920853564	7.07171271488186	1.07211216210475	0.289650095330112	0.00992276719562779	0.989497108990565
amp16_7q36.1  	13.9093289178918	13.0894297562235	1.06263826438111	0.293877684970181	0.00946901491629981	0.989497108990565
del56_19p13.2 	20.4753451591986	19.7078648341074	1.03894284497846	0.304638295168464	0.00834998183624103	0.989497108990565
