estimate	std_error	t_value	p_values	r_sq	FDR
del31_9q34.13 	-0.680991243654487	0.2357120660114	-2.88908096720663	0.00582727040610038	0.119441284167695	0.591034796346258
del21_6q27    	-0.786948417692582	0.293573304716097	-2.68058575166979	0.0101031589119018	0.100570053796817	0.591034796346258
del34_11p15.5 	-0.683238721590093	0.289489538491875	-2.36014995619357	0.0224702119146613	0.0729349070411569	0.638914738628356
del73_xq28    	-0.491312768580818	0.209245895071312	-2.34801628205599	0.0231337733440837	0.0719263835402928	0.638914738628356
del36_11q25   	-0.457211099780192	0.209331697913506	-2.18414652122636	0.0339755341485712	0.058612510156258	0.638914738628356
amp25_12p12.1 	-0.278052975000528	0.130347727123279	-2.13316320228242	0.0381624746401453	0.0545929566190474	0.638914738628356
del71_xp11.23 	-0.47468502310689	0.227499481935536	-2.08653232556106	0.0423816737012834	0.0509705058581064	0.638914738628356
amp12_5q31.3  	-0.220788963766762	0.106510407949993	-2.07293322799424	0.0436864778549303	0.0499240162435324	0.638914738628356
del72_xp11.22 	-0.443931889452435	0.225274347653976	-1.97062778818616	0.0546724809671983	0.0421999646210104	0.679831070832115
del1_1p36.33 	-0.617280842231722	0.317807479289836	-1.94231062028836	0.0581052197292406	0.0401097132121102	0.679831070832115
del24_7q22.1  	0.248283065140563	0.130872177010287	1.89714170584208	0.0639629860035011	0.0368197780646602	0.680333578400875
amp19_9p22.3  	0.253861695450576	0.148566562976181	1.70874044849026	0.0940958546538717	0.0237119692469181	0.809588158814126
del64_21p11.2 	-0.43870298005956	0.259609613493481	-1.68985645083045	0.0976789518961627	0.0224551943908468	0.809588158814126
del42_15q11.2 	-0.433947938490256	0.262010883707139	-1.65622104070798	0.104339408401608	0.0202434403700473	0.809588158814126
amp15_7q31.2  	0.218698567634648	0.136319561493417	1.60430803355547	0.115345735298599	0.0168981779161191	0.809588158814126
amp8_4q31.21 	-0.453592961383616	0.283459759954757	-1.60020230545604	0.116255019349729	0.0166371942111675	0.809588158814126
del44_16p11.2 	-0.707414485205416	0.443789393035091	-1.59403198072713	0.117632467520001	0.0162459712459739	0.809588158814126
amp20_9q33.2  	-0.461299720123548	0.298449998812476	-1.54565160649706	0.128896208886032	0.0132203744252422	0.837825357759211
del14_4q35.2  	-0.616466550783972	0.41590131724251	-1.48224236189306	0.144950203633126	0.00936936642257835	0.892588096056617
del70_22q13.33	-0.441078874053733	0.330513896327519	-1.3345244449772	0.188461582414428	0.000919584123174388	0.924010699868088
del9_2q37.3  	-0.395784186371463	0.296637225870533	-1.33423640680959	0.188555231524069	0.000903840065039518	0.924010699868088
del20_6q25.1  	-0.533043489250746	0.407262048758977	-1.30884645617006	0.196950086611456	-0.000472527228371877	0.924010699868088
del22_7p22.1  	0.194226580155127	0.151733948673225	1.28004696281526	0.206810710561622	-0.00200616866195613	0.924010699868088
amp22_10q25.1 	-0.288664472234474	0.232664208892067	-1.24069135347064	0.220877423641905	-0.00405408002438712	0.924010699868088
del19_6p21.33 	-0.28425134306171	0.232215516928613	-1.22408419050262	0.227021267069367	-0.00490150776783915	0.924010699868088
amp24_11q14.2 	-0.195339291935696	0.159589443303592	-1.22401136248151	0.227048484203674	-0.00490520200453504	0.924010699868088
del61_20p11.21	0.382856025907899	0.319820778742761	1.19709553398292	0.237272496996136	-0.00625729045412871	0.924010699868088
amp38_19q12   	-0.223804027530331	0.188411571435924	-1.1878465097694	0.240862152665602	-0.00671579000836098	0.924010699868088
del23_7p11.2  	0.307272367441828	0.270202588014119	1.13719254023493	0.261222357124787	-0.00917086391983535	0.924010699868088
amp2_2q24.2  	-0.35818953386076	0.316099100330971	-1.1331558156468	0.262896269869281	-0.00936241416080685	0.924010699868088
amp16_7q36.1  	0.226170864810821	0.201671715207735	1.12148034531193	0.267780724151268	-0.00991300781151883	0.924010699868088
del58_19p12   	-0.193161950693393	0.174697337752643	-1.10569487307754	0.274486448747991	-0.0106492923111969	0.924010699868088
del35_11q14.3 	-0.1360386752464	0.124060545075676	-1.09655068147103	0.278424659911745	-0.0110715160651891	0.924010699868088
amp6_3q29    	-0.0905567440111144	0.0828643957938607	-1.09283055941649	0.280038143016851	-0.0112423857321966	0.924010699868088
amp13_6p22.2  	-0.164165167859438	0.150730259091387	-1.08913212814094	0.281648707641756	-0.0114117404810674	0.924010699868088
amp21_10q21.2 	0.277039218229774	0.260645179061276	1.06289791826398	0.293259132520132	-0.0125981392465804	0.924010699868088
amp29_14q11.2 	-0.105434991741996	0.100408762164095	-1.05005767892732	0.299061062333463	-0.0131692651691862	0.924010699868088
amp32_15q26.3 	-0.210834952760388	0.202298848601351	-1.04219551528866	0.302652405159074	-0.0135158568420248	0.924010699868088
del10_3p21.1  	-0.294411646698587	0.288504120939197	-1.02047639992163	0.312726800499295	-0.0144609778850939	0.924010699868088
amp4_3q21.3  	-0.189444577577598	0.190043250115196	-0.996849808992239	0.323942148745176	-0.015468438832035	0.924010699868088
amp30_14q13.3 	-0.114055784577032	0.11606932904004	-0.982652226219783	0.330810187631609	-0.0160634249890703	0.924010699868088
amp14_6q21    	-0.163993461667272	0.1791441001461	-0.915427644748154	0.364640215056128	-0.0187735562390619	0.924010699868088
del6_2p11.2  	-0.267784674000649	0.292900514197187	-0.914251293599199	0.365251433207737	-0.0188193953292204	0.924010699868088
amp10_5p13.2  	0.128010299275366	0.140156008120697	0.913341504169611	0.365724601632705	-0.0188548096632983	0.924010699868088
del47_16q23.1 	-0.177444525443343	0.19917941885409	-0.890877814907827	0.377532695884613	-0.0197188069769441	0.924010699868088
del43_16p13.11	0.23175044669572	0.263150654804067	0.88067592637485	0.382974562859146	-0.0201045599437841	0.924010699868088
del13_4p16.1  	0.20589117862604	0.235190433380666	0.875423271544364	0.385795671686228	-0.0203015527627972	0.924010699868088
del5_2p23.3  	-0.208765780150282	0.242224083560458	-0.861870451037028	0.39313496324539	-0.0208047328091436	0.924010699868088
del16_5p14.3  	0.114573022790225	0.137310744046948	0.834406830910846	0.408272912845837	-0.0218017742454766	0.924010699868088
