estimate	std_error	t_value	p_values	r_sq	FDR
amp32_15q26.3 	0.910972583688929	0.287479990257274	3.16882083818659	0.00275109574847361	0.169248382529843	0.321878202571413
del73_xq28    	-0.910782581252287	0.317256351433535	-2.87080960597599	0.0062197534966754	0.141164087812198	0.363855579555511
del48_16q24.3 	1.27883998703087	0.472857162180929	2.70449533032885	0.00962299652572901	0.125941518031719	0.375296864503432
amp9_5p15.33 	-0.45729267686877	0.199170650350083	-2.29598425302616	0.0263884362346825	0.0904247232274177	0.771861759864463
del27_8q21.2  	-0.492281426024394	0.234285382963914	-2.1012041801183	0.0412551379888244	0.0746595433653142	0.841426219567711
amp19_9p22.3  	-0.839504700589239	0.423647545560947	-1.98161115150015	0.0536516044981265	0.065424892251387	0.841426219567711
amp42_21q11.2 	-0.62463765285513	0.325253143025824	-1.92046615459004	0.0611497568072336	0.0608450831692546	0.841426219567711
del69_22q13.33	0.874137550758303	0.483035291884728	1.80967636411732	0.0770279333119144	0.0528053661402036	0.841426219567711
del71_xp11.23 	-0.671210736483798	0.370901602813377	-1.80967332411751	0.0770284127056046	0.0528051502555408	0.841426219567711
amp27_12q14.3 	-0.352828344995064	0.198125164383726	-1.78083559497627	0.0816904273787943	0.0507691991239552	0.841426219567711
del39_13q11   	0.768225096125497	0.439695156061136	1.74717661892705	0.08742878580313	0.0484234277916139	0.841426219567711
amp22_10q25.1 	-0.632933602760471	0.366188699764411	-1.72843564852676	0.0907670162999866	0.0471317948739607	0.841426219567711
del9_2q37.3  	0.794517662896697	0.46366525544922	1.71355876585347	0.0934918021741901	0.0461139289541193	0.841426219567711
del64_21p11.2 	0.659523035926508	0.404741917365236	1.62949031871923	0.110190554056919	0.0404884223798984	0.902776120989988
del68_22q13.2 	0.757984696269702	0.477970218201069	1.58584084824892	0.119778432634251	0.0376542571222095	0.902776120989988
del15_5p15.33 	-0.314629255309482	0.201035391514851	-1.56504410959023	0.124578539686093	0.0363252462810821	0.902776120989988
del2_1p36.21 	-0.472900245516189	0.356900341260775	-1.32502043524429	0.191853376707329	0.0220278243564588	0.902776120989988
amp17_8p23.1  	0.213559634861846	0.162566163343805	1.31367826163306	0.195612852046514	0.0214014177842362	0.902776120989988
del20_6q25.1  	0.845184472955386	0.653149337165579	1.29401413254611	0.2022625781221	0.0203262995195531	0.902776120989988
amp36_17q21.2 	-0.407065367567023	0.324067632189239	-1.25611238869212	0.215557626134275	0.0182933657644901	0.902776120989988
amp16_7q36.1  	-0.372093955560051	0.31352953954541	-1.18679074418172	0.241537882330416	0.0147110855265528	0.902776120989988
del66_21q22.3 	-0.81358845314464	0.689197128450362	-1.18048729392412	0.244008837513457	0.0143941772456273	0.902776120989988
del47_16q23.1 	0.364422405339366	0.315648911185926	1.15451817644545	0.254382182326721	0.0131042691880784	0.902776120989988
amp11_5q22.3  	0.426398486809493	0.369657761864753	1.15349528888155	0.254797171739292	0.0130539805309982	0.902776120989988
amp1_1q21.1  	0.300635698775411	0.269939319576194	1.11371585009331	0.271314659363707	0.0111290157704796	0.902776120989988
amp44_21q22.3 	0.378334879271374	0.343687538354353	1.10081058243461	0.276832778121621	0.0105174618080122	0.902776120989988
del37_12p13.31	0.291071241537182	0.268273513321556	1.08497942243109	0.283709323909722	0.00977597761400495	0.902776120989988
del17_5q13.2  	0.331833671300389	0.31652623005654	1.04836073535237	0.300070611876505	0.00809793006205928	0.902776120989988
del23_7p11.2  	-0.494852983130121	0.477276340746887	-1.03682697188746	0.305356064330424	0.00758018072268829	0.902776120989988
del67_22q11.21	-0.721450387013773	0.699744679714632	-1.03101946742631	0.308041430360629	0.00732144819272695	0.902776120989988
del62_20q13.33	0.348649089196296	0.341434676237743	1.02112970199175	0.312651487022852	0.00688388305084953	0.902776120989988
amp31_15q25.3 	0.248162368724757	0.243684159804403	1.01837710306631	0.313942909614427	0.00676277856159058	0.902776120989988
del11_3q21.3  	-0.387359650320866	0.389995745116617	-0.993240708831418	0.325903676610387	0.00567065739347672	0.902776120989988
del29_9p21.3  	-0.400323696022308	0.405563221530647	-0.987080866236922	0.328880875378342	0.00540682981384399	0.902776120989988
amp38_19q12   	0.28937336889547	0.294250618745826	0.983424844198646	0.330656509213298	0.00525095188056479	0.902776120989988
del10_3p21.1  	-0.439663490630263	0.453159064336832	-0.970218903761048	0.337123600007315	0.00469232127666408	0.902776120989988
del72_xp11.22 	-0.364943019185284	0.378330621651548	-0.964614012982025	0.339893616539231	0.00445732174862068	0.902776120989988
del44_16p11.2 	-0.674648124112138	0.707776649679644	-0.953193531345656	0.345584320172009	0.00398236344451774	0.902776120989988
del59_19q13.2 	-0.289294101792711	0.317552002575768	-0.9110133126107	0.367142786561367	0.00227344783906414	0.902776120989988
del46_16q22.1 	0.351326582008032	0.388421810925192	0.904497564570842	0.370548720700548	0.00201585283167527	0.902776120989988
del7_2q14.3  	-0.375142429293384	0.416652747522573	-0.900371908079305	0.372715750040883	0.0018536360175988	0.902776120989988
del38_12q24.33	-0.341999333124112	0.382068277832557	-0.895126219492093	0.375482777325185	0.0016483760052487	0.902776120989988
del3_1p11.2  	0.412636240452651	0.462800527442272	0.891607109294233	0.377346390120525	0.00151130095328433	0.902776120989988
