estimate	p_values	FDR
amp27_12q14.3 	442.5	0.00226329148792233	0.215871117288249
amp11_5q22.3  	432	0.00369010456902989	0.215871117288249
del36_11q25   	160	0.0104228917011985	0.40649277634674
amp26_12q13.11	405	0.0208985622103133	0.411446190187902
del13_4p16.1  	195	0.0218700879371377	0.411446190187902
amp21_10q21.2 	403	0.0220834914582847	0.411446190187902
amp7_4q28.1  	401	0.0246164387291907	0.411446190187902
amp14_6q21    	394	0.0354993595193952	0.485425482789822
amp44_21q22.3 	393	0.0373404217530632	0.485425482789822
del9_2q37.3  	190	0.0525710880473017	0.569483858851226
amp2_2q24.2  	384	0.0577524734445401	0.569483858851226
amp42_21q11.2 	382	0.0633411563583057	0.569483858851226
del34_11p15.5 	195	0.0662949369603925	0.569483858851226
amp15_7q31.2  	380.5	0.0681433677257878	0.569483858851226
del20_6q25.1  	202	0.090200285406708	0.656649475038368
del33_10q26.3 	202	0.090200285406708	0.656649475038368
amp8_4q31.21 	370	0.106635384835291	0.656649475038368
amp35_16q24.1 	206	0.106635384835291	0.656649475038368
del23_7p11.2  	370	0.106635384835291	0.656649475038368
amp13_6p22.2  	367	0.120416332173764	0.666372213655617
del44_16p11.2 	366	0.124398583970311	0.666372213655617
del10_3p21.1  	210	0.125300758123278	0.666372213655617
del48_16q24.3 	363	0.140860901874425	0.707740140629155
del60_19q13.42	359	0.161433623442281	0.707740140629155
del19_6p21.33 	218	0.168216706273124	0.707740140629155
del61_20p11.21	218	0.169956431120012	0.707740140629155
del50_17p11.2 	219	0.174339710773306	0.707740140629155
del26_8p23.1  	221	0.187165289282121	0.707740140629155
amp34_16q13   	355	0.189404684212519	0.707740140629155
amp43_21q22.11	353	0.20323126858134	0.707740140629155
del6_2p11.2  	223	0.20323126858134	0.707740140629155
amp5_3q25.1  	352	0.210407858063552	0.707740140629155
del56_19p13.2 	225	0.217761964364698	0.707740140629155
del72_xp11.22 	225	0.217761964364698	0.707740140629155
del71_xp11.23 	228	0.237933353055642	0.707740140629155
amp1_1q21.1  	348	0.240902518092707	0.707740140629155
amp18_8q24.13 	347.5	0.242091101508769	0.707740140629155
amp39_19q13.12	347	0.248979272672091	0.707740140629155
del1_1p36.33 	229	0.248979272672091	0.707740140629155
del28_8q24.3  	230	0.257239278219273	0.707740140629155
amp25_12p12.1 	345	0.262624592610795	0.707740140629155
del63_20q13.33	231	0.265683329268989	0.707740140629155
del12_3q29    	344	0.271073394176834	0.707740140629155
del29_9p21.3  	233	0.283126153838103	0.707740140629155
del55_18q23   	233	0.283126153838103	0.707740140629155
del39_13q11   	342.5	0.283475622710805	0.707740140629155
amp32_15q26.3 	234	0.292125895251522	0.707740140629155
del2_1p36.21 	341	0.29788989737277	0.707740140629155
amp36_17q21.2 	341	0.301311611542438	0.707740140629155
del3_1p11.2  	235.5	0.302453051550921	0.707740140629155
amp24_11q14.2 	340	0.310683457898518	0.712744403414247
amp10_5p13.2  	339	0.320241440636156	0.714968443167356
del14_4q35.2  	238	0.32998543530801	0.714968443167356
del67_22q11.21	338	0.32998543530801	0.714968443167356
amp16_7q36.1  	336	0.346310991837072	0.726872601491725
del54_18p11.21	240	0.350030211609334	0.726872601491725
amp3_2q31.2  	335	0.360330007577094	0.726872601491725
del15_5p15.33 	335	0.360330007577094	0.726872601491725
del51_17q11.2 	332	0.392329982772997	0.761179538082855
del70_22q13.33	244	0.392329982772997	0.761179538082855
amp23_11q13.1 	331	0.403360097103735	0.761179538082855
del52_17q25.1 	331	0.403360097103735	0.761179538082855
del27_8q21.2  	329	0.421955491968659	0.783631627941795
amp33_16p13.13	328	0.437522197630725	0.787539955735305
del21_6q27    	248	0.437522197630725	0.787539955735305
