estimate	p_values	FDR
amp20_9q33.2  	58	0.00589707810826601	0.684061060558857
del45_16q11.2 	243	0.0202457742507805	0.992404014548252
amp1_1q21.1  	239	0.0275944099976858	0.992404014548252
del62_20q13.33	235	0.0369865999484544	0.992404014548252
del50_17p11.2 	232.5	0.0457411463142984	0.992404014548252
del37_12p13.31	225	0.0724268161313092	0.992404014548252
del9_2q37.3  	220	0.0971277851494971	0.992404014548252
del8_2q37.3  	219	0.102880900456675	0.992404014548252
del36_11q25   	219	0.102880900456675	0.992404014548252
del39_13q11   	217.5	0.110028533026782	0.992404014548252
del63_20q13.33	216	0.121689812337089	0.992404014548252
amp26_12q13.11	101	0.133253656208768	0.992404014548252
amp36_17q21.2 	101	0.135579800838004	0.992404014548252
del64_21p11.2 	213	0.139621269103423	0.992404014548252
amp8_4q31.21 	103	0.150602461150973	0.992404014548252
del4_1q42.13 	211	0.158551584726967	0.992404014548252
amp6_3q29    	210	0.16319094137368	0.992404014548252
amp4_3q21.3  	209	0.175349173327625	0.992404014548252
del42_15q11.2 	206	0.198125925058838	0.992404014548252
amp38_19q12   	109	0.202858341799682	0.992404014548252
del34_11p15.5 	204	0.22278294296442	0.992404014548252
amp44_21q22.3 	203	0.233230022956311	0.992404014548252
del14_4q35.2  	203	0.233230022956311	0.992404014548252
amp5_3q25.1  	113	0.244003373782445	0.992404014548252
amp37_17q23.3 	113	0.244003373782445	0.992404014548252
del46_16q22.1 	202	0.244003373782445	0.992404014548252
amp7_4q28.1  	115	0.266537154960184	0.992404014548252
amp28_13q33.1 	115	0.266537154960184	0.992404014548252
del24_7q22.1  	199	0.271665587307367	0.992404014548252
del44_16p11.2 	199	0.271665587307367	0.992404014548252
del73_xq28    	117	0.290395573300835	0.992404014548252
amp29_14q11.2 	197	0.302823345235056	0.992404014548252
del57_19p13.12	196	0.315583412615028	0.992404014548252
amp17_8p23.1  	121	0.334453696865046	0.992404014548252
amp27_12q14.3 	121.5	0.341210279727113	0.992404014548252
amp2_2q24.2  	121	0.34209868463147	0.992404014548252
del56_19p13.2 	194	0.34209868463147	0.992404014548252
del17_5q13.2  	192.5	0.354129547779242	0.992404014548252
del61_20p11.21	193	0.35585154221085	0.992404014548252
del19_6p21.33 	192	0.362000013121457	0.992404014548252
amp33_16p13.13	192	0.369932120717069	0.992404014548252
amp24_11q14.2 	124	0.384338297334162	0.992404014548252
del48_16q24.3 	191	0.384338297334162	0.992404014548252
del65_21q22.3 	191	0.384338297334162	0.992404014548252
amp14_6q21    	125	0.399067067231077	0.992404014548252
del55_18q23   	188	0.42947936592982	0.992404014548252
del31_9q34.13 	187	0.434703807849201	0.992404014548252
amp13_6p22.2  	128	0.445154866899439	0.992404014548252
amp39_19q13.12	128	0.445154866899439	0.992404014548252
amp3_2q31.2  	129	0.461137040029133	0.992404014548252
amp32_15q26.3 	186	0.461137040029133	0.992404014548252
amp19_9p22.3  	130	0.477420832418928	0.992404014548252
amp43_21q22.11	131	0.494000368951395	0.992404014548252
del1_1p36.33 	183	0.510869729660882	0.992404014548252
del2_1p36.21 	182	0.519902422323023	0.992404014548252
del6_2p11.2  	133	0.528022007920795	0.992404014548252
del47_16q23.1 	182	0.528022007920795	0.992404014548252
del53_18p11.21	133.5	0.528662320019606	0.992404014548252
amp30_14q13.3 	181	0.53744350662681	0.992404014548252
del22_7p22.1  	134	0.53744350662681	0.992404014548252
del70_22q13.33	181	0.545450297104539	0.992404014548252
amp35_16q24.1 	135	0.563146883317477	0.992404014548252
del33_10q26.3 	135	0.563146883317477	0.992404014548252
del35_11q14.3 	135	0.563146883317477	0.992404014548252
del27_8q21.2  	136	0.573394812632186	0.992404014548252
del54_18p11.21	179	0.581103828423848	0.992404014548252
del3_1p11.2  	137	0.591740713605117	0.992404014548252
del18_6p22.1  	178	0.591804005476152	0.992404014548252
del30_9q34.13 	177	0.610402177563964	0.992404014548252
del7_2q14.3  	177	0.617764247234509	0.992404014548252
del66_21q22.3 	139	0.636449452761963	0.992404014548252
del10_3p21.1  	175	0.655358570525627	0.992404014548252
del20_6q25.1  	174	0.674481360180876	0.992404014548252
del23_7p11.2  	174	0.674481360180876	0.992404014548252
amp23_11q13.1 	142	0.693807372091369	0.992404014548252
amp25_12p12.1 	143	0.707401279989522	0.992404014548252
