estimate	std_error	t_value	p_values	r_sq	FDR
amp6_3q29    	0.300303815869379	0.079244057460616	3.7896067603382	0.000428893906495561	0.203764521708409	0.0394292719729086
amp27_12q14.3 	0.454966271638095	0.124940885578604	3.64145227185751	0.000674004649109549	0.189217413696609	0.0394292719729086
del12_3q29    	0.498922321927382	0.173917437621372	2.86873086880203	0.00615493361779971	0.11536774858662	0.240042411094189
amp21_10q21.2 	-0.701625230441131	0.265576238787475	-2.64189760968262	0.0111609116653922	0.0948825213092948	0.265627310536891
del36_11q25   	0.583145141775326	0.221283647991947	2.63528347922278	0.0113515944673885	0.0942968812571587	0.265627310536891
amp8_4q31.21 	-0.735156848190379	0.295221127611311	-2.49019050275523	0.0163601998517563	0.081636520153242	0.319023897109247
amp11_5q22.3  	-0.558194534261201	0.237769402153095	-2.3476298010027	0.0231551947193063	0.0695747555351599	0.353829032511442
del55_18q23   	0.691061097665736	0.300235263071446	2.30173195045808	0.0258290728168514	0.0657782648397719	0.353829032511442
del54_18p11.21	0.669079124685363	0.293513869317425	2.27954858229128	0.0272176178854955	0.0639593001238121	0.353829032511442
del52_17q25.1 	0.525546198688412	0.239876394621801	2.19090419262391	0.0334521394979364	0.0567984064456445	0.391390032125856
del11_3q21.3  	0.544772038188192	0.255368024677856	2.1332821087347	0.0381522047234571	0.0522394893585258	0.392234764854771
del5_2p23.3  	0.531202089841796	0.251780004248771	2.10978664261576	0.0402292066517713	0.0504030895537363	0.392234764854771
amp7_4q28.1  	-0.399529202681767	0.206469714585825	-1.93504991026513	0.059014616564273	0.0371768555326001	0.501206384163013
amp20_9q33.2  	-0.611261445975678	0.317862090330276	-1.92303978540047	0.0605456388205315	0.0362968714135801	0.501206384163013
del45_16q11.2 	0.648706537854461	0.349231066456066	1.85752815302893	0.0695075128916902	0.0315658596318102	0.501206384163013
del37_12p13.31	0.323013496710313	0.173965463566269	1.85676794743381	0.0696177806578011	0.0315116548905686	0.501206384163013
amp5_3q25.1  	0.454069681407567	0.247437068307447	1.83509158313892	0.0728248592373608	0.0299728800165761	0.501206384163013
del69_22q13.33	-0.572309979378743	0.321391764117569	-1.78072384944309	0.0814214531488476	0.0261720469266461	0.509191977692806
amp40_19q13.33	0.404086295227117	0.230108743557517	1.75606667082649	0.0855918483018228	0.02447639018155	0.509191977692806
amp32_15q26.3 	-0.371570694191424	0.214046250689262	-1.73593647632186	0.0891273499974733	0.023105276869018	0.509191977692806
amp31_15q25.3 	-0.285212713219204	0.165496062616709	-1.72338065757951	0.0913934318935805	0.0222561482583569	0.509191977692806
del53_18p11.21	0.411389334618698	0.243091561338603	1.69232256501769	0.0972047287357244	0.020176004857518	0.516952421003625
del49_17p11.2 	0.418095184327555	0.259109493776332	1.61358496840128	0.113312449304984	0.0150342989054402	0.576415502986224
