estimate	p_values	FDR
del34_11p15.5 	0	0.0957649100499994	0.734322899277818
amp23_11q13.1 	1	0.1097957518518	0.734322899277818
del52_17q25.1 	50	0.1097957518518	0.734322899277818
amp29_14q11.2 	2	0.125403489071061	0.734322899277818
amp42_21q11.2 	49	0.125403489071061	0.734322899277818
del10_3p21.1  	2	0.125403489071061	0.734322899277818
del48_16q24.3 	49	0.125403489071061	0.734322899277818
del57_19p13.12	2	0.125403489071061	0.734322899277818
del19_6p21.33 	3	0.142679941120599	0.734322899277818
amp19_9p22.3  	3	0.142688466559439	0.734322899277818
del36_11q25   	3	0.142688466559439	0.734322899277818
del64_21p11.2 	47.5	0.151254900886579	0.734322899277818
del25_7q35    	4	0.16171034746463	0.734322899277818
amp22_10q25.1 	47	0.161746160564556	0.734322899277818
del45_16q11.2 	47	0.161746160564556	0.734322899277818
del67_22q11.21	47	0.161746160564556	0.734322899277818
del32_10q11.22	46	0.182478506879105	0.734322899277818
del22_7p22.1  	46	0.182627977066787	0.734322899277818
amp24_11q14.2 	5	0.182665334852471	0.734322899277818
amp28_13q33.1 	5	0.182665334852471	0.734322899277818
amp33_16p13.13	46	0.182665334852471	0.734322899277818
amp41_20q13.2 	46	0.182665334852471	0.734322899277818
del63_20q13.33	5	0.182665334852471	0.734322899277818
del68_22q13.2 	46	0.182665334852471	0.734322899277818
amp3_2q31.2  	6	0.205526132761429	0.734322899277818
amp11_5q22.3  	45	0.205526132761429	0.734322899277818
amp34_16q13   	6	0.205526132761429	0.734322899277818
amp37_17q23.3 	6	0.205526132761429	0.734322899277818
amp40_19q13.33	44	0.230398143022626	0.734322899277818
del56_19p13.2 	44	0.230398143022626	0.734322899277818
del42_15q11.2 	8	0.257328325372337	0.734322899277818
amp21_10q21.2 	8	0.257338481599333	0.734322899277818
amp32_15q26.3 	43	0.257338481599333	0.734322899277818
del11_3q21.3  	8	0.257338481599333	0.734322899277818
del33_10q26.3 	8	0.257338481599333	0.734322899277818
del49_17p11.2 	42.5	0.261497909983313	0.734322899277818
del16_5p14.3  	42	0.2862870638307	0.734322899277818
