estimate	std_error	t_value	p_values	r_sq	FDR
amp27_12q14.3 	6.57354857022515	2.42171736231118	2.71441608856933	0.00925455831157027	0.121029754534414	0.681955599526307
amp22_10q25.1 	11.077959073406	4.4106440367519	2.51164205977594	0.0155112020544294	0.103556832668797	0.681955599526307
amp32_15q26.3 	-9.42367817128182	3.82570960740812	-2.46324973360073	0.0174860410134951	0.099490026643222	0.681955599526307
del48_16q24.3 	-12.6236078517212	6.19229188466482	-2.03860026091203	0.0471374850150543	0.0658377475122643	0.979690468239893
del5_2p23.3  	8.06427676233447	4.70523656524513	1.7138940094746	0.0931371157610412	0.0430444693236495	0.979690468239893
del69_22q13.33	-10.1431406326127	5.93173583688356	-1.70997848042096	0.093864796094728	0.0427874947312246	0.979690468239893
amp1_1q21.1  	-5.57206301353939	3.26892308352154	-1.7045561706936	0.0948802682011722	0.0424323742700203	0.979690468239893
del73_xq28    	6.93241901318735	4.27611864565889	1.62119426228389	0.111666511311387	0.037083066128581	0.979690468239893
del32_10q11.22	9.47572279556411	6.13252782697732	1.54515773314226	0.129015503721207	0.0323889573517131	0.979690468239893
amp42_21q11.2 	6.40700757716164	4.2064229345648	1.52314868876221	0.134422227028501	0.0310640734522335	0.979690468239893
del68_22q13.2 	-9.11006728589144	6.06513148849717	-1.50203953585658	0.13977629298203	0.0298078756099396	0.979690468239893
del34_11p15.5 	-8.75310006770984	5.94692031900478	-1.47187108590261	0.14772051835297	0.0280374804892746	0.979690468239893
amp31_15q25.3 	-4.51566944007461	3.07190895901634	-1.4699880433698	0.148227957016116	0.0279279558059775	0.979690468239893
del22_7p22.1  	4.12417075449226	3.00694483362112	1.3715485260585	0.17671661252407	0.0223653305276554	0.979690468239893
del42_15q11.2 	-7.09194780015357	5.2541373272748	-1.34978348649901	0.18355092522615	0.0211792811460297	0.979690468239893
del58_19p12   	-4.50606607597175	3.45349783061187	-1.30478323629738	0.198319367154011	0.0187784543159439	0.979690468239893
del64_21p11.2 	-6.72194303074206	5.2206507959481	-1.28756802426992	0.20420056831011	0.0178784998218156	0.979690468239893
del39_13q11   	-6.73287769277569	5.6654473611338	-1.18841059912844	0.240642098527884	0.0128979021975516	0.979690468239893
amp36_17q21.2 	4.59604243255961	3.9320650992762	1.16886224325371	0.248353491718004	0.0119574432400228	0.979690468239893
del14_4q35.2  	-9.53155447253665	8.33833649045844	-1.14310024348905	0.258786337473317	0.0107392145258569	0.979690468239893
amp11_5q22.3  	-5.18664127921664	4.56483577474468	-1.13621640189383	0.261626434534624	0.0104177890941516	0.979690468239893
del20_6q25.1  	-9.22135419018925	8.12647260042358	-1.13473023827197	0.262242495403284	0.0103486235654414	0.979690468239893
