estimate	p_values	FDR
del72_xp11.22 	15	3.87677819261363e-12	4.53583048535795e-10
del71_xp11.23 	38	5.40409938505208e-08	3.16139814025547e-06
del73_xq28    	76	3.18159092643153e-07	1.2408204613083e-05
amp32_15q26.3 	200	0.0133678331377954	0.391009119280515
del21_6q27    	216	0.0302553064508337	0.606614272533068
amp15_7q31.2  	451	0.031108424232465	0.606614272533068
del25_7q35    	438	0.0553287776817964	0.794134693448783
amp42_21q11.2 	232	0.0623913176562886	0.794134693448783
amp3_2q31.2  	433	0.0678747601238276	0.794134693448783
del70_22q13.33	234	0.0678747601238276	0.794134693448783
amp7_4q28.1  	430	0.0768226762635875	0.817113920258158
del3_1p11.2  	421	0.108879071304771	0.991499658941039
del56_19p13.2 	248	0.117946403092895	0.991499658941039
del13_4p16.1  	400	0.128477224325799	0.991499658941039
del59_19q13.2 	251.5	0.13319830786558	0.991499658941039
amp1_1q21.1  	413	0.146606048784232	0.991499658941039
del29_9p21.3  	257	0.162763647393209	0.991499658941039
del2_1p36.21 	259	0.172721593038746	0.991499658941039
amp41_20q13.2 	408	0.174245106882837	0.991499658941039
del1_1p36.33 	260	0.180203669161118	0.991499658941039
amp37_17q23.3 	406	0.186309503342493	0.991499658941039
del64_21p11.2 	263.5	0.199566644718138	0.991499658941039
amp43_21q22.11	264	0.205524909585921	0.991499658941039
del52_17q25.1 	264	0.205524909585921	0.991499658941039
del17_5q13.2  	401.5	0.212811227090582	0.991499658941039
del47_16q23.1 	267	0.226114250026533	0.991499658941039
del23_7p11.2  	271	0.255754417884128	0.991499658941039
del68_22q13.2 	271	0.255754417884128	0.991499658941039
amp31_15q25.3 	272	0.263560832020156	0.991499658941039
del58_19p12   	395	0.263560832020156	0.991499658941039
del34_11p15.5 	274	0.279653749957729	0.991499658941039
del36_11q25   	393	0.279653749957729	0.991499658941039
del54_18p11.21	274	0.279653749957729	0.991499658941039
amp18_8q24.13 	391.5	0.28940996855054	0.995910774129798
amp39_19q13.12	279	0.322702786149225	0.99641599544259
amp28_13q33.1 	387	0.331796419799432	0.99641599544259
del57_19p13.12	281	0.341051055589243	0.99641599544259
del41_15q11.1 	385	0.347198061812816	0.99641599544259
del4_1q42.13 	385	0.350466359143008	0.99641599544259
del43_16p13.11	284	0.369777072880626	0.99641599544259
del18_6p22.1  	382.5	0.371528358957647	0.99641599544259
amp26_12q13.11	382.5	0.371538568040475	0.99641599544259
del65_21q22.3 	285	0.379671251618973	0.99641599544259
del32_10q11.22	287	0.396506238217968	0.99641599544259
amp24_11q14.2 	288	0.410299270451037	0.99641599544259
del40_14q11.2 	378	0.417358096768945	0.99641599544259
amp40_19q13.33	289	0.420820367504621	0.99641599544259
amp8_4q31.21 	290	0.431495347490205	0.99641599544259
del16_5p14.3  	375.5	0.444408788125213	0.99641599544259
amp25_12p12.1 	371.5	0.48961327287962	0.99641599544259
amp21_10q21.2 	371	0.498691448386473	0.99641599544259
amp17_8p23.1  	297	0.507146705877723	0.99641599544259
del55_18q23   	370	0.51039845613065	0.99641599544259
amp35_16q24.1 	298	0.522245025037575	0.99641599544259
amp16_7q36.1  	367	0.54317874436367	0.99641599544259
del53_18p11.21	300	0.54317874436367	0.99641599544259
amp27_12q14.3 	366	0.555466549511015	0.99641599544259
amp22_10q25.1 	366	0.558598325084998	0.99641599544259
del8_2q37.3  	366	0.558598325084998	0.99641599544259
del37_12p13.31	302	0.567863768460672	0.99641599544259
amp33_16p13.13	302	0.570978793140011	0.99641599544259
del31_9q34.13 	303	0.578661253303412	0.99641599544259
del42_15q11.2 	303	0.580441980656475	0.99641599544259
amp2_2q24.2  	364	0.5834860821379	0.99641599544259
del38_12q24.33	363	0.596117308585835	0.99641599544259
del63_20q13.33	362	0.60886948076806	0.99641599544259
del24_7q22.1  	305.5	0.612381025481928	0.99641599544259
del14_4q35.2  	361	0.621739500902481	0.99641599544259
del45_16q11.2 	306	0.621739500902481	0.99641599544259
amp9_5p15.33 	360	0.634724166968779	0.99641599544259
amp23_11q13.1 	360	0.634724166968779	0.99641599544259
del20_6q25.1  	307	0.634724166968779	0.99641599544259
del35_11q14.3 	360	0.634724166968779	0.99641599544259
del10_3p21.1  	308	0.647820175152962	0.99641599544259
del30_9q34.13 	357	0.671676538579353	0.99641599544259
del44_16p11.2 	310.5	0.678468114605779	0.99641599544259
amp44_21q22.3 	356	0.687741735515628	0.99641599544259
amp19_9p22.3  	312	0.701248120930419	0.99641599544259
del5_2p23.3  	312	0.701248120930419	0.99641599544259
del12_3q29    	354.5	0.705595722383807	0.99641599544259
del27_8q21.2  	354	0.712488201014977	0.99641599544259
amp29_14q11.2 	354	0.71484788815552	0.99641599544259
del6_2p11.2  	354	0.71484788815552	0.99641599544259
del50_17p11.2 	353	0.726237045525355	0.99641599544259
del9_2q37.3  	314	0.728537176502156	0.99641599544259
amp13_6p22.2  	352	0.74231204276041	0.99641599544259
del48_16q24.3 	351	0.756168464674804	0.99641599544259
amp30_14q13.3 	349	0.782250596340958	0.99641599544259
amp20_9q33.2  	319	0.798185727099519	0.99641599544259
del7_2q14.3  	319	0.798185727099519	0.99641599544259
del28_8q24.3  	348	0.798185727099519	0.99641599544259
del26_8p23.1  	320	0.810626771266739	0.99641599544259
amp12_5q31.3  	320	0.81232668836946	0.99641599544259
del11_3q21.3  	346	0.826528030718193	0.99641599544259
del67_22q11.21	345	0.840785332907613	0.99641599544259
del22_7p22.1  	325	0.88281112041324	0.99641599544259
amp36_17q21.2 	325	0.883848016796785	0.99641599544259
del66_21q22.3 	325	0.883848016796785	0.99641599544259
amp5_3q25.1  	341	0.898283949512568	0.99641599544259
amp38_19q12   	326	0.898283949512568	0.99641599544259
del49_17p11.2 	340	0.910105656551572	0.99641599544259
del19_6p21.33 	340	0.911974905435204	0.99641599544259
del60_19q13.42	328	0.926470137629571	0.99641599544259
amp14_6q21    	339	0.927250568877416	0.99641599544259
del33_10q26.3 	328	0.927250568877416	0.99641599544259
del62_20q13.33	339	0.927250568877416	0.99641599544259
amp4_3q21.3  	338	0.941771877106497	0.99641599544259
del15_5p15.33 	329	0.941771877106497	0.99641599544259
del51_17q11.2 	329	0.941771877106497	0.99641599544259
amp10_5p13.2  	337	0.956312224535573	0.99641599544259
del69_22q13.33	330	0.956312224535573	0.99641599544259
del39_13q11   	330.5	0.963195935541878	0.99641599544259
del46_16q22.1 	331	0.970866867354319	0.99641599544259
del61_20p11.21	331	0.970866867354319	0.99641599544259
amp6_3q29    	332	0.985297270500871	1
amp11_5q22.3  	333	1	1
amp34_16q13   	333	1	1
