estimate	p_values	FDR
del9_2q37.3  	91	0.0301666752708816	0.966209317675891
amp37_17q23.3 	254	0.0479772939086211	0.966209317675891
amp39_19q13.12	247	0.0733934140083131	0.966209317675891
del34_11p15.5 	109	0.0920589899661565	0.966209317675891
del69_22q13.33	111	0.102665237636125	0.966209317675891
del58_19p12   	239	0.114177802148635	0.966209317675891
amp41_20q13.2 	236	0.133236200716203	0.966209317675891
amp34_16q13   	234	0.147191594206885	0.966209317675891
amp1_1q21.1  	233	0.154557886533726	0.966209317675891
del56_19p13.2 	229	0.186712756024396	0.966209317675891
del70_22q13.33	123	0.186712756024396	0.966209317675891
amp33_16p13.13	227	0.204455481758632	0.966209317675891
del16_5p14.3  	226	0.209231705862977	0.966209317675891
amp32_15q26.3 	126	0.213754720607852	0.966209317675891
del46_16q22.1 	226	0.213754720607852	0.966209317675891
del37_12p13.31	127	0.218638706746108	0.966209317675891
del14_4q35.2  	128	0.233221539665464	0.966209317675891
amp29_14q11.2 	223	0.243393611340501	0.966209317675891
del7_2q14.3  	129	0.243393611340501	0.966209317675891
amp16_7q36.1  	222	0.248504293342134	0.966209317675891
amp35_16q24.1 	130	0.253861171025017	0.966209317675891
amp23_11q13.1 	221	0.264624907056207	0.966209317675891
del25_7q35    	220	0.269881382292635	0.966209317675891
del2_1p36.21 	133	0.28104637662776	0.966209317675891
amp20_9q33.2  	219	0.287046917156293	0.966209317675891
amp38_19q12   	218	0.298706549295873	0.966209317675891
del41_15q11.1 	217	0.304140525939323	0.966209317675891
amp18_8q24.13 	216.5	0.310345826860874	0.966209317675891
amp10_5p13.2  	217	0.310665020770043	0.966209317675891
amp12_5q31.3  	135	0.310665020770043	0.966209317675891
del5_2p23.3  	135	0.310665020770043	0.966209317675891
del27_8q21.2  	216	0.316401746867044	0.966209317675891
amp25_12p12.1 	216	0.316432737525915	0.966209317675891
del18_6p22.1  	215	0.328829691088844	0.966209317675891
amp17_8p23.1  	214	0.34155838106746	0.966209317675891
del47_16q23.1 	138	0.348333088495248	0.966209317675891
del66_21q22.3 	138	0.348333088495248	0.966209317675891
del64_21p11.2 	139	0.353733114117084	0.966209317675891
amp8_4q31.21 	213	0.361482954717977	0.966209317675891
del55_18q23   	213	0.361482954717977	0.966209317675891
amp4_3q21.3  	140	0.374927849172829	0.966209317675891
del62_20q13.33	140	0.374927849172829	0.966209317675891
amp6_3q29    	143.5	0.416933217917762	0.966209317675891
del3_1p11.2  	208	0.424250038235049	0.966209317675891
amp24_11q14.2 	208	0.431604829602326	0.966209317675891
amp5_3q25.1  	206	0.461638164124968	0.966209317675891
del1_1p36.33 	146	0.461638164124968	0.966209317675891
del11_3q21.3  	146	0.461638164124968	0.966209317675891
del43_16p13.11	146	0.461638164124968	0.966209317675891
del72_xp11.22 	146	0.461638164124968	0.966209317675891
del40_14q11.2 	205	0.469604820604532	0.966209317675891
amp43_21q22.11	205	0.477064504968951	0.966209317675891
del4_1q42.13 	204	0.492758308665149	0.966209317675891
