sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X2991	1p	4	2	73993391	90467791	0.82	TETRAPLOID
X2991	1q	4	2	94327769	102273869	0.92	TETRAPLOID
X2991	2p	4	2	93125051	93125051	1	TETRAPLOID
X2991	2q	4	2	123335409	146092945	0.84	TETRAPLOID
X2991	3p	4	2	33715116	33715116	1	TETRAPLOID
X2991	3q	4	2	101434784	105956997	0.96	TETRAPLOID
X2991	4p	1	0	316600	316600	1	LOSS BEFORE & AFTER
X2991	4q	3	1	128542900	128542900	1	LOSS AFTER
X2991	5p	3	1	26687553.5	26718753.5	1	LOSS AFTER
X2991	5q	3	1	123817185.5	132764770.5	0.93	LOSS AFTER
X2991	6q	3	1	92931854	92931854	1	LOSS AFTER
X2991	7p	1	0	18500	18500	1	LOSS BEFORE & AFTER
X2991	7q	4	2	57879944	58611882	0.99	TETRAPLOID
X2991	8p	3	1	32581004.5	32812204.5	0.99	LOSS AFTER
X2991	8q	3	1	92308396.5	100096896.5	0.92	LOSS AFTER
X2991	10p	4	2	40593001.5	40593001.5	1	TETRAPLOID
X2991	10q	4	2	81904845.5	93013457.5	0.88	TETRAPLOID
X2991	13q	3	1	95117271	96040471	0.99	LOSS AFTER
X2991	15q	3	1	82087600	82087600	1	LOSS AFTER
X2991	16p	3	1	33084015	35200878	0.94	LOSS AFTER
X2991	16q	1	0	43405566	43779986	0.99	LOSS BEFORE & AFTER
X2991	17p	3	1	20870518	24629356.5	0.85	LOSS AFTER
X2991	18p	5	2	14762600	18101035.5	0.82	GAIN
X2991	18q	4	2	62086347.5	62086347.5	1	TETRAPLOID
X2991	19p	2	1	22858395	25728458	0.89	DOUBLE LOSS AFTER
X2991	20p	3	1	28149151	28149151	1	LOSS AFTER
X2991	20q	3	1	30537298	36089487	0.85	LOSS AFTER
X2991	21q	3	1	31932187	32966221	0.97	LOSS AFTER
X2991	23p	4	2	8765060.5	8765060.5	1	TETRAPLOID
X2991	23q	4	2	95493039.5	95493039.5	1	TETRAPLOID
