sample no_occurences quality_scores
total_map_quality.txt sample no_occurences
total_map_quality.txt X1032N 5153716
total_map_quality.txt X1032N 22169
total_map_quality.txt X1032N 28043
total_map_quality.txt X1032N 9381
total_map_quality.txt X1032N 19196
total_map_quality.txt X1032N 25442
total_map_quality.txt X1032N 8310
total_map_quality.txt X1032N 43822
total_map_quality.txt X1032N 13956
total_map_quality.txt X1032N 19328
total_map_quality.txt X1032N 20819
total_map_quality.txt X1032N 33693
total_map_quality.txt X1032N 6755
total_map_quality.txt X1032N 45514
total_map_quality.txt X1032N 61243
total_map_quality.txt X1032N 78503
total_map_quality.txt X1032N 72493
total_map_quality.txt X1032N 132475
total_map_quality.txt X1032N 255946
total_map_quality.txt X1032N 9194
total_map_quality.txt X1032N 792394
total_map_quality.txt X1032N 5985
total_map_quality.txt X1032N 5379
total_map_quality.txt X1032N 44412
total_map_quality.txt X1032N 15189
total_map_quality.txt X1032N 17196
total_map_quality.txt X1032N 3160
total_map_quality.txt X1032N 45204
total_map_quality.txt X1032N 6158
total_map_quality.txt X1032N 6272
total_map_quality.txt X1032N 13586
total_map_quality.txt X1032N 22284
total_map_quality.txt X1032N 5788
total_map_quality.txt X1032N 57121
total_map_quality.txt X1032N 10865
total_map_quality.txt X1032N 940474
total_map_quality.txt X1032N 12684
total_map_quality.txt X1032N 41419
total_map_quality.txt X1032N 33254
total_map_quality.txt X1032N 29441
total_map_quality.txt X1032N 92711
total_map_quality.txt X1032N 49184
total_map_quality.txt X1032N 118270
total_map_quality.txt X1032N 161052
total_map_quality.txt X1032N 152522
total_map_quality.txt X1032N 11572
total_map_quality.txt X1032N 653943
total_map_quality.txt X1032N 39215
total_map_quality.txt X1032N 65201
total_map_quality.txt X1032N 23128
total_map_quality.txt X1032N 40521
total_map_quality.txt X1032N 85839
total_map_quality.txt X1032N 8463
total_map_quality.txt X1032N 139624
total_map_quality.txt X1032N 11169
total_map_quality.txt X1032N 18483
total_map_quality.txt X1032N 19184
total_map_quality.txt X1032N 99759786
total_map_quality.txt X1032N 27131
total_map_quality.txt X1032N 13359
total_map_quality.txt X1032N 51442
total_map_quality.txt X1032T 5295551
total_map_quality.txt X1032T 24008
total_map_quality.txt X1032T 30403
total_map_quality.txt X1032T 10022
total_map_quality.txt X1032T 20680
total_map_quality.txt X1032T 28076
total_map_quality.txt X1032T 9397
total_map_quality.txt X1032T 47853
total_map_quality.txt X1032T 15062
total_map_quality.txt X1032T 20266
total_map_quality.txt X1032T 22292
total_map_quality.txt X1032T 38572
total_map_quality.txt X1032T 7437
total_map_quality.txt X1032T 51547
total_map_quality.txt X1032T 66884
total_map_quality.txt X1032T 88094
total_map_quality.txt X1032T 83278
total_map_quality.txt X1032T 147380
total_map_quality.txt X1032T 282351
total_map_quality.txt X1032T 10494
total_map_quality.txt X1032T 860865
total_map_quality.txt X1032T 6528
total_map_quality.txt X1032T 6124
total_map_quality.txt X1032T 48646
total_map_quality.txt X1032T 16404
total_map_quality.txt X1032T 19015
total_map_quality.txt X1032T 3569
total_map_quality.txt X1032T 50223
total_map_quality.txt X1032T 7006
total_map_quality.txt X1032T 7196
total_map_quality.txt X1032T 14479
total_map_quality.txt X1032T 24180
total_map_quality.txt X1032T 6556
total_map_quality.txt X1032T 63466
