sample,arm,tcn,lcn,cn_length,arm_length,frac_of_arm,cn_state
X1032,3q,5,2,80237024,92548404,0.87,AMP
X1032,4q,2,0,74592000,91776874,0.81,CNLOH
X1032,7p,1,0,20735900,20735900,1,HETLOSS
X1032,8q,5,2,53692851,65195667,0.82,AMP
X1032,9q,2,0,41311180,41333467,1,CNLOH
X1032,12p,1,0,19133500,19133500,1,HETLOSS
X1032,12q,2,0,68659691,75383724,0.91,CNLOH
X1032,14q,2,0,45303257,48417865,0.94,CNLOH
X1032,15q,2,1,10697600,10697600,1,DIPLOID
X1032,16p,2,0,37269507.5,37269507.5,1,CNLOH
X1032,16q,2,0,51435759.5,51435759.5,1,CNLOH
X1032,18p,2,0,7774100,7774100,1,CNLOH
X1032,20p,4,2,18828090,18828090,1,TETRAPLOID
X1032,21q,3,1,30572808,34424757,0.89,GAIN
X103,1q,2,1,118075093.5,118160822.5,1,DIPLOID
X103,2p,2,1,75322651,93090151,0.81,DIPLOID
X103,3p,2,1,92016116,92016116,1,DIPLOID
X103,3q,2,1,91525024,97117823,0.94,DIPLOID
X103,4p,1,0,50674706,50674706,1,HETLOSS
X103,4q,1,0,139317345,139317345,1,HETLOSS
X103,5p,1,0,1829100,1829100,1,HETLOSS
X103,8p,1,0,19723200,19723200,1,HETLOSS
X103,8q,1,0,80227534,80227534,1,HETLOSS
X103,9q,2,1,86671869.5,86671869.5,1,DIPLOID
X103,10p,1,0,38935100,38935100,1,HETLOSS
X103,11p,1,0,28200100,28200100,1,HETLOSS
X103,12p,1,0,1826800,1826800,1,HETLOSS
X103,16q,2,1,47004081.5,47004081.5,1,DIPLOID
X103,17p,1,0,24063152.5,24063152.5,1,HETLOSS
X103,17q,1,0,57954016.5,58198957.5,1,HETLOSS
X103,19p,2,1,20854116,25608216,0.81,DIPLOID
X103,20p,2,1,18192790,22336090,0.81,DIPLOID
X103,20q,2,1,30071824,30106716,1,DIPLOID
X103,21q,1,0,34730720,34730720,1,HETLOSS
X103,22q,1,0,36058366,36074697,1,HETLOSS
X103,23p,2,1,42343960.5,42343960.5,1,DIPLOID
