sample,cval,dipLogR_flag,n_alternative_dipLogR,wgd,fga,n_dip_bal_segs,frac_dip_bal_segs,n_dip_imbal_segs,frac_dip_imbal_segs,n_amps,n_homdels,frac_homdels,n_homdels_clonal,frac_homdels_clonal,n_cn_states,n_segs,n_cnlr_clusters,n_lcn_na,n_loh,frac_loh,n_segs_subclonal,frac_segs_subclonal,n_segs_below_dipLogR,frac_below_dipLogR,n_segs_balanced_odd_tcn,frac_balanced_odd_tcn,n_segs_imbalanced_diploid_cn,frac_imbalanced_diploid_cn,n_segs_lcn_greater_mcn,frac_lcn_greater_mcn,n_snps,n_het_snps,frac_het_snps,n_snps_with_300x_in_tumor,n_het_snps_with_300x_in_tumor,n_het_snps_hom_in_tumor_1pct,n_het_snps_hom_in_tumor_5pct,frac_het_snps_hom_in_tumor_1pct,frac_het_snps_hom_in_tumor_5pct,mean_cnlr_residual,sd_cnlr_residual,n_segs_discordant_tcn,frac_discordant_tcn,n_segs_discordant_lcn,frac_discordant_lcn,n_segs_discordant_both,frac_discordant_both,n_segs_icn_cnlor_discordant,frac_icn_cnlor_discordant,mafr_median_all,mafr_median_clonal,mafr_n_gt_1
X1032,50,FALSE,0,FALSE,0.98,8,0.012,35,0.15,0,2,9.2e-05,2,9.2e-05,20,520,22,248,128,0.31,68,0.15,27,0.059,76,0.21,0,0,183,0.39,330596,13529,0.041,8548,416,0,0,0,0,-0.00097,0.26,15,0.014,1.1e+08,0.072,5,0.0063,40,0.087,0.063,0.078,36
X1032,25,FALSE,0,FALSE,1,0,0,19,0.0098,0,7,0.00014,7,0.00014,20,2928,28,2591,223,0.09,615,0.17,366,0.12,357,0.23,0,0,149,0.076,330596,13529,0.041,8548,416,0,0,0,0,-0.001,0.26,230,0.052,2.4e+07,0.065,10,0.065,54,0.031,0.098,0.042,272
X103,50,FALSE,0,FALSE,0.68,66,0.29,10,0.046,0,7,0.00082,6,0.00082,13,424,34,128,193,0.45,15,0.0073,196,0.39,32,0.13,2,0.00038,197,0.47,340760,14368,0.042,10030,528,34,316,0.0024,0.022,-0.013,0.31,30,0.016,9.1e+07,0.042,7,0.003,32,0.12,0.26,1.3,176
X103,25,FALSE,0,FALSE,0.97,55,0.035,10,0.0098,0,8,0.00084,0,0,13,2783,47,1663,988,0.39,0,0,1526,0.45,0,0,0,0,0,0,340760,14368,0.042,10030,528,34,316,0.0024,0.022,-0.013,0.3,0,0,0,0,0,0,0,0,0.53,NA,1276
X1040,50,FALSE,0,FALSE,0.74,40,0.19,9,0.032,6,3,0.00061,0,0,23,491,25,243,137,0.31,69,0.15,166,0.38,46,0.12,7,0.03,121,0.22,315499,12819,0.041,9677,549,0,0,0,0,-0.0066,0.25,50,0.12,2.8e+08,0.14,35,0.12,58,0.23,0.039,0.06,10
X1040,25,FALSE,0,FALSE,0.95,13,0.013,4,0.0045,6,13,3e-04,9,0.00011,21,2656,29,1855,686,0.27,575,0.23,1382,0.52,330,0.13,4,0.0014,435,0.17,315499,12819,0.041,9677,549,0,0,0,0,-0.0064,0.25,9,0.0053,6800000,0.0074,4,0.0074,235,0.099,0.028,0.053,43
X106,50,FALSE,0,FALSE,0.9,40,0.068,53,0.2,0,0,0,0,0,13,488,13,243,124,0.34,190,0.49,88,0.14,32,0.033,0,0,42,0.072,330350,13520,0.041,8183,458,0,0,0,0,-0.014,0.28,10,0.03,2.2e+08,0.14,7,0.037,16,0.018,0.0087,0.0013,3
X106,25,FALSE,0,FALSE,0.96,23,0.018,27,0.02,0,6,6.8e-05,0,0,12,2631,20,2123,359,0.11,0,0,1229,0.51,0,0,0,0,0,0,330350,13520,0.041,8183,458,0,0,0,0,-0.014,0.27,0,0,0,0,0,0,0,0,0.014,NA,14
X1097,50,FALSE,0,FALSE,0.94,22,0.04,11,0.0075,0,10,0.0099,7,5e-04,21,1093,48,596,251,0.29,196,0.15,318,0.46,108,0.17,3,0.00073,272,0.33,352735,15725,0.045,11421,788,41,392,0.0026,0.025,-0.0062,0.3,109,0.09,4e+07,0.028,17,0.027,67,0.11,0.021,0.33,253
X1097,25,FALSE,0,FALSE,0.99,7,0.0023,2,0.0012,0,11,0.004,0,0,18,4022,54,3254,578,0.21,0,0,1210,0.49,0,0,0,0,0,0,352735,15725,0.045,11421,788,41,392,0.0026,0.025,-0.0065,0.29,0,0,0,0,0,0,0,0,0.083,NA,1088
