sample,run_type,purity,ploidy,dipLogR,facets_version,cval,snp_nbhd,min_nhet,ndepth,genome,seed,flags,input_file,genome_doubled,fraction_cna,hypoploid,fraction_loh,lst,ntai,hrd_loh
X1032,purity,0.33,2.9,-0.2,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 7,X1032_ordered.csv.gz,FALSE,0.98,FALSE,0,29,21,18
X1032,hisens,0.31,3,-0.2,0.6.2,25,250,15,35,hg38,100,,X1032_ordered.csv.gz,FALSE,1,FALSE,0,18,14,2
X103,purity,0.78,1.8,0.14,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 23, 25, 27, 29, 30,X103_ordered.csv.gz,FALSE,0.68,FALSE,0.11,24,21,20
X103,hisens,NA,2,0.14,0.6.2,25,250,15,35,hg38,100,,X103_ordered.csv.gz,FALSE,0.97,FALSE,0.19,14,14,14
X1040,purity,0.3,2,0.0046,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 8, 12,X1040_ordered.csv.gz,FALSE,0.74,FALSE,0,18,15,13
X1040,hisens,0.3,2,0.0046,0.6.2,25,250,15,35,hg38,100,,X1040_ordered.csv.gz,FALSE,0.95,FALSE,0,16,11,10
X106,purity,0.28,2.2,-0.05,0.6.2,50,250,15,35,hg38,100,NA,X106_ordered.csv.gz,FALSE,0.9,FALSE,0,23,25,18
X106,hisens,NA,2,-0.05,0.6.2,25,250,15,35,hg38,100,NA,X106_ordered.csv.gz,FALSE,0.96,FALSE,0,10,16,2
X1097,purity,0.73,2.3,-0.16,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 26, 29, 34, 37, 38,X1097_ordered.csv.gz,FALSE,0.94,FALSE,0,19,24,10
X1097,hisens,NA,2,-0.16,0.6.2,25,250,15,35,hg38,100,,X1097_ordered.csv.gz,FALSE,0.99,FALSE,0,2,17,1
X1098,purity,0.79,4.8,-1.1,0.6.2,50,250,15,35,hg38,100,mafR larger than expected if -0.2496658350945 is diploid level; not consistent for 1 copy loss from diploid in segclust: 4, 15, 17, 21, 24, 28, 30,X1098_ordered.csv.gz,TRUE,0.95,FALSE,0,19,16,3
X1098,hisens,0.76,4.9,-1.1,0.6.2,25,250,15,35,hg38,100,,X1098_ordered.csv.gz,FALSE,1,FALSE,0,11,13,0
X1172,purity,0.9,1.8,0.16,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 28,X1172_ordered.csv.gz,FALSE,0.82,FALSE,0.048,25,18,18
X1172,hisens,0.89,1.8,0.16,0.6.2,25,250,15,35,hg38,100,,X1172_ordered.csv.gz,FALSE,0.97,FALSE,0,16,15,13
X1177,purity,0.81,2.7,-0.34,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.51829569876286 is diploid level; not consistent for 1 copy loss from diploid in segclust: 13, 15, 20, 32, 34, 35, 43, 46, 51, 54, 55, 56, 58, 59, 61, 62, 64,X1177_ordered.csv.gz,FALSE,0.87,FALSE,0,16,15,2
X1177,hisens,0.84,2.6,-0.34,0.6.2,25,250,15,35,hg38,100,,X1177_ordered.csv.gz,FALSE,0.99,FALSE,0,14,6,0
X1192,purity,0.72,3,-0.45,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 12, 15, 16,X1192_ordered.csv.gz,FALSE,0.94,FALSE,0,17,17,2
X1192,hisens,NA,2,-0.45,0.6.2,25,250,15,35,hg38,100,,X1192_ordered.csv.gz,FALSE,0.99,FALSE,0,13,12,1
X1196,purity,0.87,2.9,-0.49,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.366046105476162 is diploid level; not consistent for 1 copy loss from diploid in segclust: 12, 42, 45, 46, 47, 48, 49,X1196_ordered.csv.gz,FALSE,1,FALSE,0,25,16,4
X1196,hisens,NA,2,-0.49,0.6.2,25,250,15,35,hg38,100,,X1196_ordered.csv.gz,FALSE,1,FALSE,0,19,6,0
X119,purity,0.79,3.6,-0.71,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; likely mixture of 1+0 & 2+0 in segclust: 17, 19, 21,X119_ordered.csv.gz,FALSE,0.99,FALSE,0,27,19,2
X119,hisens,0.78,3.6,-0.71,0.6.2,25,250,15,35,hg38,100,,X119_ordered.csv.gz,FALSE,1,FALSE,0,9,12,0
X120,purity,0.68,1.8,0.1,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 22, 23, 26, 28, 30,X120_ordered.csv.gz,FALSE,0.84,FALSE,0,19,28,12
X120,hisens,NA,2,0.1,0.6.2,25,250,15,35,hg38,100,,X120_ordered.csv.gz,FALSE,0.98,FALSE,0,5,21,8
X1230,purity,0.69,3.5,-0.61,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.241147445056459 is diploid level; not consistent for 1 copy loss from diploid in segclust: 16, 22, 35, 37, 39, 40, 43, 45, 47, 48, 49, 51, 52, 53, 55, 56, 57,X1230_ordered.csv.gz,FALSE,0.94,FALSE,0,20,17,7
X1230,hisens,NA,2,-0.61,0.6.2,25,250,15,35,hg38,100,,X1230_ordered.csv.gz,FALSE,1,FALSE,0,12,11,0
X1237,purity,0.87,3,-0.51,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; likely mixture of 1+0 & 2+0 in segclust: 27, 28,X1237_ordered.csv.gz,FALSE,0.98,FALSE,0,17,20,8
X1237,hisens,NA,2,-0.51,0.6.2,25,250,15,35,hg38,100,,X1237_ordered.csv.gz,FALSE,1,FALSE,0,10,14,0
X1265,purity,0.88,1.7,0.19,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 24,X1265_ordered.csv.gz,FALSE,0.69,FALSE,0.18,13,12,9
X1265,hisens,0.87,1.7,0.19,0.6.2,25,250,15,35,hg38,100,,X1265_ordered.csv.gz,FALSE,0.93,FALSE,0.23,11,12,8
X1269,purity,0.79,2.3,-0.14,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.723493802879943 is diploid level; not consistent for 1 copy loss from diploid in segclust: 13, 14, 16, 17, 19, 21, 24, 26, 29, 30, 31, 34, 36, 38, 41, 42, 46, 48, 50, 54, 65, 68, 72, 75, 79, 81, 82, 86, 89, 92, 94, 97,X1269_ordered.csv.gz,FALSE,0.89,FALSE,0,25,12,4
X1269,hisens,0.83,2.3,-0.14,0.6.2,25,250,15,35,hg38,100,,X1269_ordered.csv.gz,FALSE,0.99,FALSE,0,10,5,1
X1283,purity,0.64,1.9,0.059,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 20, 23, 28, 34,X1283_ordered.csv.gz,FALSE,0.81,FALSE,0,31,21,17
X1283,hisens,0.64,1.9,0.059,0.6.2,25,250,15,35,hg38,100,,X1283_ordered.csv.gz,FALSE,0.94,FALSE,0,10,15,7
X128,purity,0.68,4.2,-0.82,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 7.71160963136119e-05 is diploid level; not consistent for 1 copy loss from diploid in segclust: 23, 26, 27, 28, 30, 31, 34, 35, 37, 38, 40, 41,X128_ordered.csv.gz,FALSE,0.97,FALSE,0,17,16,5
X128,hisens,NA,2,-0.82,0.6.2,25,250,15,35,hg38,100,,X128_ordered.csv.gz,FALSE,1,FALSE,0,13,7,0
X1326,purity,0.78,1.9,0.07,0.6.2,50,250,15,35,hg38,100,NA,X1326_ordered.csv.gz,FALSE,0.53,FALSE,0.074,13,11,7
X1326,hisens,0.79,1.9,0.07,0.6.2,25,250,15,35,hg38,100,NA,X1326_ordered.csv.gz,FALSE,0.9,FALSE,0.2,15,8,1
X1341,purity,0.52,2,0.0048,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 18, 20, 22, 25, 26, 28, 34; polyclonal 1 copy loss fits better,X1341_ordered.csv.gz,FALSE,0.81,FALSE,0,21,16,5
X1341,hisens,NA,2,0.0048,0.6.2,25,250,15,35,hg38,100,,X1341_ordered.csv.gz,FALSE,0.97,FALSE,0,3,8,1
X1364,purity,0.47,3.3,-0.39,0.6.2,50,250,15,35,hg38,100,mafR larger than expected if 0.14632978883459 is diploid level; not consistent for 1 copy loss from diploid in segclust: 20, 22, 23, 26, 28, 31, 32,X1364_ordered.csv.gz,FALSE,1,FALSE,0,37,17,10
X1364,hisens,0.49,3.3,-0.39,0.6.2,25,250,15,35,hg38,100,,X1364_ordered.csv.gz,FALSE,1,FALSE,0,11,11,0
X137,purity,0.65,3.3,-0.51,0.6.2,50,250,15,35,hg38,100,mafR larger than expected if 0.18567045416998 is diploid level; not consistent for 1 copy loss from diploid in segclust: 4, 18, 20,X137_ordered.csv.gz,TRUE,0.88,FALSE,0,20,17,12
X137,hisens,0.62,3.4,-0.51,0.6.2,25,250,15,35,hg38,100,,X137_ordered.csv.gz,FALSE,1,FALSE,0,13,8,0
X1410,purity,0.92,3,-0.53,0.6.2,50,250,15,35,hg38,100,NA,X1410_ordered.csv.gz,FALSE,0.89,FALSE,0,8,19,3
X1410,hisens,0.91,3,-0.53,0.6.2,25,250,15,35,hg38,100,NA,X1410_ordered.csv.gz,FALSE,0.97,FALSE,0,2,10,1
X1419,purity,0.83,1.7,0.22,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 29,X1419_ordered.csv.gz,FALSE,0.85,FALSE,0.17,12,14,12
X1419,hisens,0.84,1.7,0.22,0.6.2,25,250,15,35,hg38,100,,X1419_ordered.csv.gz,FALSE,0.97,FALSE,0.17,7,11,9
