Chromosome Arm	X1032	X103	X1040	X106	X1364	X1552	X1634	X1677	X1718	X2176	X2556	X2577	X2587	X429	X655	X860	X991
1p	0.000	0.000	0.000	0.000	0.279	0.449	0.000	0.000	0.000	0.000	0.529	0.000	0.000	0.000	0.434	0.000	-0.555
1q	0.000	0.000	0.432	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.816	0.000	0.000	0.000	0.000	0.000	0.807
2p	0.000	-0.733	0.000	0.000	0.000	0.514	0.000	0.000	0.000	0.310	0.434	0.000	0.000	0.000	0.000	0.000	0.000
2q	0.000	0.000	0.000	0.000	-0.387	0.514	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.647	0.000	0.000
3p	0.284	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3q	0.284	0.000	0.253	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.207	0.619	0.000	0.646	0.000	0.479	0.000
4p	-0.259	-0.773	0.000	0.000	-0.491	-0.514	-0.260	0.000	0.000	-0.269	1.285	0.000	0.000	-0.746	-0.634	0.000	-0.542
4q	-0.259	-0.773	0.000	0.000	-0.491	-0.514	-0.260	0.000	0.000	-0.269	0.000	0.000	0.000	-0.746	-0.634	0.000	-0.542
5p	0.779	-0.707	0.000	0.000	-0.424	0.000	0.000	0.000	0.000	0.345	0.464	0.000	0.000	-0.740	0.695	-0.523	0.474
5q	0.305	-0.707	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.740	0.000	-0.523	0.474
6p	-0.266	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.756	-0.057	0.000	-0.429
6q	-0.266	0.000	0.000	0.000	-0.523	-0.520	0.000	0.000	0.000	0.000	-0.396	0.000	0.000	-0.756	-0.591	0.000	-0.429
7p	0.000	-0.016	0.000	0.000	0.000	-0.521	0.000	0.000	0.000	-0.252	0.027	0.000	0.000	0.000	-0.649	0.567	0.000
7q	0.000	0.755	0.000	0.000	0.000	1.168	0.000	0.000	0.000	-0.252	0.359	0.000	0.000	0.000	0.380	0.000	0.000
8p	0.536	-0.718	0.000	0.000	0.972	-1.017	-0.257	0.430	0.000	0.000	0.140	-0.412	0.000	-0.631	0.000	-0.398	0.533
8q	0.536	-0.718	0.000	0.000	0.972	1.102	0.000	0.430	0.000	0.000	0.446	0.359	0.000	0.000	0.000	0.000	0.533
9p	0.624	0.000	0.000	0.000	-0.466	-0.440	0.000	0.000	0.000	0.000	-0.423	0.000	0.000	-0.757	0.000	-0.499	0.000
9q	0.000	0.000	0.000	0.000	-0.466	-0.440	0.000	0.000	0.000	0.000	-0.423	0.000	0.000	-0.773	0.000	-0.499	0.000
10p	0.000	-0.741	0.000	0.000	0.839	0.419	0.000	0.000	0.000	0.000	0.034	0.000	0.000	-0.750	0.612	0.000	0.000
10q	0.000	0.000	0.000	0.000	0.000	0.419	0.000	0.000	0.000	0.000	0.421	0.000	0.000	0.000	0.000	0.000	0.000
11p	0.000	-0.779	0.000	0.000	-0.283	-0.393	0.000	0.000	0.000	0.000	-0.462	0.000	0.000	0.000	-0.640	0.111	0.000
11q	0.000	0.000	0.000	0.282	-0.283	0.648	0.000	0.000	0.000	0.000	-0.462	0.000	0.000	-0.563	0.000	0.548	0.000
12p	0.000	0.000	0.000	0.000	0.000	0.509	0.000	0.000	0.000	0.000	1.043	0.000	0.000	0.000	0.000	0.473	0.000
12q	0.000	0.000	0.000	0.000	0.000	-0.463	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.000	0.000	0.000
13q	0.000	-0.772	0.000	0.000	-0.485	-0.362	-0.279	0.000	0.000	-0.267	-0.355	0.000	0.000	-0.746	0.000	-0.497	0.587
14q	0.000	0.000	0.000	0.000	0.688	0.418	0.000	0.000	0.000	-0.257	0.000	0.000	0.000	0.613	-0.650	0.000	0.000
15q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.506	0.000	0.000	-0.755	0.000	0.000	0.492
16p	0.000	-0.725	0.000	0.000	0.287	0.397	0.000	0.000	0.000	0.000	-0.457	0.000	0.000	0.000	0.000	0.000	0.416
16q	0.000	0.000	0.000	0.000	-0.496	-0.521	0.000	0.000	0.000	0.000	-0.457	0.000	-0.301	0.000	-0.623	-0.474	0.416
17p	0.000	-0.781	0.000	0.000	-0.447	-0.504	0.000	0.000	0.000	0.000	0.294	0.000	0.000	-0.777	-0.621	-0.560	0.371
17q	0.000	-0.781	0.000	0.000	0.323	0.000	0.000	0.000	0.000	0.256	-0.517	0.000	0.263	0.000	-0.621	0.000	0.371
18p	-0.278	-0.774	0.000	0.000	-0.534	0.727	-0.282	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.618	0.000	0.000
18q	-0.278	0.000	0.000	0.000	-0.534	0.000	-0.282	0.000	0.000	-0.268	0.000	0.000	0.000	-0.791	-0.618	-0.529	0.000
19p	0.405	0.711	0.288	0.000	-0.379	0.000	0.000	0.000	0.000	0.000	-0.573	0.000	0.000	0.000	0.000	0.568	0.000
19q	0.000	0.000	0.000	0.000	0.326	0.000	0.000	0.000	0.000	0.000	-0.573	0.000	0.000	-0.765	0.000	0.000	0.000
20p	0.000	0.000	0.000	0.000	0.000	0.497	0.000	0.000	0.000	0.000	0.576	0.000	0.000	-0.734	0.000	-0.434	0.524
20q	0.000	0.000	0.000	0.289	0.000	0.497	0.000	0.000	0.000	0.000	0.576	0.000	0.299	-0.734	0.000	0.000	0.524
21p	0.000	-0.765	0.000	0.000	-0.474	-0.451	0.000	0.000	0.000	0.000	-0.434	0.000	0.000	-0.440	-0.625	0.000	-0.575
21q	0.000	-0.765	0.000	0.000	-0.474	-0.451	0.000	0.000	0.000	0.000	-0.434	0.000	0.000	0.000	-0.625	0.000	-0.575
22p	0.000	-0.790	0.000	0.000	-0.440	-0.475	0.000	0.000	0.000	-0.265	-0.384	0.000	0.000	-0.771	-0.634	0.000	0.000
22q	0.000	-0.790	0.000	0.000	-0.440	-0.475	-0.261	0.000	0.000	-0.265	-0.384	0.000	-0.318	-0.771	-0.634	-0.509	0.000
Xp	-0.262	0.700	0.000	0.000	-0.481	-0.554	0.000	0.000	0.000	0.000	-0.406	-0.389	-0.426	0.000	-0.623	-0.520	-0.587
Xq	-0.262	0.700	0.000	0.000	-0.481	-0.554	0.000	0.000	0.000	0.000	-0.406	-0.389	-0.426	-0.725	-0.623	-0.520	-0.587
