Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	3092	0.18	0.19	0.311	1	0.05	0.06	-2.96	1
1q	2863	0.29	0.30	2.92	0.0186	0.03	0.04	-3.58	1
2p	1500	0.25	0.26	-0.243	1	0.03	0.05	-4.69	1
2q	2495	0.20	0.21	-0.152	1	0.04	0.05	-3.75	1
3p	1531	0.25	0.30	0.694	1	0.16	0.22	-1.04	1
3q	1708	0.50	0.50	6.13	9.39e-09	0.02	0.03	-3.9	1
4p	693	0.01	0.02	-4.75	1	0.52	0.53	4.98	1.25e-06
4q	1467	0.02	0.04	-3.93	1	0.52	0.53	6.34	7.24e-10
5p	456	0.25	0.32	-0.2	1	0.21	0.28	-0.819	1
5q	2185	0.07	0.09	-3.03	1	0.26	0.28	1.16	0.229
6p	1664	0.28	0.37	2.37	0.0482	0.23	0.32	1.34	0.177
6q	1304	0.13	0.21	-1.38	1	0.38	0.43	3.47	0.000709
7p	926	0.23	0.29	-0.244	1	0.20	0.26	-0.895	1
7q	1717	0.34	0.36	2.56	0.0324	0.05	0.08	-3.56	1
8p	795	0.26	0.46	2.68	0.0316	0.42	0.57	5.31	2.67e-07
8q	1249	0.51	0.58	6.72	3.85e-10	0.11	0.23	-0.885	1
9p	621	0.13	0.22	-1.76	1	0.41	0.47	3.36	0.000972
9q	1610	0.04	0.08	-3.37	1	0.44	0.46	4.91	1.62e-06
10p	767	0.23	0.30	-0.0869	1	0.24	0.31	0.0717	0.724
10q	1968	0.11	0.14	-2.27	1	0.21	0.23	-0.235	0.879
11p	1162	0.09	0.14	-2.83	1	0.33	0.37	1.88	0.062
11q	2133	0.21	0.24	0.26	1	0.15	0.19	-0.866	1
12p	804	0.33	0.39	1.91	0.134	0.15	0.23	-1.43	1
12q	2055	0.19	0.24	0.0181	1	0.21	0.25	0.387	0.578
13q	1092	0.14	0.23	-1.12	1	0.40	0.47	3.9	0.00015
14q	1829	0.09	0.14	-2.34	1	0.31	0.34	2.17	0.0319
15q	2082	0.05	0.08	-3.07	1	0.38	0.40	4.03	9.09e-05
16p	1378	0.11	0.17	-2	1	0.35	0.39	2.76	0.00652
16q	1070	0.03	0.09	-3.1	1	0.60	0.62	7.7	1e-13
17p	937	0.05	0.17	-1.64	1	0.70	0.74	10.1	0
17q	2298	0.12	0.23	0.0682	1	0.47	0.53	7.61	1.46e-13
18p	212	0.15	0.22	-2.21	1	0.31	0.36	0.527	0.515
18q	644	0.06	0.11	-3.59	1	0.44	0.47	3.57	0.000503
19p	1331	0.21	0.27	-0.0305	1	0.22	0.28	0.138	0.709
19q	2402	0.15	0.23	0.278	1	0.37	0.43	5.19	4.59e-07
20p	583	0.39	0.43	2.57	0.0324	0.09	0.15	-2.95	1
20q	1092	0.41	0.42	3.02	0.0179	0.02	0.03	-4.77	1
21p	92	0.09	0.15	-3.25	1	0.44	0.49	3.06	0.00264
21q	750	0.09	0.12	-3.61	1	0.31	0.34	0.624	0.477
22p	2	0.03	0.07	-4.05	1	0.61	0.62	6.1	2.87e-09
22q	1258	0.01	0.02	-3.9	1	0.61	0.61	7.96	1.91e-14
Xp	945	0.03	0.09	-3.19	1	0.60	0.62	7.48	3.18e-13
Xq	1533	0.06	0.12	-2.43	1	0.51	0.55	6.67	9.26e-11
