Chromosome Arm	X1032	X103	X1040	X106	X1097	X1098	X1172	X1177	X1192	X1196	X119	X120	X1230	X1237	X1265	X1269	X1283	X128	X1326	X1341	X1364	X137	X1410	X1419	X1471	X1499	X1530	X1548	X1552	X1568	X1580	X1582	X1593	X1605	X1634	X1652	X1677	X1689	X1718	X1751	X1851	X1922	X1928	X1979	X2090	X2120	X2152	X2176	X2212	X2316	X2354	X2357	X2360	X2362	X2374	X23	X2401	X2412	X2415	X2429	X2438	X2443	X2503	X2529	X2554	X2556	X2577	X2587	X2593	X2638	X2648	X2665	X2700	X2704	X2716	X2763	X2773	X2797	X2816	X2825	X2890	X2902	X2949	X2991	X2998	X300	X301	X3056	X3059	X3080	X3107	X3144	X3151	X3225	X3238	X3297	X3349	X3391	X342	X356	X429	X451	X472	X544	X592	X603	X655	X736	X80	X860	X88	X935	X93	X94	X970	X987	X991
1p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.478	0.000	0.000	0.000	0.000	-0.555	0.000	0.254	0.000	0.000	0.000	0.000	0.264	0.474	0.000	0.000	0.000	0.000	0.319	0.000	0.000	0.253	0.000	0.000	0.000	0.382	0.000	0.318	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.340	0.000	0.382	0.000	-0.279	0.000	0.000	0.000	0.256	0.000	0.000	0.000	0.000	-0.418	0.000	0.000	0.000	0.000	0.000	0.469	0.462	0.374	0.801	0.000	0.000	0.000	-0.623	0.000	0.000	0.000	0.000	0.455	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.680	0.000	0.000	0.000	0.000	0.000	0.842	0.000	0.000	0.000	0.000	-0.255	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.298	0.000	0.000	0.000	0.937	0.380
1q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.829	1.044	0.873	0.923	0.000	0.000	0.000	0.835	0.000	0.000	0.000	0.000	0.000	0.000	1.279	0.000	0.593	0.000	0.000	0.319	0.000	0.000	0.000	0.000	0.000	0.000	0.382	0.000	0.318	0.000	0.000	0.000	0.000	0.000	0.582	0.000	0.340	0.000	0.382	0.000	0.000	0.000	0.000	0.439	0.256	0.000	0.000	0.000	0.000	-0.418	0.000	0.000	0.718	0.000	0.466	0.469	0.462	0.374	0.801	0.000	0.000	0.000	0.612	0.000	0.000	0.000	0.000	-0.478	0.000	0.457	0.000	0.000	0.647	0.000	0.000	0.000	0.000	0.314	0.000	1.064	0.000	0.000	0.000	0.000	0.000	0.842	0.000	0.000	0.000	-0.299	0.692	0.000	0.000	0.000	0.000	0.321	0.000	0.000	0.000	0.000	0.322	0.597	0.000	0.000	0.298	0.000	0.000	0.000	0.937	0.930
2p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.418	0.000	0.000	0.000	0.000	0.000	0.918	0.000	0.000	0.000	0.000	0.000	0.000	-0.343	0.000	0.674	0.000	0.000	0.000	0.000	0.000	0.384	0.000	0.000	0.000	0.000	-0.078	0.000	0.000	0.000	-0.338	0.000	0.000	0.000	0.281	0.000	0.300	0.495	0.334	0.661	0.563	0.605	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.681	0.000	0.500	0.324	0.270	0.423	0.378	0.000	0.000	0.000	1.177	0.548	0.000	0.000	0.000	0.000	0.000	0.312	0.894	0.000	-0.367	0.000	0.000	0.286	0.000	0.000	0.000	0.670	0.000	0.000	0.000	0.754	0.000	0.822	0.000	0.265	0.000	0.034	0.631	0.000	0.000	0.000	0.000	0.000	0.000	-0.820	0.000	0.000	0.000	0.000	0.000	0.000	1.010	0.000	0.000	0.000	2.170	0.000
2q	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.418	1.005	0.000	0.000	0.870	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.343	0.000	0.674	0.000	0.000	0.000	0.390	0.000	0.384	0.000	0.000	0.000	0.000	-0.335	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.281	0.000	0.300	0.495	0.334	0.000	0.000	0.605	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.681	0.000	0.500	0.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.548	0.000	0.000	0.000	0.000	0.000	0.312	0.000	0.000	-0.367	0.000	0.000	0.286	0.000	0.000	0.000	0.670	0.000	0.000	-0.687	0.754	0.000	0.282	0.000	0.265	0.000	-0.461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3p	0.000	0.000	-0.251	0.000	-0.848	0.557	-0.809	0.304	0.000	0.000	0.329	-0.634	0.155	-0.559	0.000	0.978	0.620	0.605	0.000	0.000	0.000	0.349	-0.613	0.000	-0.310	0.000	0.000	0.000	0.000	0.000	0.578	0.000	0.497	0.000	0.000	0.000	0.000	0.576	0.463	0.000	0.000	1.363	0.000	0.407	0.853	0.444	0.406	0.000	0.000	-0.273	-0.303	-0.321	-0.612	0.483	0.000	0.000	0.000	0.000	0.000	-0.351	0.507	0.316	0.000	0.482	0.000	0.000	0.000	0.000	0.000	0.651	0.000	0.000	0.000	0.250	-0.401	0.000	0.000	0.439	0.000	0.000	-0.364	0.000	-0.319	0.000	0.367	0.582	-0.383	0.000	0.000	0.000	0.000	0.000	0.000	0.254	-0.491	0.000	-0.468	0.347	0.000	0.000	0.000	0.000	0.360	0.000	0.000	0.000	-0.633	-0.110	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.699	0.000
3q	0.000	0.000	0.000	0.000	1.186	0.557	0.000	0.304	0.536	0.000	0.329	0.376	0.542	0.000	0.000	0.978	0.620	0.605	0.000	0.893	0.000	0.349	-0.613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.578	0.000	0.497	0.675	0.000	0.000	0.000	0.576	0.463	0.599	0.559	1.363	0.000	0.407	0.853	0.444	0.406	0.000	1.321	0.630	-0.303	0.000	1.840	0.483	0.614	0.000	0.000	0.000	0.000	0.000	0.000	0.316	0.290	0.482	0.000	1.191	0.461	0.313	0.699	0.651	0.000	0.000	0.000	0.250	0.946	0.000	0.264	0.705	0.000	0.000	0.000	0.000	0.594	0.000	1.694	0.582	0.660	0.000	0.000	0.000	0.827	0.000	0.914	0.254	1.505	0.293	0.000	0.347	0.000	0.000	0.000	0.000	0.360	0.000	0.000	0.677	0.869	0.449	0.480	0.508	0.000	0.000	0.000	0.000	0.000	0.699	0.000
4p	0.000	-0.771	0.000	0.000	0.245	0.000	-0.890	-0.427	0.000	-0.916	0.000	-0.573	-0.879	-0.566	-0.870	-0.576	-0.618	-0.260	0.000	0.000	-0.498	-0.492	-0.618	-0.805	-0.837	0.000	-0.564	-0.827	-0.505	-0.454	0.000	-0.609	0.000	-0.466	-0.267	0.000	0.000	-0.660	0.000	-0.365	-0.010	-0.335	0.000	-0.302	0.000	0.000	0.000	-0.277	0.000	0.000	0.000	-0.330	-0.900	0.000	-0.258	-0.621	-0.492	0.000	-0.570	-0.447	-0.780	-0.181	0.000	0.000	0.000	1.276	0.000	0.000	0.000	0.000	0.000	-0.726	-0.463	0.000	-0.467	0.000	0.000	-0.265	0.000	0.000	0.000	-0.328	-0.367	-0.298	-0.586	-0.672	-0.404	0.000	0.000	-0.679	0.000	0.000	-0.363	0.000	-0.479	0.000	-0.482	-0.298	0.000	0.000	-0.707	0.000	-0.480	-0.615	-0.811	0.000	-0.623	-0.515	-0.191	0.000	0.000	-0.405	-0.668	-0.726	0.000	0.000	-0.545
4q	-0.259	-0.771	0.000	0.000	0.000	0.000	-0.890	-0.427	0.000	-0.916	0.000	-0.573	-0.879	-0.566	-0.870	-0.576	-0.618	-0.260	0.000	0.000	-0.498	-0.492	-0.618	-0.805	-0.837	0.000	-0.564	-0.827	-0.505	-0.454	-0.563	0.000	0.000	-0.466	-0.267	0.000	0.000	-0.403	0.000	-0.365	0.472	-0.335	0.000	-0.302	0.000	0.000	0.000	-0.277	0.000	0.000	0.000	-0.330	-0.900	0.000	-0.258	-0.621	-0.492	0.000	-0.570	-0.447	-0.780	-0.654	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.726	-0.463	0.000	-0.467	-0.540	0.000	-0.265	0.000	0.000	0.000	-0.328	-0.367	-0.298	0.000	-0.672	-0.404	0.000	0.000	-0.679	0.000	0.000	-0.726	0.000	-0.479	0.000	-0.482	-0.298	0.000	0.000	-0.707	0.000	0.000	-0.615	-0.811	0.000	-0.623	-0.515	0.375	0.000	0.000	-0.405	-0.668	0.000	0.000	0.000	-0.545
5p	0.779	0.000	0.000	0.000	-0.354	-0.324	-0.899	-0.436	0.000	0.000	-1.258	0.000	1.174	-0.600	0.000	-0.473	0.000	0.000	0.000	0.000	-0.390	-0.501	-0.003	0.000	0.269	-0.585	0.571	0.000	0.000	-0.389	0.498	0.000	0.542	0.896	0.000	0.000	0.000	0.968	0.266	0.000	1.622	1.136	-0.732	-0.034	0.000	0.380	0.568	0.000	1.479	-0.297	0.306	0.000	0.000	0.000	0.000	0.273	-0.113	0.000	0.000	-0.452	0.000	-0.310	0.000	-0.503	-0.026	0.457	0.000	0.000	0.000	-0.633	0.345	0.000	0.000	0.000	0.000	0.000	0.000	0.258	0.000	-0.389	-0.358	0.000	-0.381	0.000	0.000	0.525	-0.412	0.000	0.749	0.000	1.039	0.000	0.000	-0.593	0.000	0.347	0.433	0.555	0.000	0.000	-0.748	-0.570	0.257	0.000	0.416	0.000	0.709	-0.526	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.581
5q	0.255	0.000	0.000	0.000	-0.851	-0.324	-0.899	0.000	0.000	0.000	0.000	0.000	1.174	-0.600	0.000	-0.473	0.000	0.000	0.000	0.000	0.000	-0.501	-0.602	0.000	0.000	-0.585	0.000	0.000	0.000	-0.389	0.000	0.000	0.252	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.732	-0.290	0.000	0.380	0.568	0.000	0.000	-0.297	0.000	0.000	0.000	0.000	0.000	0.000	-0.469	0.000	0.000	-0.452	0.000	-0.310	0.000	-0.503	-0.534	0.000	0.000	0.000	0.000	-0.633	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.019	0.000	0.000	-0.358	0.000	-0.381	0.000	-0.463	0.525	-0.412	0.000	0.000	-0.655	0.000	0.000	0.000	-0.593	0.000	0.000	-0.439	0.000	0.000	0.000	-0.748	-0.304	-0.333	0.000	0.000	0.000	0.709	-0.526	0.000	-0.425	0.000	0.000	0.000	0.000	0.000	0.000	0.581
