# Using amp_thresh=0.25, del_thresh=0.25
Sample	Low	High
X1032	-0.532000	1.029000
X103	-1.043000	1.002000
X1040	-0.548000	0.508000
X106	-0.250000	0.539000
X1097	-1.110000	1.508000
X1098	-1.543000	1.738000
X1172	-1.149000	1.040000
X1177	-1.109000	1.932000
X1192	-1.308000	1.909000
X1196	-1.166000	1.224000
X119	-1.508000	3.005000
X120	-0.900000	1.120000
X1230	-1.143000	1.841000
X1237	-1.452000	1.494000
X1265	-1.131000	1.221000
X1269	-1.183000	2.004000
X1283	-0.898000	0.887000
X128	-0.928000	1.070000
X1326	-1.043000	0.960000
X1341	-1.067000	1.415000
X1364	-0.748000	0.989000
X137	-1.132000	1.529000
X1410	-0.897000	0.930000
X1419	-1.056000	1.058000
X1471	-1.525000	0.835000
X1499	-0.923000	0.853000
X1530	-0.986000	0.821000
X1548	-1.097000	0.250000
X1552	-1.120000	1.072000
X1568	-1.182000	2.517000
X1580	-1.408000	0.828000
X1582	-1.039000	1.731000
X1593	-0.623000	1.136000
X1605	-1.037000	1.592000
X1634	-0.581000	0.250000
X1652	-0.619000	0.918000
X1677	-0.250000	0.678000
X1689	-1.107000	2.062000
X1718	-0.250000	0.713000
X1751	-0.756000	1.060000
X1851	-0.921000	1.872000
X1922	-1.047000	2.470000
X1928	-1.003000	2.362000
X1979	-0.919000	0.940000
X2090	-0.862000	1.536000
X2120	-0.967000	2.887000
X2152	-0.772000	1.204000
X2176	-0.557000	0.813000
X2212	-1.151000	1.752000
X2316	-0.795000	0.880000
X2354	-0.856000	0.704000
X2357	-0.917000	1.177000
X2360	-1.152000	2.090000
X2362	-1.475000	1.452000
X2374	-0.765000	1.374000
X23	-1.331000	0.955000
X2401	-0.742000	0.769000
X2412	-0.706000	0.250000
X2415	-0.846000	0.713000
X2429	-1.312000	1.390000
X2438	-1.044000	0.801000
X2443	-1.233000	1.753000
X2503	-0.754000	1.226000
X2529	-1.259000	1.377000
X2554	-0.894000	0.898000
X2556	-0.801000	1.526000
X2577	-0.648000	0.711000
X2587	-0.669000	0.563000
X2593	-0.844000	0.949000
X2638	-1.543000	1.427000
X2648	-0.679000	0.866000
X2665	-1.054000	1.276000
X2700	-1.056000	1.179000
X2704	-0.250000	0.816000
X2716	-0.759000	1.783000
X2763	-0.974000	0.777000
X2773	-0.515000	0.856000
X2797	-1.126000	1.144000
X2816	-0.586000	0.569000
X2825	-1.160000	0.897000
X2890	-0.737000	0.666000
X2902	-0.840000	0.887000
X2949	-1.291000	1.790000
X2991	-1.291000	0.829000
X2998	-0.898000	1.944000
X300	-0.934000	2.153000
X301	-1.132000	1.314000
X3056	-0.680000	1.053000
X3059	-0.636000	0.999000
X3080	-0.994000	0.997000
X3107	-0.741000	1.918000
X3144	-0.250000	0.540000
X3151	-1.061000	1.754000
X3225	-0.913000	0.928000
X3238	-0.745000	1.857000
X3297	-0.806000	1.042000
X3349	-0.784000	0.696000
X3391	-0.586000	1.821000
X342	-0.708000	1.061000
X356	-0.250000	0.250000
X429	-1.041000	0.250000
X451	-1.258000	0.696000
X472	-0.771000	2.741000
X544	-1.020000	0.250000
X592	-1.107000	1.376000
X603	-0.514000	0.927000
X655	-0.901000	1.119000
X736	-0.832000	0.839000
X80	-0.968000	0.847000
X860	-0.789000	0.809000
X88	-0.250000	1.051000
X935	-0.796000	1.384000
X93	-0.971000	3.215000
X94	-1.010000	1.186000
X970	-1.076000	2.678000
X987	-1.286000	2.420000
X991	-0.799000	1.180000
