Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	3092	0.12	0.12	-1.1	1	0.04	0.05	-3.15	1
1q	2863	0.23	0.24	1.7	0.272	0.03	0.03	-3.56	1
2p	1500	0.27	0.28	0.73	1	0.03	0.04	-4.59	1
2q	2495	0.24	0.25	1.33	0.497	0.03	0.03	-3.86	1
3p	1531	0.20	0.24	-0.278	1	0.17	0.21	-0.82	1
3q	1708	0.45	0.47	5.71	2.38e-07	0.03	0.06	-3.32	1
4p	693	0.03	0.06	-4.08	1	0.45	0.47	4.04	8.68e-05
4q	1467	0.02	0.03	-3.87	1	0.50	0.50	6.2	1.47e-09
5p	456	0.26	0.32	0.168	1	0.16	0.22	-1.76	1
5q	2185	0.05	0.07	-3.1	1	0.30	0.32	2.62	0.0094
6p	1664	0.34	0.40	3.69	0.00162	0.15	0.22	-0.435	1
6q	1304	0.17	0.25	-0.175	1	0.32	0.39	2.91	0.00431
7p	926	0.21	0.25	-0.71	1	0.18	0.23	-1.22	1
7q	1717	0.30	0.32	1.88	0.214	0.05	0.07	-3.52	1
8p	795	0.15	0.33	0.612	1	0.53	0.63	7.38	4.92e-13
8q	1249	0.41	0.48	4.79	1.78e-05	0.14	0.23	-0.621	1
9p	621	0.15	0.22	-1.51	1	0.34	0.40	2.2	0.0287
9q	1610	0.03	0.06	-3.7	1	0.39	0.41	4.01	9.48e-05
10p	767	0.25	0.31	0.366	1	0.20	0.26	-0.62	1
10q	1968	0.09	0.11	-2.72	1	0.15	0.17	-1.37	1
11p	1162	0.06	0.09	-3.58	1	0.33	0.35	2.01	0.0438
11q	2133	0.17	0.20	-0.292	1	0.16	0.20	-0.487	1
12p	804	0.27	0.31	0.413	1	0.11	0.15	-2.77	1
12q	2055	0.13	0.16	-1.52	1	0.18	0.21	-0.356	1
13q	1092	0.11	0.19	-1.65	1	0.40	0.45	4.08	7.99e-05
14q	1829	0.05	0.08	-3.13	1	0.36	0.38	3.62	0.000389
15q	2082	0.03	0.04	-3.75	1	0.36	0.37	3.86	0.000165
16p	1378	0.09	0.15	-2.2	1	0.36	0.40	3.26	0.00141
16q	1070	0.04	0.11	-2.52	1	0.61	0.63	8.52	0
17p	937	0.03	0.10	-2.56	1	0.66	0.68	9.44	0
17q	2298	0.07	0.16	-0.886	1	0.56	0.61	10.3	0
18p	212	0.20	0.26	-1.28	1	0.24	0.30	-0.499	1
18q	644	0.10	0.18	-2.07	1	0.44	0.49	4.2	5.18e-05
19p	1331	0.16	0.24	-0.466	1	0.32	0.38	2.64	0.00927
19q	2402	0.13	0.20	-0.0881	1	0.35	0.40	5.05	9.5e-07
20p	583	0.38	0.42	2.7	0.0297	0.11	0.18	-2.3	1
20q	1092	0.40	0.41	3.32	0.00476	0.03	0.04	-4.33	1
21p	92	0.05	0.08	-4.63	1	0.35	0.37	0.917	0.336
21q	750	0.08	0.10	-3.92	1	0.25	0.27	-0.544	1
22p	2	0.03	0.06	-4.28	1	0.55	0.56	5.16	5.83e-07
22q	1258	0.02	0.04	-3.55	1	0.58	0.59	7.95	6.37e-15
Xp	945	0.02	0.05	-3.48	1	0.62	0.63	8.42	0
Xq	1533	0.06	0.13	-1.97	1	0.55	0.58	8.06	2.86e-15
