Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	3092	0.20	0.22	-0.493	1	0.12	0.15	-2.15	1
1q	2863	0.35	0.37	2.59	0.0399	0.05	0.08	-3.62	1
2p	1500	0.40	0.42	1.18	0.629	0.03	0.06	-5.32	1
2q	2495	0.31	0.32	0.64	0.843	0.03	0.04	-5	1
3p	1531	0.21	0.29	-1.27	1	0.27	0.35	-0.252	0.932
3q	1708	0.60	0.61	5.98	4.59e-08	0.03	0.06	-4.08	1
4p	693	0.09	0.21	-3.08	1	0.56	0.61	3.97	0.000127
4q	1467	0.05	0.14	-3.07	1	0.63	0.67	6.6	1.47e-10
5p	456	0.38	0.49	1.04	0.698	0.22	0.36	-1.36	1
5q	2185	0.10	0.17	-2.6	1	0.39	0.44	2.8	0.00604
6p	1664	0.44	0.52	3.43	0.00418	0.15	0.27	-1.32	1
6q	1304	0.26	0.41	0.498	0.866	0.37	0.49	2.25	0.0257
7p	926	0.28	0.38	-0.582	1	0.25	0.35	-1.12	1
7q	1717	0.38	0.40	1.25	0.629	0.07	0.11	-4.25	1
8p	795	0.19	0.48	0.867	0.736	0.61	0.75	6.57	1.52e-10
8q	1249	0.51	0.61	4.7	2.68e-05	0.16	0.33	-0.748	1
9p	621	0.20	0.33	-1.68	1	0.40	0.50	1.41	0.159
9q	1610	0.06	0.12	-3.59	1	0.52	0.55	4.38	2.44e-05
10p	767	0.32	0.45	0.556	0.866	0.27	0.41	-0.221	0.932
10q	1968	0.12	0.16	-3.26	1	0.26	0.30	-0.582	1
11p	1162	0.11	0.20	-3.11	1	0.44	0.50	2.35	0.021
11q	2133	0.27	0.36	0.892	0.736	0.24	0.33	0.274	0.707
12p	804	0.38	0.45	0.78	0.762	0.17	0.27	-2.44	1
12q	2055	0.23	0.31	-0.221	1	0.26	0.33	0.242	0.707
13q	1092	0.17	0.33	-1.04	1	0.48	0.58	3.71	0.000329
14q	1829	0.09	0.15	-3.21	1	0.44	0.48	3.03	0.00325
15q	2082	0.06	0.11	-3.43	1	0.48	0.51	4.27	3.77e-05
16p	1378	0.12	0.22	-2.53	1	0.45	0.51	3	0.00336
16q	1070	0.04	0.15	-2.95	1	0.71	0.74	7.5	3.4e-13
17p	937	0.08	0.33	-0.755	1	0.77	0.83	9.08	0
17q	2298	0.12	0.32	0.215	1	0.62	0.71	8.95	0
18p	212	0.26	0.37	-1.65	1	0.28	0.38	-1.39	1
18q	644	0.11	0.23	-2.94	1	0.52	0.59	3.3	0.00135
19p	1331	0.19	0.34	-0.614	1	0.44	0.55	3.46	0.000801
19q	2402	0.17	0.32	0.381	0.923	0.46	0.56	5.64	4.04e-08
20p	583	0.42	0.53	1.97	0.172	0.21	0.37	-1.06	1
20q	1092	0.49	0.52	2.69	0.038	0.06	0.12	-4.38	1
21p	92	0.18	0.29	-2.99	1	0.38	0.47	0.0225	0.825
21q	750	0.17	0.27	-2.59	1	0.37	0.44	0.493	0.594
22q	1258	0.06	0.26	-1.3	1	0.77	0.82	9.45	0
Xp	945	0.05	0.16	-3.09	1	0.68	0.71	6.61	1.47e-10
Xq	1533	0.09	0.21	-2.11	1	0.60	0.65	6.33	6.3e-10
