Chromosome Arm	X103	X1032	X1040	X106	X1097	X1098	X1172	X1177	X119	X1192	X1196	X120	X1230	X1237	X1265	X1269	X128	X1283	X1326	X1341	X1364	X137	X1410	X1419	X1471	X1499	X1530	X1548	X1552	X1568	X1580	X1582	X1593	X1605	X1634	X1652	X1677	X1689	X1718	X1751	X1851	X1922	X1928	X1979	X2090	X2120	X2152	X2176	X2212	X23	X2316	X2354	X2357	X2360	X2362	X2374	X2401	X2412	X2415	X2429	X2438	X2443	X2503	X2529	X2554	X2556	X2577	X2587	X2593	X2638	X2648	X2665	X2700	X2704	X2716	X2763	X2773	X2797	X2816	X2825	X2890	X2902	X2949	X2991	X2998	X300	X301	X3056	X3059	X3080	X3107	X3144	X3151	X3225	X3238	X3297	X3349	X3391	X342	X356	X429	X451	X472	X544	X592	X603	X655	X736	X80	X860	X88	X93	X935	X94	X970	X987	X991
1p	0.000	0.000	0.217	0.000	0.000	0.232	0.000	0.000	-0.148	0.000	0.000	0.000	0.000	-0.581	0.000	0.229	0.207	0.108	0.000	-0.170	-0.206	0.474	0.000	0.000	0.000	0.000	0.230	0.000	0.000	0.586	0.000	0.000	-0.134	0.420	0.000	0.100	0.000	0.000	0.000	0.118	0.000	0.290	0.000	0.000	0.000	0.540	0.000	-0.157	0.000	-0.201	0.000	0.000	0.000	0.000	-0.116	0.203	0.000	0.000	0.000	0.000	0.000	0.000	0.204	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.180	-0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.583	-0.222	0.000	0.000	0.120	0.000	0.721	0.000	0.000	0.000	0.000	-0.287	0.000	0.000	0.000	0.000	0.143	0.000	0.000	0.143	0.542	0.000	0.000	0.000	0.000	0.000	-0.106	0.000	0.000	0.924	-0.613
1q	0.000	0.000	0.346	0.000	0.000	0.232	0.000	0.647	0.774	0.973	0.887	0.000	0.000	-0.581	0.753	0.229	0.657	0.108	0.000	-0.170	-0.421	1.325	0.000	0.507	0.000	0.000	0.230	0.000	0.000	0.120	0.000	0.000	0.000	0.420	0.000	0.100	0.000	0.000	0.000	0.000	0.000	0.290	0.000	0.000	0.000	0.540	0.000	-0.157	0.000	0.040	0.000	0.000	0.248	0.000	-0.116	0.203	0.000	0.000	0.000	0.000	0.000	0.352	0.427	0.000	0.235	0.797	0.000	0.000	0.000	0.570	0.000	0.000	0.000	0.112	0.000	0.000	0.410	0.026	0.000	0.106	0.000	0.000	0.000	0.000	0.232	0.000	1.004	0.106	0.000	0.000	0.000	0.000	0.721	0.000	0.000	0.000	-0.480	0.495	0.000	0.000	0.000	0.000	0.143	0.131	0.000	0.143	0.000	0.315	0.563	0.000	0.000	0.000	0.152	0.000	0.000	0.924	0.322
2p	0.000	0.235	0.000	0.000	-0.221	0.182	-0.123	0.000	0.395	0.953	0.000	0.106	0.000	1.207	0.000	0.000	0.189	0.000	0.000	0.115	0.203	0.000	0.692	0.000	0.000	0.000	0.000	0.000	0.470	0.000	0.000	0.000	0.284	0.276	0.000	0.208	0.198	-0.360	0.000	0.255	0.000	0.369	0.000	0.000	0.486	0.464	0.691	0.626	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.772	0.000	0.550	0.872	0.390	0.314	0.377	0.380	0.000	0.000	1.190	0.272	0.000	0.000	0.000	0.000	0.000	0.353	1.052	0.217	-0.391	0.000	0.353	0.593	0.000	0.000	0.000	0.626	0.109	0.000	0.000	0.698	0.000	0.727	0.000	0.471	0.000	0.532	0.491	0.000	0.000	0.000	0.000	0.161	0.000	0.000	0.194	0.000	0.000	0.000	0.000	0.000	0.000	1.020	0.000	0.000	2.531	0.000
2q	0.000	0.235	0.000	0.000	-0.221	0.182	0.804	0.350	0.395	0.953	0.000	0.667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.203	0.891	0.692	0.000	0.000	0.000	0.419	0.000	0.592	0.000	0.000	0.000	0.000	0.000	0.197	0.208	0.000	0.000	0.000	0.255	0.000	0.369	0.000	0.000	0.400	0.464	0.000	0.000	0.650	0.275	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.772	0.000	0.550	0.357	0.000	-0.197	0.000	0.266	0.000	0.000	0.000	0.272	0.000	0.000	0.000	0.000	0.000	0.353	0.000	0.000	-0.391	0.000	0.000	0.322	0.000	0.000	0.000	0.479	0.109	0.000	0.000	0.698	0.000	0.289	0.000	0.471	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.194	0.690	0.000	0.000	0.000	0.000	0.000	0.113	0.000	0.000	0.144	0.000
3p	0.000	0.000	-0.172	0.000	0.000	0.516	-0.867	0.268	0.000	0.000	0.000	-0.640	-0.365	-0.442	0.000	0.136	0.000	0.000	0.000	0.000	0.000	0.470	-0.606	0.000	-0.314	-0.121	0.000	0.000	0.000	0.000	0.581	0.587	0.000	0.265	-0.109	0.000	0.222	0.000	0.140	0.000	0.000	-0.233	0.000	0.000	0.000	0.578	0.273	-0.042	0.000	-0.176	-0.286	-0.221	-0.325	-0.811	0.602	0.000	0.000	0.000	0.000	-0.321	0.613	0.376	-0.139	0.000	0.000	0.000	0.472	0.000	0.000	0.623	0.000	0.000	0.000	0.234	-0.412	0.000	-0.182	-0.254	-0.109	0.000	-0.354	0.157	0.245	0.114	-0.265	0.000	-0.396	0.000	0.491	0.000	-0.155	0.000	0.000	0.237	-0.312	0.000	-0.464	-0.143	0.000	0.000	-0.744	0.000	0.412	0.000	0.000	-0.136	-0.511	-0.477	0.000	0.000	0.000	0.000	0.253	0.000	0.000	0.296	0.000
3q	0.000	0.128	0.275	0.142	1.427	0.516	0.927	0.268	0.323	0.495	0.000	0.260	0.000	-0.278	0.000	1.002	0.628	0.542	0.000	0.916	0.000	0.470	-0.606	0.000	0.000	0.000	0.000	0.000	0.000	0.232	0.581	0.000	0.305	0.695	0.202	0.000	0.222	0.597	0.140	0.567	1.206	1.661	0.000	0.446	0.591	0.578	0.273	0.197	1.394	0.086	0.035	0.453	-0.136	1.828	0.602	0.592	0.000	0.000	0.000	0.159	0.119	0.376	0.384	0.492	0.000	1.096	0.748	0.236	0.596	0.623	0.000	0.000	0.000	0.234	0.436	0.000	0.265	0.042	0.000	0.000	0.000	0.318	0.586	0.114	0.728	0.000	0.478	0.105	0.491	0.000	0.608	0.000	0.820	0.237	1.637	0.766	0.000	0.077	0.000	0.000	0.128	0.000	0.412	0.000	0.000	0.616	0.000	0.546	0.504	0.532	0.000	0.000	0.253	0.187	0.000	0.567	0.000
4p	-0.736	0.000	0.103	0.000	0.000	-0.134	-0.872	-0.409	-0.158	0.000	-0.900	0.000	-0.360	-0.610	-0.879	-0.268	0.000	-0.586	0.000	0.000	-0.448	-0.452	-0.630	-0.792	0.000	-0.643	-0.612	-0.836	-0.517	-0.284	-0.535	-0.703	-0.275	-0.404	0.000	-0.146	0.000	-0.852	0.000	0.000	-1.022	-0.179	0.000	-0.130	0.258	0.000	0.000	-0.143	0.000	0.242	0.115	-0.240	-0.293	-0.890	0.000	-0.186	-0.514	0.000	-0.617	-0.387	-0.781	0.686	-0.129	0.000	0.000	1.226	0.000	-0.250	0.000	0.000	0.178	-0.750	0.129	0.126	-0.465	0.000	-0.215	-0.242	-0.139	0.000	0.000	0.000	-0.328	0.151	-0.532	0.000	-0.440	-0.295	-0.180	-0.723	0.000	0.000	-0.495	-0.590	0.377	-0.380	-0.468	-0.379	0.000	0.000	-0.693	0.000	-0.408	-0.553	0.000	0.000	-0.636	-0.550	-0.724	0.000	0.000	0.000	-0.430	-0.768	0.000	0.000	-0.525
4q	-0.736	-0.255	0.103	0.000	0.000	-0.134	-0.872	-0.409	-0.158	0.000	-0.900	-0.538	-0.873	-0.610	-0.879	-0.566	-0.219	-0.116	0.000	0.000	-0.448	-0.452	-0.630	-0.792	-0.818	0.000	-0.612	-0.836	-0.517	-0.401	-0.535	0.000	-0.275	-0.404	0.000	-0.146	0.141	-0.384	0.000	-0.166	0.000	-0.179	0.000	0.000	0.000	0.000	0.000	-0.143	0.000	-0.307	0.115	-0.240	-0.293	-0.890	0.000	-0.186	-0.514	-0.145	-0.617	-0.387	-0.781	0.067	-0.129	0.000	0.000	0.000	0.000	-0.250	0.000	0.000	0.000	-0.750	-0.363	0.126	-0.465	-0.629	-0.215	-0.242	-0.139	0.000	0.000	-0.263	-0.328	-0.140	0.000	-0.667	-0.440	-0.295	-0.180	-0.723	0.000	-0.126	-0.762	-0.590	0.377	-0.155	-0.468	-0.379	0.000	0.000	-0.693	0.000	-0.408	-0.553	-0.790	0.000	-0.636	-0.572	0.462	0.000	0.000	-0.637	-0.430	0.000	0.000	-0.207	-0.525
5p	0.107	0.820	0.102	0.000	0.564	0.276	0.000	-0.400	1.817	0.000	0.000	0.144	0.000	-0.592	0.000	-0.417	-0.192	0.000	0.000	-0.201	-0.344	-0.454	-0.017	0.000	0.358	-0.588	0.816	0.000	0.000	-0.402	0.621	0.000	0.569	0.887	0.178	-0.126	0.000	0.980	0.423	0.158	1.638	1.378	0.733	0.131	0.202	0.504	0.513	0.435	1.786	0.544	0.000	0.424	0.000	0.000	0.223	-0.173	0.384	0.000	0.000	-0.417	0.000	-0.314	0.063	-0.497	0.591	0.497	0.000	0.000	0.285	0.000	0.459	0.000	0.000	0.124	-0.200	0.000	-0.027	0.349	-0.104	-0.363	-0.390	0.289	0.000	-0.259	0.000	0.000	-0.455	-0.191	0.592	0.000	1.106	0.000	-0.214	0.000	0.000	0.362	0.480	0.574	0.000	0.000	0.000	-0.563	0.441	0.000	0.413	0.000	0.675	0.000	-0.184	0.000	0.000	0.000	-0.260	0.000	0.000	-0.198	0.489
5q	-0.666	0.056	0.102	-0.121	0.000	-0.251	-0.868	0.000	1.012	0.000	0.000	0.000	0.563	-0.592	0.000	-0.417	-0.192	0.000	0.000	0.000	0.148	-0.454	-0.624	0.000	0.000	-0.588	0.000	0.000	-0.497	-0.402	0.000	0.000	0.569	0.000	0.000	-0.126	0.000	0.000	0.000	0.000	0.000	-0.433	-0.689	-0.162	0.000	0.000	0.513	0.000	0.000	0.000	0.000	0.168	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.417	0.000	-0.314	-0.109	-0.497	-0.504	-0.180	0.000	0.000	0.000	-0.615	0.142	0.000	0.000	0.124	0.000	0.000	-0.170	0.017	-0.104	0.000	-0.390	0.110	-0.202	-0.259	-0.552	0.403	-0.455	-0.339	-0.211	-0.733	0.000	-0.142	-0.214	-0.606	0.000	0.000	-0.514	-0.623	0.000	0.000	-0.655	-0.303	-0.322	0.000	0.000	0.000	0.000	-0.521	-0.184	-0.394	0.000	0.000	-0.260	0.000	0.000	-0.198	0.632
6p	0.000	0.000	0.256	0.115	0.488	0.169	0.000	1.285	0.998	0.984	-0.902	0.113	-0.380	0.000	-0.868	-0.244	0.863	0.000	0.000	0.000	-0.242	0.114	0.000	-0.790	0.000	0.000	-0.381	-0.813	-0.164	0.118	0.000	0.000	0.266	0.000	0.134	0.454	0.000	0.000	0.114	0.444	0.464	2.491	0.000	0.189	0.677	0.567	0.000	0.000	0.000	0.429	0.000	0.418	0.000	0.731	1.041	0.122	0.000	0.000	-0.641	1.019	0.000	0.187	0.331	0.382	0.000	0.000	0.164	0.000	-0.101	0.458	0.203	0.558	0.000	0.000	0.266	0.000	-0.184	0.384	0.129	0.000	-0.112	0.354	1.482	0.000	0.000	0.000	0.573	0.127	0.295	0.000	1.151	0.000	-0.712	0.623	0.999	0.000	0.000	0.219	0.000	0.000	0.000	-0.383	0.000	0.000	0.864	0.000	0.744	0.000	0.496	0.000	0.000	-0.416	0.273	-0.734	0.000	0.446	-0.399
