estimate	std_error	t_value	p_values	r_sq	FDR
1p	-4.82139484238116	1.843801450814	-2.61492084207473	0.0104635762470925	0.0580928429905004	0.195299466552562
22q	-3.02332640040689	1.18937357098331	-2.54194853002103	0.0127338240841323	0.0544183424762212	0.195299466552562
2p	2.59487636002481	1.09029364360752	2.37997935257056	0.0194241507641995	0.0465385141471524	0.195299466552562
22p	-2.72754417618515	1.16642073954884	-2.33838792787597	0.021582642732149	0.0445785839382252	0.195299466552562
5q	-2.92264477000089	1.2607801908804	-2.31812396097374	0.0227092402968096	0.0436333233950367	0.195299466552562
14q	1.98618788388515	1.07922849416341	1.84037754250067	0.0690084070706072	0.0232876362206186	0.45957908246585
8q	-0.965977189947326	0.53591164557845	-1.80249337351994	0.0748151994711849	0.0218421161309282	0.45957908246585
13q	-1.3127530878742	0.819429669938111	-1.60203265275146	0.112652609116241	0.0146303601692878	0.526782242560404
Xp	1.77085865958578	1.14075187835785	1.55236094121974	0.124085445663418	0.0129596310636845	0.526782242560404
Xq	1.64892357321137	1.09092131661498	1.5114963362599	0.134165443297666	0.0116205051408107	0.526782242560404
19q	-1.45798276448279	0.966082878626868	-1.50916944781703	0.134758248096848	0.0115452206164952	0.526782242560404
12q	1.65437425791014	1.18807593421968	1.39248191993445	0.167207340445816	0.0079050086576431	0.599159636597509
18q	-1.61005409801071	1.22673910289193	-1.31246659881889	0.192700009456096	0.00556396665732517	0.603143322172098
3p	1.48870589363145	1.15241648897337	1.29181238543164	0.199729640403698	0.00498045226731703	0.603143322172098
17q	-1.25805544450984	1.01107832918053	-1.24427100077348	0.216630577515344	0.0036700123621024	0.603143322172098
17p	-1.24424360312568	1.10329112500716	-1.12775637809794	0.262420372239241	0.000653073195582499	0.603143322172098
3q	1.15920789268249	1.03206272775823	1.12319519105243	0.264341848332443	0.000540645737719836	0.603143322172098
21q	-1.33264264904058	1.19134638853088	-1.11860216463487	0.266286681402084	0.000427868484807137	0.603143322172098
9q	1.45906205344757	1.30496220580081	1.11808759438531	0.266505188866741	0.000415260922638772	0.603143322172098
21p	-1.11238228141718	1.09854363789905	-1.01259726335915	0.313967145541923	-0.00205298892431904	0.675029362915135
10p	-0.873648401039749	0.929789687678397	-0.939619370506433	0.349927842470976	-0.00362381431783465	0.684087111554616
18p	-1.03181885967105	1.13451124622798	-0.909483148009012	0.36552434925455	-0.00423956518016166	0.684087111554616
5p	-0.783779728894266	0.862477269455087	-0.908754069993587	0.365907059668748	-0.00425422242962448	0.684087111554616
7p	-1.02076875094762	1.17848627409453	-0.86616940170297	0.38870050508076	-0.00509065077168902	0.696421738269696
2q	-1.18235616395629	1.68101226174928	-0.703359630896396	0.483647270847277	-0.00792877784295665	0.76830847838382
4q	0.938981897449652	1.33743855969295	0.702074791133004	0.484444269859796	-0.00794889075019301	0.76830847838382
6p	0.58459359996262	0.840549949534562	0.695489423664027	0.488540579358037	-0.00805141342285998	0.76830847838382
16p	-0.797766372711129	1.24124269970742	-0.642715862819717	0.522042505798321	-0.00883880459443498	0.76830847838382
9p	-0.494613537879685	0.828205755412884	-0.597210940212685	0.551866106479529	-0.00946876903209803	0.76830847838382
19p	-0.53479881824398	0.937615471660187	-0.570381818995627	0.569840031669834	-0.00981886019234302	0.76830847838382
15q	-0.687423425293914	1.22260601535281	-0.562260791016591	0.575336096472365	-0.00992170491836286	0.76830847838382
8p	-0.358017785776365	0.647339436873115	-0.553060365834841	0.581593271799978	-0.0100364620107252	0.76830847838382
4p	0.64521158875158	1.23773153534643	0.521285569871977	0.60344822100007	-0.0104184169764228	0.76830847838382
16q	-0.55284944376004	1.09505512057784	-0.504859922912658	0.614891202648684	-0.0106071126616034	0.76830847838382
1q	0.609102639892627	1.24321459546192	0.489941673879975	0.625367366126365	-0.0107733150972587	0.76830847838382
12p	0.215448780633962	0.656379241965185	0.328238260535043	0.743493959456219	-0.0122574031899143	0.884972504562639
7q	-0.3305328577983	1.17250433518576	-0.281903314025644	0.778664854229642	-0.0125750938349274	0.884972504562639
20p	-0.266061220819119	1.02212177104486	-0.260302860536019	0.795224777099487	-0.0127067633447084	0.884972504562639
10q	0.356555367627522	1.42247456360272	0.250658519140385	0.802649480882394	-0.0127621747001321	0.884972504562639
20q	-0.202984997018993	0.95334255614777	-0.212919265703618	0.83187147433481	-0.0129589461913704	0.894261834909921
11p	-0.184141541563996	1.22636233198922	-0.15015263985262	0.880980187688391	-0.0132153721461901	0.923954830990264
6q	0.0722730243998715	1.17128947048661	0.0617038112447522	0.950935527999809	-0.0134263197843489	0.973576850095043
11q	-0.0202066783761544	1.29498989836408	-0.0156037343624694	0.987585065228415	-0.0134664500495578	0.987585065228415
