estimate	std_error	t_value	p_values	r_sq	FDR
6p	0.219861015246151	0.0629702073759872	3.49150851502503	0.000925332782706619	0.183168990103849	0.0397893096563846
3p	0.248982126163019	0.0923131827363718	2.69714594148555	0.0091411800075655	0.121650873433241	0.196535370162658
20p	0.168733356541663	0.0776416733892034	2.17323183769924	0.0338598651842919	0.0859183629694333	0.485324734308183
10q	-0.236750367865576	0.11818365328919	-2.00324123748534	0.0498315373974877	0.0754534165770611	0.508371965533045
16q	-0.16991278018843	0.088257335951645	-1.92519724685008	0.0591130192480285	0.0708597642477592	0.508371965533045
12q	-0.178917341092224	0.098475893145815	-1.81686436524417	0.0744057159405183	0.064715286656817	0.533240964240381
3q	0.164544568081354	0.0992145750887489	1.65847173093435	0.102621387444694	0.0562405625487379	0.626073914511532
4p	0.176010461453498	0.114538619036848	1.53669096880655	0.129806818251826	0.0501567821256798	0.626073914511532
14q	-0.130222292904216	0.0881101690325173	-1.47794850848779	0.144831751111443	0.0473619482588902	0.626073914511532
2q	0.200262779680965	0.139507172945279	1.43550166957735	0.15651544448502	0.0454004373088545	0.626073914511532
18q	0.142464714112701	0.100131721147039	1.42277304814823	0.160158443247136	0.0448218357666798	0.626073914511532
Xp	-0.115883656203331	0.0952824782401438	-1.21621160935031	0.22883092732574	0.0360678548289816	0.702047383184507
Xq	-0.10924979751935	0.0934823924990427	-1.16866711044509	0.247318831451095	0.0342267571209594	0.702047383184507
5q	0.112223482442007	0.099044264274532	1.13306392110647	0.261849562326755	0.0328917537441877	0.702047383184507
19q	-0.0914947447247521	0.0844384411144556	-1.08356743110323	0.283040635666095	0.0310986262722157	0.702047383184507
5p	0.0702534114264878	0.0648861330669201	1.08271841926583	0.283414246023746	0.0310685107233626	0.702047383184507
1q	0.124583460796162	0.115115210530467	1.08225021022038	0.283620429460978	0.0310519120407817	0.702047383184507
6q	-0.0987389738470053	0.095841552992398	-1.03023136378891	0.307178538983732	0.0292490994150543	0.702047383184507
9q	0.124857502690672	0.121961583057746	1.02374452315493	0.310206983267573	0.0290300557031411	0.702047383184507
17q	-0.0840243357285667	0.0931273448754385	-0.902252027489375	0.370654765818208	0.0251670122410241	0.796907746509148
19p	-0.0623532522056748	0.084063240061094	-0.741742195046952	0.461236638837306	0.0207735803332569	0.932093241440137
17p	0.0640596808768642	0.0894730355909876	0.715966329450399	0.476884914225187	0.0201447729677244	0.932093241440137
2p	0.0578803501232879	0.0956244153983173	0.60528840759121	0.547348547657502	0.0176897997815831	0.96624663079656
18p	-0.0521972333981443	0.0899827073861696	-0.580080716777444	0.56410701852954	0.0171866526443767	0.96624663079656
9p	-0.0376717715037019	0.0661339504325025	-0.569628326409299	0.57112956269113	0.0169841532328595	0.96624663079656
11q	-0.0439746069833927	0.0998452055698131	-0.440427827580014	0.661264400156366	0.0147797441449073	0.96624663079656
22q	0.044111971185615	0.106659879758057	0.413576044579059	0.68070987560497	0.0143913618405468	0.96624663079656
20q	0.0328741664891723	0.0821810300691314	0.400021348740923	0.690610281971364	0.014204474750923	0.96624663079656
13q	0.0250295736406655	0.0648469998981273	0.385978899254958	0.700924514921067	0.0140173590215251	0.96624663079656
11p	-0.0394909948675528	0.104313901863116	-0.378578446038518	0.706383173007735	0.0139214106048006	0.96624663079656
4q	0.0393939494798404	0.108581753376149	0.362804506788278	0.718069747031301	0.0137230379480713	0.96624663079656
8p	-0.0184533787605096	0.0510520002078017	-0.361462404712784	0.719067260127673	0.0137065457757319	0.96624663079656
15q	0.0313113800998973	0.0978224741371612	0.320083706490537	0.750055133773457	0.0132278233789794	0.969809414997855
21p	0.0334464357492669	0.11929238765625	0.280373596391123	0.780188523169689	0.0128227031692436	0.969809414997855
7q	-0.0245738476271871	0.102987010355939	-0.238611136902179	0.812248197102041	0.0124541656548515	0.969809414997855
16p	-0.0242791691947505	0.103600738394138	-0.234353244688112	0.815536073007076	0.0124199092865861	0.969809414997855
10p	-0.0159501853450927	0.0759921798230886	-0.209892457121576	0.834487171044666	0.0122350214873926	0.969809414997855
1p	0.0233996423033835	0.19255131800359	0.121524186622017	0.903695915609667	0.0117363830723658	0.973902288291595
22p	0.00552638279925267	0.0997457174730126	0.0554047124955304	0.956006457965456	0.0115370634779046	0.973902288291595
12p	0.00235111160318286	0.0517207301526913	0.0454578192581938	0.963898548389111	0.0115199659136265	0.973902288291595
7p	0.00420098549572176	0.100653485053436	0.0417371091869445	0.966851619609905	0.0115144369476178	0.973902288291595
21q	0.00482396633264949	0.128063687930387	0.0376684945639838	0.970081349910067	0.0115089310336561	0.973902288291595
8q	0.00132316241687171	0.0402716518708792	0.0328559260770851	0.973902288291595	0.0115031467028388	0.973902288291595
