estimate	std_error	t_value	p_values	r_sq	FDR
9q	-3529.44326470025	1118.62979708296	-3.15514862370369	0.00238977900072573	0.0963477559969542	0.0933978236351923
17p	-2787.20362807012	944.53988930724	-2.95085857105977	0.0043440848202415	0.0816528213390821	0.0933978236351923
18q	-2381.73957030053	900.054366511168	-2.64621744965556	0.0101039376621639	0.0607751969564829	0.115943216811583
11q	-2644.62657399008	1008.72785587343	-2.62174436701778	0.0107854155173566	0.0591579644554568	0.115943216811583
16p	-2254.2462434744	917.165578979823	-2.45783999654875	0.016531412690093	0.0485785098083709	0.142170149134799
14q	1858.03979816955	802.952365613083	2.31400999329627	0.0236959485752921	0.039676632049648	0.153533061585482
9p	-1452.41349504044	633.627335309816	-2.29222038586809	0.0249937542115901	0.0383608632385908	0.153533061585482
11p	-2053.23458273245	919.338126144103	-2.23338347920384	0.0288174323521738	0.0348526415881315	0.154893698892934
17q	-1725.62859471665	822.841010766638	-2.09715919860252	0.0397004297230382	0.0269882805428544	0.18967983089896
16q	-1432.16053513277	838.722193308295	-1.70755054123903	0.0922820157903445	0.0066494663328126	0.396812667898481
22p	-1407.78841409471	910.198502265701	-1.54668285059841	0.126581407420936	-0.000737997086944331	0.487722830915344
22q	-1407.32268792234	933.048792127314	-1.5083055675081	0.136108696999631	-0.00240756241783369	0.487722830915344
Xq	-1156.60948750103	841.761460284803	-1.37403473795261	0.173943209169966	-0.00795853172865346	0.574870633505594
8p	-658.849026078015	494.47203807906	-1.33242928889878	0.187167183001821	-0.00958517755623411	0.574870633505594
18p	-980.664201384039	801.458690860887	-1.22359918554337	0.225326537664228	-0.0136261921508347	0.592480515469185
12q	-1184.21737762399	976.506151080297	-1.21270856954041	0.229437564281517	-0.0140133258517423	0.592480515469185
8q	462.096225157644	385.024459442285	1.20017368721717	0.23423648285991	-0.0144549855119451	0.592480515469185
6q	-996.055793794188	858.443287531939	-1.16030471466309	0.249982307288805	-0.0158317020121459	0.597179956301033
1q	-960.154159495024	1028.54451431785	-0.93350763737417	0.353860914381857	-0.022835890611671	0.783945301646004
Xp	-834.832411878869	914.685834614637	-0.912698524767894	0.364625721695816	-0.0234067680765486	0.783945301646004
13q	-536.687109436869	636.69192533399	-0.842930604397627	0.402222500373594	-0.0252311406277295	0.823598453145931
5p	526.147653250341	691.149071279368	0.761265080305183	0.449130777715588	-0.0271896399095226	0.845170557865336
21p	-617.437270952574	866.598379029795	-0.71248375936709	0.478602925733925	-0.0282675652949238	0.845170557865336
12p	-344.021710243128	505.034162813243	-0.681185027814335	0.498067680621549	-0.0289226992301532	0.845170557865336
19p	574.057848938753	866.911710219113	0.662187212575152	0.510089289095897	-0.0293063908790636	0.845170557865336
4p	-743.405340678377	1125.1689337783	-0.660705533507786	0.511033360569738	-0.0293358714206231	0.845170557865336
20p	-459.369836404309	752.860814018062	-0.61016568780174	0.543785872122653	-0.0303028399980851	0.866029351899041
21q	-516.416656157027	939.262154332596	-0.549810991292386	0.584250389016805	-0.031358903290144	0.870089527820618
4q	-599.715593180362	1098.23819717176	-0.5460706017372	0.58680456527437	-0.0314208019256934	0.870089527820618
15q	-404.909561934302	899.343397708608	-0.450227980731221	0.653978205636139	-0.0328648527515205	0.937368761411799
7p	366.853716542138	982.150897427153	0.373520726298932	0.709922915737663	-0.0338226545054443	0.984731786345791
2p	-261.708317763609	815.174581808697	-0.321045728858393	0.749160383341821	-0.034375935285013	0.985567327458725
10p	212.089724844985	727.641449340791	0.291475595620794	0.771574907790039	-0.034651105693432	0.985567327458725
19q	-203.271222251271	796.900923260544	-0.255077157420751	0.799433411715323	-0.0349535075840857	0.985567327458725
3p	-177.125262998238	933.70012320464	-0.189702516467825	0.85010738085642	-0.0353958274036144	0.985567327458725
7q	155.690294563375	958.322855627157	0.16246121403573	0.871424478431772	-0.0355418437428625	0.985567327458725
10q	-189.942811479205	1183.49915320387	-0.160492562216887	0.872968907827723	-0.0355515221423233	0.985567327458725
5q	150.938699290726	967.486099862811	0.156011232938777	0.876486397458105	-0.035573114156455	0.985567327458725
1p	207.584930418814	1687.73286114267	0.122996319617946	0.902472820644501	-0.0357133636711737	0.985567327458725
3q	94.3965675834561	900.337149834918	0.10484579871081	0.916806816240675	-0.0357763409033469	0.985567327458725
20q	31.3663678526153	727.33478736948	0.0431250758210764	0.965728213501721	-0.0359154490104114	0.991940313163373
6p	15.706595965349	602.626138110487	0.0260635823308236	0.979282961896833	-0.0359334320463178	0.991940313163373
2q	-12.5914000345078	1241.91465759316	-0.0101386999159106	0.991940313163373	-0.0359422148760637	0.991940313163373
