estimate	std_error	t_value	p_values	r_sq	FDR
2p	1.62761665172663	0.480996410822917	3.3838436526834	0.00141394665220728	0.156064162500508	0.060799706044913
22p	-1.37224363456098	0.535664111589605	-2.56176138156575	0.0135414165159156	0.0818241492828935	0.291140455092185
20q	1.00651013966776	0.466718382154194	2.15656845359743	0.0359736182164716	0.0491051570349892	0.3553374548322
12p	0.600859336568241	0.280109148612868	2.14509001060396	0.036928871680445	0.048229215386307	0.3553374548322
Xq	-1.07911423714481	0.544916036141994	-1.98033121723658	0.0532956434068814	0.0360051577626258	0.3553374548322
22q	-1.15986704273571	0.601379282984458	-1.92867808312194	0.0595743639802877	0.032313135212563	0.3553374548322
9q	-1.32086786801486	0.694789926036193	-1.90110394310187	0.0631779738848098	0.0303708726494998	0.3553374548322
19p	0.860729548096832	0.457921144935793	1.87964578097288	0.0661092939222697	0.0288734536560874	0.3553374548322
3p	-0.864419080599347	0.536914323672566	-1.60997582386442	0.113827430707556	0.0111599619348011	0.501447340260693
16q	-0.801086863741229	0.501507489156321	-1.59735772857328	0.116615660525743	0.0103836750823003	0.501447340260693
1p	-1.39432338973607	1.04798292944615	-1.33048292158056	0.189518206119786	-0.00484678845242903	0.666363403218341
10p	-0.597418474853632	0.449384112277258	-1.32941610202063	0.189867187528277	-0.00490295419415365	0.666363403218341
9p	0.4585682533079	0.366286881184979	1.25193742081174	0.216535903697061	-0.00887746477414142	0.666363403218341
3q	-0.749476578937729	0.602414005480469	-1.24412210227411	0.219373281678603	-0.00926681232062387	0.666363403218341
Xp	-0.676187138642862	0.559279903548114	-1.20903171087157	0.232452349959886	-0.0109885088764186	0.666363403218341
17q	-0.583991420696655	0.560317142092952	-1.04225156937957	0.302410230324212	-0.0185673334383039	0.769722033392611
5p	-0.387256374787964	0.379938186179435	-1.01926152430773	0.313085104953463	-0.0195320682757127	0.769722033392611
21p	-0.665696469103298	0.665676760697098	-1.00002960657088	0.322209223280628	-0.020323934651522	0.769722033392611
2q	0.845407327405519	0.878520834083509	0.962307659200212	0.340620116166009	-0.0218367249990543	0.770598966272966
6p	-0.359889869857224	0.388188284609121	-0.927101316876701	0.358418123847891	-0.0231999901190585	0.770598966272966
20p	0.356773256779762	0.451590150669154	0.79003772834971	0.433312547075162	-0.0280528183997213	0.815640565220464
6q	0.408299938905917	0.539849341873112	0.756322009191011	0.453077201894314	-0.029134057510745	0.815640565220464
8q	0.173674666153232	0.231843792058835	0.749102076924094	0.457376883602304	-0.0293597528157745	0.815640565220464
12q	0.392096813770842	0.558738201039913	0.701754082754819	0.486152487471966	-0.0307884957540054	0.815640565220464
1q	0.410986724496359	0.670327547661683	0.61311328458753	0.54263694880417	-0.0332216524230686	0.815640565220464
11q	0.344639021651007	0.578192000726646	0.596063282124069	0.553876608368515	-0.0336532449798936	0.815640565220464
4q	-0.337392220377283	0.621024533695567	-0.543283239342485	0.589397935266997	-0.0349141901128929	0.815640565220464
10q	-0.362961407801644	0.670923114031145	-0.540988080766577	0.590966878122716	-0.0349664384752844	0.815640565220464
14q	0.264931787942592	0.505408191849115	0.524193695739869	0.60250711213614	-0.0353421801916041	0.815640565220464
21q	-0.377224511509761	0.721699471999651	-0.522689188706991	0.603546020246504	-0.0353752754233294	0.815640565220464
11p	-0.29437254469244	0.60622973962825	-0.485579187970808	0.629429811123438	-0.0361621110458019	0.815640565220464
5q	-0.255671473275771	0.546840536672741	-0.467543015065064	0.642184141490107	-0.0365240134423916	0.815640565220464
7q	0.250129350386945	0.571409516742854	0.437740959955884	0.663497621640114	-0.0370924988406582	0.815640565220464
18q	-0.254719471702546	0.587894064551984	-0.433274440177687	0.666716824481403	-0.0371745256533471	0.815640565220464
16p	-0.250416968983885	0.600869193279665	-0.416757876397455	0.678675633909428	-0.0374706500600199	0.815640565220464
8p	0.11596950717549	0.282161766612058	0.411003618838747	0.682861868556668	-0.0375711532005114	0.815640565220464
15q	-0.185207102313104	0.544473629496632	-0.340158076130021	0.735191433915304	-0.0386953528593958	0.85441166644211
13q	0.11085717595664	0.384863154382053	0.288043099721083	0.774528625306753	-0.0393881700506296	0.876440286531325
4p	-0.164124043679179	0.674969435629874	-0.243157741692438	0.808898268874546	-0.0398933212789834	0.885944161285687
17p	0.113482121990834	0.50792185848557	0.223424371475554	0.82413410352157	-0.0400885212949065	0.885944161285687
7p	-0.0769017848841037	0.566733577853237	-0.135693009712614	0.892619898367176	-0.0407570227490675	0.936162332433868
18p	-0.0378676405786347	0.56386127866443	-0.067157724801264	0.946729423807807	-0.0410522824019133	0.969270600565135
19q	0.018588009997568	0.530061592238591	0.0350676417037988	0.972168272227271	-0.0411219763519013	0.972168272227271
