estimate	p_values	FDR
17p	443	0.00952067050380458	0.279157908434676
17q	472	0.0159079754447059	0.279157908434676
10p	511.5	0.0340518445026749	0.279157908434676
7q	959.5	0.0368827009098966	0.279157908434676
7p	967.5	0.0382818786157858	0.279157908434676
9p	977	0.0389522662932107	0.279157908434676
2p	564	0.0612448214287619	0.336439376289271
15q	546	0.0625933723328876	0.336439376289271
1p	883.5	0.106070095762833	0.506779346422426
4p	572.5	0.126855010827063	0.545476546556371
22q	586.5	0.167108560954855	0.60715114635906
9q	891	0.180776607044309	0.60715114635906
4q	599	0.193033216931599	0.60715114635906
19q	603.5	0.204220610564307	0.60715114635906
22p	603	0.218947648984778	0.60715114635906
11p	615	0.232537784597565	0.60715114635906
18q	874.5	0.240036499723349	0.60715114635906
8q	615	0.261682959332817	0.610112525613333
Xq	868.5	0.269584604340775	0.610112525613333
13q	631	0.312385906621733	0.63446817021023
Xp	859	0.31724519069449	0.63446817021023
8p	629	0.324611621968025	0.63446817021023
5q	654	0.36371659902872	0.679991902531956
5p	647.5	0.380476264682	0.681686640888584
2q	669	0.399919426647948	0.685929696512029
11q	660	0.423396718730896	0.685929696512029
10q	671	0.449655951484112	0.685929696512029
14q	668	0.466456427670495	0.685929696512029
6q	666	0.477209657003412	0.685929696512029
12q	817.5	0.478555602217694	0.685929696512029
16p	675.5	0.529391088241827	0.734316670787051
16q	676.5	0.558388056420845	0.73611389184386
3q	680.5	0.564924614670869	0.73611389184386
1q	797	0.590975091922417	0.738112039599264
20q	800	0.600788869441261	0.738112039599264
12p	697.5	0.671834477430869	0.802468959153538
3p	711.5	0.758999704366359	0.88208073750685
21p	724	0.860995800830362	0.950667548294216
19p	725	0.862233357755219	0.950667548294216
6p	734	0.931580200396093	0.974391806656799
21q	736	0.94232846841321	0.974391806656799
20p	739	0.96733098068955	0.974391806656799
18p	740	0.974391806656799	0.974391806656799
