estimate	std_error	t_value	p_values	r_sq	FDR
del39_14q11.2 	22.5187463140881	4.1496211535641	5.42669932524969	4.807808389241e-07	0.249549830881558	4.56741796977895e-05
amp22_14q11.2 	15.2562849805139	3.75994303459232	4.05758407511834	0.000105415383087443	0.158019789638993	0.00500723069665352
amp15_8q24.3  	7.08449481701218	3.10339574731169	2.28282030197054	0.0247964857171749	0.0585088000768097	0.724485649205748
del60_21q11.2 	-18.413993512294	8.37707461903745	-2.19814127839413	0.0305046589139262	0.0547416821290627	0.724485649205748
del63_22q13.33	-18.041394367563	8.75481909498058	-2.0607386825282	0.0422140987954465	0.0488725356220415	0.802067877113483
del17_5q35.3  	-11.8979773434261	6.39667655008146	-1.86002485044747	0.0661482670352791	0.0408638300518164	0.818913791359885
del1_1p36.21 	9.64452826928504	5.23250340597052	1.84319579386804	0.0685919022759266	0.0402238226776956	0.818913791359885
amp2_1p34.2  	-10.9233551244918	6.10258114286458	-1.78995655588519	0.0768239946660695	0.0382319979760571	0.818913791359885
del37_13q11   	-11.0999378969217	6.84227255292067	-1.62225895140404	0.108245979808667	0.0322908018689448	0.818913791359885
amp1_1p36.33 	8.42417690619023	5.50242070743102	1.53099469381056	0.1292782410343	0.0292750467199381	0.818913791359885
del32_11p15.5 	-13.8137900150639	9.09815525779065	-1.51830669225339	0.132442196086557	0.0288681695325458	0.818913791359885
del38_13q14.2 	-9.02210008570368	6.29966845764741	-1.4321547469298	0.1555635559128	0.0261865053435039	0.818913791359885
del41_15q11.2 	-7.16341025972339	5.34377774394053	-1.34051425844688	0.183452244570077	0.0234910457547726	0.818913791359885
amp5_2q11.2  	-7.56817299688164	5.67621275263318	-1.33331383559765	0.185793830754048	0.0232861983710231	0.818913791359885
del48_17p11.2 	-7.52204904893731	5.79274517354287	-1.29852925056891	0.197422965214547	0.0223109611380194	0.818913791359885
del54_19p13.3 	13.9111526550669	10.7153253208635	1.29824827884421	0.197519056287473	0.0223031808138251	0.818913791359885
del33_11p14.2 	-7.19302409994445	5.55284608401326	-1.29537609923194	0.198503325639871	0.0222237374270994	0.818913791359885
del12_4p16.1  	7.10452326668953	5.57810343888109	1.273644948419	0.2060687978311	0.0216279527938327	0.818913791359885
del4_1q31.3  	7.45546013230665	5.86914996840414	1.2702793713642	0.207259285924733	0.0215365187839762	0.818913791359885
amp30_19q13.2 	-4.32429580897855	3.41440780682977	-1.26648486461657	0.208607573440661	0.0214337016023074	0.818913791359885
del61_21q22.3 	-9.44547040555829	7.60252275199455	-1.24241264560244	0.217311859648764	0.0207881048079339	0.818913791359885
del31_10q23.31	9.54585430343625	8.10262044142749	1.17811939636586	0.24185472679936	0.0191206123320732	0.818913791359885
del6_2p25.3  	6.0677384529619	5.3373793173749	1.1368385292028	0.258623624238968	0.0180938429991604	0.818913791359885
del16_5q13.2  	-8.81754780598567	7.91204886196248	-1.11444557027149	0.268055326329373	0.0175513214074959	0.818913791359885
amp11_5q31.3  	-4.6065561235743	4.15693392364185	-1.10816197904309	0.27074456702704	0.0174009198548947	0.818913791359885
del3_1p11.2  	7.78480432354555	7.13139515180301	1.09162431162959	0.277911981021863	0.017008928892196	0.818913791359885
amp21_13q33.1 	-4.86243827633677	4.48671557324609	-1.08374114582415	0.281374369157694	0.0168240407339356	0.818913791359885
del8_3p26.3  	7.75039313730446	7.32466381701842	1.05812271128361	0.292831265365263	0.0162319833750862	0.818913791359885
del30_10q11.22	8.16115622865808	7.90238733830078	1.03274566017577	0.304490157266068	0.0156587894252074	0.818913791359885
del62_22q11.21	-5.29365958881637	5.16270134692668	-1.02536622459629	0.307938494658383	0.0154945976943048	0.818913791359885
amp27_17q25.3 	-6.22309106195667	6.08218453687968	-1.02316709139991	0.308971189987908	0.0154458843837904	0.818913791359885
del2_1p36.11 	5.37114087809704	5.29530800742068	1.0143207667184	0.313148844614496	0.0152509365309351	0.818913791359885
amp26_17p11.2 	-5.22746561354535	5.15780362081539	-1.01350613514032	0.313535444880486	0.0152330656262316	0.818913791359885
del47_17p11.2 	-5.22746561354535	5.15780362081539	-1.01350613514032	0.313535444880486	0.0152330656262316	0.818913791359885
del56_19q13.42	-5.2779105129279	5.23679262546055	-1.00785173108965	0.316227657717399	0.0151094006035799	0.818913791359885
amp17_10q26.13	-3.51924772270125	3.61277405049972	-0.974112322970893	0.332611707571222	0.0143852584997464	0.818913791359885
amp4_2p25.1  	5.30270857838236	5.57661632463817	0.950882805932755	0.344210489236355	0.0139004243956415	0.818913791359885
del20_6q27    	-6.48060923500512	6.8332298932635	-0.948396195683975	0.345467457535654	0.0138491906654435	0.818913791359885
amp13_7q34    	-3.45894548381688	3.65437148992834	-0.946522676566939	0.3464164741283	0.0138106740811201	0.818913791359885
