estimate	std_error	t_value	p_values	r_sq	FDR
amp8_3q26.2  	8.08964134500861	2.13172578653016	3.7948789643232	0.000330385796799269	0.161707115351176	0.0313866506959305
amp32_20q13.33	7.07011555193039	2.5373052619765	2.78646627896201	0.00700431370272104	0.0841824804024122	0.332704900879249
del10_3q29    	5.40908040862281	2.15204206082882	2.51346407539061	0.0144829996643047	0.065338101395692	0.458628322702982
amp15_8q24.3  	3.89270025179044	1.6682574068411	2.33339305782637	0.0227815374153045	0.0535913081340244	0.541061513613482
del63_22q13.33	-8.57590485945535	3.97155801254694	-2.15933012494401	0.03457862207702	0.0428124251068288	0.625040891002725
del46_16q24.3 	-8.00186543239744	3.89753709907773	-2.05305689952019	0.0441594800677763	0.0365308432195467	0.625040891002725
amp14_8p11.1  	5.1208338456143	2.51707654743655	2.03443707376698	0.0460556446002008	0.0354546872531858	0.625040891002725
del11_4p16.3  	-7.1462178768992	3.64062994697463	-1.96290696417462	0.0540063212515874	0.0313901231670425	0.632740113434233
del23_8p23.1  	-6.75323327416598	3.52620963918366	-1.91515365369184	0.0599438002200852	0.0287392751609256	0.632740113434233
del45_16q22.1 	-6.72127666878159	3.76963535810823	-1.78300446336927	0.0793277557766346	0.0216736336866648	0.633067188212946
amp26_17p11.2 	-4.66136920569963	2.659414605837	-1.75278017781382	0.0844286918337304	0.0201148609298397	0.633067188212946
del47_17p11.2 	-4.66136920569963	2.659414605837	-1.75278017781382	0.0844286918337304	0.0201148609298397	0.633067188212946
del62_22q11.21	-4.51025293444705	2.59179945557073	-1.74020135884852	0.0866302468080874	0.0194725384549286	0.633067188212946
del61_21q22.3 	-5.6224459477854	3.35770710644377	-1.67448969476682	0.0989148641969529	0.0161790835298091	0.671208007050752
del52_17q21.31	-4.03190601067446	2.5301820956561	-1.59352404619279	0.115969912755681	0.0122668715944747	0.704147850913533
amp4_2p25.1  	4.2339706756268	2.67644409694291	1.58193876736037	0.118593322259121	0.0117204662070515	0.704147850913533
del35_12p13.31	-3.63407879173671	2.47102407059462	-1.47067721232769	0.14627812821628	0.00664725872913274	0.724005920538017
amp27_17q25.3 	4.011568447917	2.74500691411671	1.46140558964961	0.148796874826503	0.00623893983326518	0.724005920538017
amp24_15q13.2 	-2.74337647403822	1.90123827832637	-1.4429419527852	0.153913560243894	0.00543251462474403	0.724005920538017
del19_6p22.1  	3.51734882012081	2.56290720860945	1.3724058398623	0.174727930978948	0.00243472477375739	0.724005920538017
del49_17p11.2 	-4.64268329410206	3.39028220875583	-1.36940909583036	0.175657715258185	0.00231030006652011	0.724005920538017
del28_9q33.3  	-5.31674603195818	4.02592907059692	-1.32062585771534	0.191329260655437	0.000318858515419795	0.724005920538017
amp5_2q11.2  	3.38325251638723	2.58239008732138	1.31012449784322	0.194836588217702	-0.000101396341450011	0.724005920538017
amp12_6p21.33 	1.90767723006085	1.46292621253761	1.30401466164979	0.196899293839647	-0.000344523755638315	0.724005920538017
del36_12q24.33	5.57697358269922	4.302644473559	1.29617346191891	0.19957043952414	-0.000655053572716113	0.724005920538017
amp21_13q33.1 	2.84754254789092	2.19799680002525	1.29551714900505	0.199795238991832	-0.000680968868336462	0.724005920538017
del15_4q35.2  	-5.7785002347448	4.52055665410299	-1.27827183174445	0.205770103731857	-0.00135769201766744	0.724005920538017
del54_19p13.3 	-6.17117472406019	5.10984739254486	-1.20770235390274	0.231605901504874	-0.00404140711522216	0.738750443623233
amp28_19p13.11	2.19560538830025	1.81919411672446	1.20691099873033	0.231908428424534	-0.00407071719477492	0.738750443623233
del24_8p23.1  	-3.02519202413573	2.51435523980502	-1.20316810299658	0.233343190112989	-0.00420910872536928	0.738750443623233
amp22_14q11.2 	2.38472680703414	2.04288071178358	1.16733531883617	0.247405806615951	-0.00551412371626592	0.738750443623233
amp30_19q13.2 	-1.82847852509604	1.57118401347071	-1.16375835638563	0.248842254694142	-0.00564241226503182	0.738750443623233
del56_19q13.42	-3.23052995872992	2.88628183155222	-1.11927044802571	0.267207979630152	-0.00720771387368591	0.769235092874679
del1_1p36.21 	2.90113096624237	2.64679082803653	1.09609378100895	0.277145188311504	-0.00800086893286656	0.774376261458613
amp6_2q14.1  	2.4345702528804	2.31894936560896	1.04985916854682	0.297731166296704	-0.00953708615834081	0.79048028798963
