estimate	p_values	FDR
del15_4q35.2  	1197	0.0513188813126165	0.81982996368946
del62_22q11.21	1208.5	0.0598304192874758	0.81982996368946
amp25_15q26.3 	1217	0.066857535074706	0.81982996368946
amp2_1p34.2  	1831	0.0839748246635756	0.81982996368946
del55_19p12   	1820	0.0960765546643637	0.81982996368946
del18_6p25.3  	1247	0.0972426285197897	0.81982996368946
amp28_19p13.11	1805	0.114784083923749	0.81982996368946
del8_3p26.3  	1274	0.133216668553781	0.81982996368946
del13_4q13.2  	1279.5	0.141668220711184	0.81982996368946
del19_6p22.1  	1786.5	0.141672148948521	0.81982996368946
del28_9q33.3  	1284	0.148890352910123	0.81982996368946
del40_14q32.33	1769	0.17133143396904	0.81982996368946
amp9_4p16.3  	1301	0.178720990676008	0.81982996368946
del48_17p11.2 	1760	0.187970722411895	0.81982996368946
amp5_2q11.2  	1759	0.190246038702072	0.81982996368946
amp7_2q31.2  	1754	0.200260993814073	0.81982996368946
del53_18q23   	1313	0.202309353219333	0.81982996368946
del22_7q22.1  	1752	0.204372939113054	0.81982996368946
amp23_14q32.33	1737	0.237181413525466	0.81982996368946
del2_1p36.11 	1330	0.239475428013453	0.81982996368946
amp3_1q21.2  	1734	0.244166669558185	0.81982996368946
del36_12q24.33	1334	0.24890302145595	0.81982996368946
del11_4p16.3  	1335	0.25129513527878	0.81982996368946
del59_21p11.2 	1335	0.25129513527878	0.81982996368946
del63_22q13.33	1335	0.25129513527878	0.81982996368946
del14_4q13.2  	1335.5	0.252476598926781	0.81982996368946
amp31_20p13   	1727	0.261023773531678	0.81982996368946
del37_13q11   	1725	0.265931712722864	0.81982996368946
del5_1q44    	1725	0.265984531768883	0.81982996368946
del31_10q23.31	1342	0.268489096446897	0.81982996368946
del52_17q21.31	1720	0.278555222847271	0.81982996368946
amp1_1p36.33 	1351	0.291758948543788	0.81982996368946
amp16_9p24.2  	1713	0.297108800657869	0.81982996368946
amp27_17q25.3 	1354	0.299808171075761	0.81982996368946
del29_9q34.13 	1356	0.305255837543948	0.81982996368946
amp6_2q14.1  	1698.5	0.337846023766717	0.869515546818266
amp18_11q14.1 	1697	0.342256119492296	0.869515546818266
del12_4p16.1  	1375	0.359918321071959	0.890324267914845
amp24_15q13.2 	1384	0.388358078224377	0.928305290592966
amp17_10q26.13	1394.5	0.422783080261144	0.928305290592966
del32_11p15.5 	1666	0.441509474196877	0.928305290592966
del21_7p22.1  	1658	0.469570841345848	0.928305290592966
del46_16q24.3 	1409	0.47314653872792	0.928305290592966
del1_1p36.21 	1413	0.487594602167643	0.928305290592966
amp20_12q13.2 	1652	0.491247782557553	0.928305290592966
del23_8p23.1  	1417	0.502284486832763	0.928305290592966
del43_15q14   	1645	0.517198347620763	0.928305290592966
amp8_3q26.2  	1645	0.517200827274835	0.928305290592966
del38_13q14.2 	1644.5	0.51906498577684	0.928305290592966
del44_16p13.11	1641.5	0.530438241756602	0.928305290592966
del4_1q31.3  	1640	0.536157551346867	0.928305290592966
del30_10q11.22	1429	0.547708823963228	0.928305290592966
del7_2q37.3  	1633	0.56329036012322	0.928305290592966
amp10_5p15.33 	1631	0.571160074700723	0.928305290592966
del58_20p13   	1628.5	0.581069438467421	0.928305290592966
del16_5q13.2  	1628	0.583046956891923	0.928305290592966
del56_19q13.42	1442	0.599107588725305	0.928305290592966
amp30_19q13.2 	1443	0.603148129433052	0.928305290592966
del17_5q35.3  	1622	0.607191714287221	0.928305290592966
amp29_19q12   	1615	0.635550399690437	0.928305290592966
del24_8p23.1  	1452	0.640066430456169	0.928305290592966
amp32_20q13.33	1612	0.648404801403685	0.928305290592966
del20_6q27    	1609	0.660985152686529	0.928305290592966
del61_21q22.3 	1604	0.682165319877669	0.928305290592966
amp14_8p11.1  	1601	0.694996011831633	0.928305290592966
del50_17q12   	1465.5	0.697137422853262	0.928305290592966
del34_11q11   	1600.5	0.697142533991099	0.928305290592966
del10_3q29    	1599	0.703598879772586	0.928305290592966
del6_2p25.3  	1598	0.707914666713336	0.928305290592966
amp11_5q31.3  	1469	0.712239856130434	0.928305290592966
del45_16q22.1 	1596	0.716574322259366	0.928305290592966
amp13_7q34    	1470.5	0.718744463285973	0.928305290592966
del35_12p13.31	1595	0.720917938439218	0.928305290592966
del9_3p12.1  	1480	0.760400907884423	0.930233805790103
del27_9p24.3  	1586	0.760400907884423	0.930233805790103
amp12_6p21.33 	1481	0.764825266945614	0.930233805790103
del33_11p14.2 	1485	0.782616352973796	0.930233805790103
del26_8q21.2  	1579	0.791553549296553	0.930233805790103
amp26_17p11.2 	1490	0.805010144109887	0.930233805790103
del47_17p11.2 	1490	0.805010144109887	0.930233805790103
del60_21q11.2 	1494	0.823042726213648	0.930233805790103
del41_15q11.2 	1495	0.827564478214736	0.930233805790103
amp22_14q11.2 	1570.5	0.829829189110438	0.930233805790103
del25_8p23.1  	1568	0.841162683498682	0.930233805790103
del42_15q11.2 	1498	0.841168866937859	0.930233805790103
amp21_13q33.1 	1563.5	0.861661147816093	0.938384424528843
del49_17p11.2 	1562	0.868504733340525	0.938384424528843
amp4_2p25.1  	1508	0.886833538500133	0.947299461579687
del57_19q13.42	1555	0.900602819241275	0.951198483243594
del3_1p11.2  	1520	0.942117459229916	0.961596224606787
amp15_8q24.3  	1521.5	0.949053573431033	0.961596224606787
del51_17q21.31	1522	0.95132282056594	0.961596224606787
del54_19p13.3 	1544	0.951366477536502	0.961596224606787
amp19_12p13.33	1527	0.974513838423585	0.974513838423585
