estimate	p_values	FDR
del29_9q34.13 	1610	0.0016130518648833	0.15162687529903
del13_4q13.2  	1519	0.0125550475624531	0.513424525216612
amp16_9p24.2  	1479	0.0273060851769493	0.513424525216612
del40_14q32.33	873	0.0304822685075656	0.513424525216612
del27_9p24.3  	1472	0.0310413694290947	0.513424525216612
amp5_2q11.2  	877	0.0327717782053156	0.513424525216612
del14_4q13.2  	1448	0.0473461225002402	0.585335507729091
del62_22q11.21	1445	0.0498157878918376	0.585335507729091
del30_10q11.22	1414.5	0.081660194510659	0.741047756947053
del43_15q14   	942	0.0958546467406484	0.741047756947053
amp25_15q26.3 	1401	0.100259753791639	0.741047756947053
amp23_14q32.33	946	0.101761954211825	0.741047756947053
amp30_19q13.2 	949	0.106371670538774	0.741047756947053
del8_3p26.3  	1388	0.121219326485739	0.741047756947053
amp22_14q11.2 	958.5	0.122087981920904	0.741047756947053
amp7_2q31.2  	967	0.137635362722419	0.741047756947053
del15_4q35.2  	1375	0.145460043230866	0.741047756947053
del52_17q21.31	977	0.157781870041654	0.741047756947053
del56_19q13.42	979	0.162123887100693	0.741047756947053
del7_2q37.3  	981	0.166508487571322	0.741047756947053
del44_16p13.11	986.5	0.179019758739206	0.741047756947053
amp12_6p21.33 	1358	0.182544957716215	0.741047756947053
amp2_1p34.2  	988	0.182552148329602	0.741047756947053
amp21_13q33.1 	997	0.20482623180612	0.741047756947053
amp15_8q24.3  	1347.5	0.208723263711864	0.741047756947053
del37_13q11   	1001.5	0.216626576404668	0.741047756947053
del59_21p11.2 	1344	0.218026172065023	0.741047756947053
amp1_1p36.33 	1343	0.22073762972891	0.741047756947053
del16_5q13.2  	1017	0.261241479320232	0.805394661113502
del39_14q11.2 	1022	0.276901902723158	0.805394661113502
del32_11p15.5 	1023	0.280107830977058	0.805394661113502
del57_19q13.42	1024	0.28330562616894	0.805394661113502
del55_19p12   	1030	0.30324244765688	0.805394661113502
del28_9q33.3  	1315	0.306641861086819	0.805394661113502
amp17_10q26.13	1032	0.310077651682447	0.805394661113502
del54_19p13.3 	1033	0.313535516118244	0.805394661113502
amp6_2q14.1  	1034	0.31701704745957	0.805394661113502
amp9_4p16.3  	1303	0.349486790232867	0.82707982792623
del4_1q31.3  	1298.5	0.366470584405172	0.82707982792623
del53_18q23   	1296	0.376149598105822	0.82707982792623
del17_5q35.3  	1295.5	0.378085278141731	0.82707982792623
amp26_17p11.2 	1051	0.380058536699387	0.82707982792623
del47_17p11.2 	1051	0.380058536699387	0.82707982792623
del22_7q22.1  	1054	0.391934362980638	0.82707982792623
del20_6q27    	1055	0.395942470815748	0.82707982792623
del11_4p16.3  	1286	0.416351614376891	0.846501580240606
del5_1q44    	1284	0.42468604146868	0.846501580240606
del38_13q14.2 	1064	0.433085402677785	0.846501580240606
del2_1p36.11 	1279.5	0.443776045675444	0.846501580240606
del33_11p14.2 	1278	0.450266798000322	0.846501580240606
del45_16q22.1 	1072	0.467794680206122	0.862209802732852
del34_11q11   	1079	0.499356900237302	0.902683627352046
amp3_1q21.2  	1089	0.546339871060719	0.941369191382622
del63_22q13.33	1090	0.551155726289243	0.941369191382622
amp31_20p13   	1091	0.555992363550656	0.941369191382622
amp27_17q25.3 	1249	0.585439235283852	0.941369191382622
del3_1p11.2  	1245	0.605459557052078	0.941369191382622
del36_12q24.33	1101	0.605464299883422	0.941369191382622
amp32_20q13.33	1243	0.615590540703203	0.941369191382622
del61_21q22.3 	1104	0.620681410314891	0.941369191382622
amp8_3q26.2  	1105	0.625790514030384	0.941369191382622
amp19_12p13.33	1240	0.630917649543672	0.941369191382622
del35_12p13.31	1106	0.630917649543672	0.941369191382622
del60_21q11.2 	1237	0.646405184954978	0.949407615402624
del42_15q11.2 	1234	0.662047476644525	0.957422504685928
amp13_7q34    	1232	0.672558754706148	0.95788671124815
del41_15q11.2 	1227	0.699110866360568	0.965849445838888
del51_17q21.31	1120	0.704206416989026	0.965849445838888
amp4_2p25.1  	1222	0.726043840503744	0.965849445838888
amp18_11q14.1 	1125	0.731470986114401	0.965849445838888
del26_8q21.2  	1128	0.747835654531246	0.965849445838888
del12_4p16.1  	1215	0.764148308803334	0.965849445838888
del49_17p11.2 	1214	0.769823504918175	0.965849445838888
del58_20p13   	1213.5	0.772593009417331	0.965849445838888
amp24_15q13.2 	1134	0.780893936647815	0.965849445838888
amp10_5p15.33 	1212	0.780899551954846	0.965849445838888
del6_2p25.3  	1137	0.79758549743736	0.973675802066387
del9_3p12.1  	1142	0.82559843804284	0.980180139067517
amp14_8p11.1  	1146	0.848171639536008	0.980180139067517
del10_3q29    	1146	0.848171639536008	0.980180139067517
del18_6p25.3  	1152	0.882260516649529	0.980180139067517
del19_6p22.1  	1191.5	0.896532279865219	0.980180139067517
del21_7p22.1  	1155	0.899391212308769	0.980180139067517
del25_8p23.1  	1190.5	0.902247914928161	0.980180139067517
del46_16q24.3 	1190	0.905112281491714	0.980180139067517
amp29_19q12   	1158.5	0.919360279967084	0.980180139067517
del50_17q12   	1187	0.922301337621799	0.980180139067517
del48_17p11.2 	1160	0.927990941378867	0.980180139067517
amp28_19p13.11	1186	0.928042897627755	0.980180139067517
amp20_12q13.2 	1164	0.951033430679379	0.993301583154018
del24_8p23.1  	1166	0.962544714681677	0.994276958022832
del23_8p23.1  	1169	0.979826771452535	0.996187538741988
amp11_5q31.3  	1170	0.985589798968137	0.996187538741988
del1_1p36.21 	1174	0.997117799890706	0.997117799890706
