estimate	std_error	t_value	p_values	r_sq	FDR
4p	2.33305918944556	0.740280172784918	3.15158945925655	0.00210661528516121	0.0873071753228419	0.0884778419767707
19p	-1.49314339418116	0.700273220161011	-2.13222975146451	0.0352756463047229	0.0432370306759916	0.575658245755764
15q	1.79859370847299	0.870019335150866	2.06730314581009	0.0411184461254117	0.0408926110407153	0.575658245755764
14q	-1.56026841952219	0.817274805525582	-1.90911112024161	0.0589264910861808	0.0354398958900748	0.61203454236573
19q	-1.35998373184914	0.750730198280976	-1.81154792355927	0.0728612550435392	0.0322649837258691	0.61203454236573
4q	1.55503818756041	0.922569307114942	1.68555161717153	0.0947964229848148	0.0283829665504987	0.663574960893704
11q	-1.07598684914171	0.809318302390732	-1.32949773403523	0.186511355694183	0.018793247835232	0.682303901359759
16p	-0.902514975367314	0.705259875166878	-1.27969136930378	0.203421475039065	0.0176195110216915	0.682303901359759
8q	-0.538945781601032	0.432141257960056	-1.24715187840465	0.215064733472963	0.0168754348439897	0.682303901359759
2q	-1.37212983015157	1.11965845388581	-1.22548963515574	0.223081414010636	0.016390106014408	0.682303901359759
22q	1.01261867749065	0.833185703454935	1.21535772072381	0.226904551222966	0.0161658640038391	0.682303901359759
13q	-0.746905851526625	0.619320162029384	-1.206009261961	0.230473887756981	0.0159605232697453	0.682303901359759
18q	0.928873293907598	0.782393825745848	1.18721961158386	0.237770013126395	0.0155523466250006	0.682303901359759
20p	0.681798790611078	0.577722656644682	1.18014895689024	0.240557984557175	0.0154003206166846	0.682303901359759
8p	-0.533078482768798	0.47845013893411	-1.11417771548022	0.267699420266927	0.0140235035783369	0.682303901359759
Xq	0.782390718678877	0.70949247037778	1.10274703586675	0.272611128484735	0.013792617426716	0.682303901359759
18p	0.757219312909131	0.69180734005137	1.09455229667396	0.276170626740855	0.0136284930096314	0.682303901359759
21q	0.822922949352439	0.870602104695153	0.94523427512341	0.346668902120368	0.0108440244294049	0.747594613174473
6p	-0.547877140318876	0.580726570983746	-0.943433911403049	0.34758436581045	0.0108128499484267	0.747594613174473
7p	-0.728885998590746	0.805380382391483	-0.905020800762994	0.367487656370347	0.0101614147720661	0.747594613174473
10p	-0.512035142260508	0.573310661873668	-0.893119867310854	0.373797306587236	0.00996491605315575	0.747594613174473
7q	-0.716312630894427	0.861248096102306	-0.83171461758371	0.407422343222139	0.00899122521786466	0.751451618264734
2p	-0.585251494318454	0.70985562825151	-0.824465526546607	0.411509219525926	0.00888073225600383	0.751451618264734
9q	0.686322930084448	0.928933577799147	0.738828853307791	0.46162853599315	0.00764696640894658	0.807849937988013
16q	-0.476121106327366	0.799282970367531	-0.595685287913032	0.552643413067707	0.00588117426921231	0.838375893667537
17q	0.429852110515179	0.760640374015138	0.565118714703703	0.5731760012156	0.00555249987019513	0.838375893667537
5q	-0.506172460598254	0.915238355662413	-0.553049877626585	0.581382911125795	0.00542743621487529	0.838375893667537
12p	-0.282311269259413	0.537461949857257	-0.525267452578534	0.600484044037439	0.00514968816368289	0.838375893667537
5p	-0.318162674300248	0.608892656965164	-0.522526705915671	0.602383871572293	0.00512305565711946	0.838375893667537
1q	-0.473961905013963	0.913871029548714	-0.518631064656918	0.605088962231074	0.00508543808827933	0.838375893667537
9p	0.266004007371675	0.533070359256393	0.499003560698325	0.618801254849849	0.00490014916113701	0.838375893667537
3p	0.429306423917374	0.946811168355875	0.45342348956747	0.651162049541076	0.0044971947277378	0.854650190022662
17p	0.313279068797028	0.862626568684058	0.363168815070161	0.717195255089775	0.00381233961513239	0.888985665520345
Xp	-0.251644434298421	0.73561309258045	-0.342088030836536	0.732955645366945	0.0036740731906133	0.888985665520345
20q	0.212567440014113	0.693655915037569	0.306445076594785	0.759861298550974	0.00345902167518441	0.888985665520345
3q	0.200573663233229	0.665299570986539	0.301478720233968	0.763634597603547	0.00343092663488531	0.888985665520345
6q	-0.201482713550064	0.730264099841889	-0.275903900511729	0.783154038672685	0.0032934936255411	0.888985665520345
11p	0.14081562518689	0.870665450578018	0.161733332927596	0.871820859247759	0.00282817998583906	0.915769807324438
12q	0.13317902685218	0.840698894721593	0.158414656767551	0.874428661213246	0.00281828078743385	0.915769807324438
10q	0.129235647048283	0.927744849546612	0.139300850995228	0.889474273523016	0.00276525826273399	0.915769807324438
1p	-0.175329678108661	1.31229719147729	-0.133605161427868	0.893965764292904	0.00275077386000244	0.915769807324438
21p	0.0831694562639195	0.834476567668833	0.0996666167586455	0.920795498467753	0.00267699447526448	0.920795498467753
