estimate	std_error	t_value	p_values	r_sq	FDR
13q	-431.878833725578	151.167215111831	-2.85696097137253	0.00531183459480621	0.0950697472028077	0.223097052981861
2q	-423.184195761623	277.624557561644	-1.52430389976455	0.130939177846333	0.0378401415327102	0.951393820743895
14q	-324.034191767099	214.128527100915	-1.51326960566252	0.133715058292972	0.0374907084573265	0.951393820743895
21p	-289.787814897718	225.804829522002	-1.28335525644496	0.202662337184944	0.0307378605984248	0.951393820743895
20p	186.086710342558	151.638483350693	1.22717338125967	0.222957821316405	0.0292438512886197	0.951393820743895
16q	-238.205383400385	215.9339985267	-1.10313977894005	0.272907435962757	0.0261678366099777	0.951393820743895
17p	-246.140945278794	225.42102649496	-1.09191653106192	0.277784203818528	0.025904755144422	0.951393820743895
18q	-216.654393543707	204.601816692398	-1.05890747719718	0.292475645779239	0.0251457940052006	0.951393820743895
16p	-211.307709972337	222.065398233654	-0.951556215660408	0.343870595523906	0.0228313158206306	0.951393820743895
9q	-216.854386284358	234.471750623099	-0.924863595328977	0.357510069544499	0.0222926242930672	0.951393820743895
1q	203.468485288459	232.667625508341	0.874502779851358	0.384172184885751	0.0213165025075459	0.951393820743895
22q	-186.520231485916	213.709517242572	-0.872774567518234	0.385108580607273	0.0212839414560942	0.951393820743895
Xq	161.527335627105	196.704229528233	0.821168594160407	0.413720140926548	0.0203403777556462	0.951393820743895
12q	169.292699567572	223.91020063552	0.756074082766534	0.45157924394331	0.0192298591745428	0.951393820743895
4q	-181.409426982948	247.875911078307	-0.731855815249585	0.46615803200361	0.018839491963515	0.951393820743895
10p	102.434146348195	144.3939881829	0.709407279605328	0.479905587658362	0.0184887343348841	0.951393820743895
5q	-170.6715555751	243.803409455001	-0.7000376079917	0.485709437347556	0.0183454934759426	0.951393820743895
9p	-94.5120997980239	137.785840218423	-0.685934778553441	0.494517475342144	0.0181334072450672	0.951393820743895
6q	-130.004504688645	200.376553465132	-0.648800982153172	0.518119160758634	0.0175952017824084	0.951393820743895
20q	108.232390106004	183.95548651453	0.588361848601103	0.557763081406104	0.016782135739528	0.951393820743895
8p	69.7313262342341	119.132913806028	0.585323769951354	0.559794801437003	0.0167433289287888	0.951393820743895
17q	-103.315795735114	193.665686805112	-0.533474966265354	0.59501988316852	0.0161115808174228	0.951393820743895
12p	70.2576827700792	136.123358329411	0.516132452448461	0.60702767618724	0.0159131730353168	0.951393820743895
15q	119.096388338818	231.187962428498	0.515149608516714	0.607711472049443	0.015902122731168	0.951393820743895
Xp	101.521310456219	199.225943079522	0.50957876713725	0.611593867307625	0.0158398820830498	0.951393820743895
18p	-90.4471660769523	186.987130920474	-0.483707973012429	0.629767968817478	0.0155596098473481	0.951393820743895
21q	-105.475399724586	236.036234787278	-0.446861050040231	0.656048872480753	0.0151853836195009	0.951393820743895
3p	101.513361206527	237.350252114021	0.427694347498568	0.669895302267212	0.0150023356532095	0.951393820743895
8q	46.9150759330113	110.790500020602	0.423457570137215	0.67297170694293	0.0149629470131025	0.951393820743895
5p	47.1146831555173	150.602216724191	0.312841896887892	0.75512455542976	0.014072497714803	0.951393820743895
10q	74.3493665528801	238.452199271362	0.311799877627757	0.75591378655705	0.0140653750851026	0.951393820743895
4p	-55.3643374136805	199.7006178099	-0.277236685699106	0.782234156541104	0.0138425362005345	0.951393820743895
6p	-43.3603217693535	157.587756903817	-0.275150320185205	0.783831441739059	0.0138299187261265	0.951393820743895
7p	-55.6707542254053	205.73450884261	-0.270595120568685	0.787322034656421	0.0138027008862149	0.951393820743895
11q	48.7516947637856	223.273924856805	0.218349253254952	0.827651347147823	0.0135229298867173	0.951393820743895
3q	30.8315486973925	173.724177949445	0.177474137804611	0.859534796712028	0.0133456526512501	0.951393820743895
19p	-27.536891060703	178.895129926777	-0.153927561202891	0.878011485540183	0.0132601281183536	0.951393820743895
7q	29.5950520332059	229.548922074285	0.128926991970925	0.897703100415962	0.0131826118180783	0.951393820743895
19q	-25.0896307123631	196.24642893844	-0.12784757841496	0.898554832131211	0.013179573345666	0.951393820743895
11p	26.8554990784868	227.001532735231	0.118305364527254	0.906089353089424	0.0131538230471863	0.951393820743895
2p	-12.6757692814272	176.67999077244	-0.0717442265307413	0.942964651589496	0.0130568005067306	0.965963789433143
1p	9.73961525674452	339.381216110944	0.0286981565107028	0.977168868227027	0.0130093876426051	0.977168868227027
