HR	lower_CI	upper_CI	z_scores	p_values	FDR
2p	1.70756427471464	5.51551083403745	0.451956214002305	3.77816306494223	0.000157989421381239	0.00663555569801202
Xq	-1.65537850636521	0.191019739832912	0.586991525394121	-2.82010631287009	0.00480077413554859	0.10081625684652
2q	1.76513143541337	5.84234019802317	0.685081084273639	2.57652922541988	0.00997977685628648	0.139716875988011
9p	-1.15785391262481	0.314159672044643	0.524694022549004	-2.20672213302501	0.0273334779791208	0.287001518780768
6p	0.750838957061653	2.11877683395864	0.359584798502147	2.08807202136819	0.0367913384387485	0.287572422612528
Xp	-1.12426996348862	0.324889562046391	0.55038327048576	-2.04270373715457	0.0410817746589325	0.287572422612528
19p	0.847101942598784	2.33287623660517	0.4552647863545	1.86067969232123	0.0627894233250476	0.376736539950286
20p	0.803160381922346	2.23258561389498	0.447828308982448	1.79345603172627	0.0729000350757073	0.382725184147463
13q	0.874225167472266	2.39701728727432	0.506807338906426	1.72496548561953	0.0845336927153936	0.39449056600517
3q	0.645958288672658	1.90781439048224	0.406455216460566	1.58924836614891	0.112004330896441	0.406706653366721
1p	1.38816357097182	4.00748383165466	0.881116288007926	1.57546011788099	0.115150277214191	0.406706653366721
1q	0.999851946070779	2.71787940594446	0.636476572899955	1.57091712192201	0.11620190096192	0.406706653366721
18q	0.81107579499456	2.25032757609451	0.572481846831606	1.41677120328522	0.156549831566103	0.505776378905871
9q	-1.02850184261656	0.357542214029913	0.760892499331121	-1.35170453581904	0.176469853483489	0.529409560450468
8q	-0.401934361127026	0.669024658273706	0.332966905974397	-1.20713005982021	0.227382060044475	0.636669768124531
8p	-0.406427933910999	0.666025091710135	0.360295695913246	-1.12803993642172	0.259303053425821	0.651356316294497
19q	0.517464182877829	1.67776773864524	0.462922972562018	1.11781919141743	0.263644223262058	0.651356316294497
12p	0.390621396583646	1.47789886991719	0.384457709555648	1.01603215873892	0.309614072838788	0.722432836623838
5q	-0.570707303188643	0.565125582180052	0.644487787019268	-0.885520741716679	0.375875837767945	0.830883430855458
6q	0.497953098225468	1.64534995176188	0.605432530465485	0.822474963217814	0.410806630334439	0.862693923702323
3p	0.503506139801999	1.65451206370246	0.704266810393377	0.714936629657102	0.474648201672537	0.949296403345075
22q	0.395027460131745	1.48442495286602	0.676315332775598	0.584087689555334	0.559161316735277	0.952450514706697
11p	0.313391111359063	1.36805648883937	0.576513338460587	0.5435973297615	0.58671859769279	0.952450514706697
21q	-0.332943000240238	0.716811051048976	0.651775224259731	-0.510824879264758	0.609473686386279	0.952450514706697
16q	-0.282051132616184	0.754235117532304	0.611173146275605	-0.461491370056032	0.644446111536071	0.952450514706697
10p	0.185126167315846	1.2033702565456	0.410355413367441	0.451136164615625	0.651891414187939	0.952450514706697
21p	0.252272249047798	1.28694635951617	0.658372685346875	0.38317544859092	0.701589680568925	0.952450514706697
7p	0.208911722959181	1.23233620673479	0.585186349240391	0.357000335415141	0.721091554634492	0.952450514706697
7q	-0.21851764440045	0.803709298350843	0.636784079387145	-0.343158146495679	0.731479489268682	0.952450514706697
12q	0.218686601031773	1.2444412089764	0.654403993914223	0.33417675177031	0.738246185970954	0.952450514706697
14q	0.193382184232232	1.21334642678937	0.623108641296114	0.310350669876736	0.756294302997416	0.952450514706697
17p	-0.170536560611775	0.843212260708947	0.636553738522159	-0.267905991735587	0.788771681503404	0.952450514706697
15q	-0.19010884895965	0.826869125200727	0.726138335677622	-0.26180803246291	0.793469446006752	0.952450514706697
4p	-0.148257337396796	0.862209207717749	0.595363509671954	-0.249019859276371	0.803345419721648	0.952450514706697
11q	0.115822544206626	1.12279660769065	0.603305310310092	0.191979984640106	0.847757883739941	0.952450514706697
18p	0.0876454456682896	1.09160102153749	0.482460989656361	0.181663279617107	0.855846985019575	0.952450514706697
16p	0.106948319664926	1.11287673915036	0.627895349042307	0.170328255859911	0.86475199096578	0.952450514706697
10q	-0.099547322455693	0.90524711033861	0.661434051074385	-0.15050226442681	0.880368364333015	0.952450514706697
17q	0.0658577710264217	1.06807479518057	0.553604103428009	0.118961854904289	0.905305576496818	0.952450514706697
4q	0.0920013212239489	1.09636627062523	0.788339931320742	0.116702601972495	0.907095728292092	0.952450514706697
20q	-0.0458630091701633	0.955172803143445	0.562333959352611	-0.0815583131827274	0.934997952068478	0.957802780167709
5p	0.00819390796793804	1.00822756990997	0.452581370434975	0.0181048282214155	0.985555226220015	0.985555226220015
