estimate	p_values	FDR
4q	1111	0.0130069416607517	0.273814689599151
2q	1894	0.0130387947428167	0.273814689599151
4p	1171.5	0.0321563228335493	0.45018851966969
11q	1832	0.067923478699886	0.706145166923013
19p	1825.5	0.0840649008241682	0.706145166923013
20q	1781	0.133456366837878	0.869330031013649
18p	1302	0.162250901575833	0.869330031013649
7p	1730	0.233498064126537	0.869330031013649
8q	1734.5	0.237875027600143	0.869330031013649
22q	1335	0.250384748496665	0.869330031013649
Xq	1338	0.251778317678863	0.869330031013649
19q	1703.5	0.313015100291827	0.869330031013649
2p	1690	0.317684204913922	0.869330031013649
3q	1364.5	0.319516259530989	0.869330031013649
5p	1698	0.328109433389004	0.869330031013649
13q	1697.5	0.331173345148057	0.869330031013649
8p	1680	0.393539439299828	0.95806347020467
15q	1398	0.412169145978986	0.95806347020467
5q	1656	0.45085685825437	0.95806347020467
14q	1646	0.492749361201141	0.95806347020467
1q	1613.5	0.605846359483426	0.95806347020467
6p	1618.5	0.609819143468489	0.95806347020467
16q	1612.5	0.644613257973829	0.95806347020467
17p	1456.5	0.65845094100857	0.95806347020467
6q	1462	0.674586410322171	0.95806347020467
18q	1475	0.733324280910108	0.95806347020467
20p	1589	0.741446133734158	0.95806347020467
9p	1587	0.750446117565517	0.95806347020467
12q	1485.5	0.769978369539574	0.95806347020467
21q	1575.5	0.797288435388295	0.95806347020467
7q	1564.5	0.843838937497011	0.95806347020467
11p	1565.5	0.847299754106411	0.95806347020467
12p	1506	0.872352205463252	0.95806347020467
16p	1509.5	0.890169037151723	0.95806347020467
Xp	1509	0.890453262631233	0.95806347020467
10q	1512	0.895345968395429	0.95806347020467
17q	1554.5	0.902351003321988	0.95806347020467
21p	1553	0.906130767778409	0.95806347020467
1p	1549	0.913562384925599	0.95806347020467
10p	1547.5	0.933552200050472	0.95806347020467
9q	1519	0.935252435199797	0.95806347020467
3p	1524.5	0.960305161087615	0.960305161087615
