estimate	p_values	FDR
17q	329.5	0.000368658263300953	0.01548364705864
9p	1050.5	0.00720312063106023	0.151265533252265
2p	500	0.0223675540215622	0.208109541375931
17p	478.5	0.0230875987540536	0.208109541375931
7q	985	0.0247749454018966	0.208109541375931
10p	511.5	0.041607599286361	0.291253195004527
1p	933	0.0493474402097797	0.296084641258678
7p	953	0.0626879561801742	0.329111769945915
16p	542.5	0.0749818393409573	0.349915250257801
2q	594	0.125924571768297	0.501694863603621
Xq	918	0.131396273800948	0.501694863603621
9q	901.5	0.162161611616848	0.560719803838913
11q	591.5	0.173556129759664	0.560719803838913
3p	610.5	0.222531726148022	0.650586899693129
19q	607	0.232352464176118	0.650586899693129
19p	616	0.266177374354607	0.663178451738835
6q	618	0.268429373322862	0.663178451738835
Xp	864	0.301619115590643	0.678474819536233
4q	626	0.306929085028296	0.678474819536233
8p	630	0.330217643159783	0.693457050635544
16q	641	0.377247379643087	0.720600413666457
5p	643	0.377457359539573	0.720600413666457
4p	658	0.455170964834841	0.763120107923489
6p	660.5	0.461078314964996	0.763120107923489
21q	826	0.462853015575588	0.763120107923489
18p	822	0.487769574047163	0.763120107923489
11p	668.5	0.506438293027339	0.763120107923489
22q	666.5	0.508746738615659	0.763120107923489
12p	676.5	0.550825379497334	0.797747101340967
13q	680	0.578481687914364	0.803833698271209
18q	802	0.615489987010737	0.803833698271209
14q	691	0.635162375268392	0.803833698271209
8q	690.5	0.646516835249793	0.803833698271209
1q	792	0.650722517648122	0.803833698271209
10q	698.5	0.672947802858354	0.807537363430025
21p	788	0.698536180704889	0.814958877489037
15q	705	0.726981101500308	0.825221790892242
20q	779	0.758082046881704	0.837880157079778
3q	716	0.810170614775514	0.872491431296707
20p	730	0.905972854230334	0.94216451852615
12q	732.5	0.919953704602499	0.94216451852615
5q	735.5	0.94216451852615	0.94216451852615
