estimate	p_values	FDR
1q	261	0.0714978911966955	0.654580103356646
20q	71	0.0771601459117043	0.654580103356646
21p	73	0.0843033710374804	0.654580103356646
11q	261	0.0874823154182727	0.654580103356646
16p	74	0.0899320388173981	0.654580103356646
3p	255.5	0.102048102428596	0.654580103356646
14q	82	0.115309028283032	0.654580103356646
9p	254	0.124681924448885	0.654580103356646
10q	100	0.190745087859586	0.79187036908041
21q	103	0.233429564039973	0.79187036908041
16q	102	0.247989245597327	0.79187036908041
4q	103	0.250952529734723	0.79187036908041
12q	107	0.255543106942785	0.79187036908041
8q	230.5	0.271423452887774	0.79187036908041
2p	112.5	0.288785339821695	0.79187036908041
4p	110.5	0.30684068427065	0.79187036908041
3q	112	0.320518958913499	0.79187036908041
11p	221	0.339911887906245	0.793127738447906
8p	116	0.364917170157765	0.805706419396722
5p	119	0.383774466573873	0.805706419396722
10p	121	0.402853209698361	0.805706419396722
Xq	124	0.438777790016377	0.837666690031265
15q	132	0.513206647048994	0.937159964176424
7p	138	0.588992595190337	0.970987491770809
Xp	141.5	0.645292021368652	0.970987491770809
13q	142	0.64808490356729	0.970987491770809
12p	145	0.680273722448707	0.970987491770809
20p	190	0.699425488930803	0.970987491770809
9q	189	0.709411336415861	0.970987491770809
17p	147	0.718705500109501	0.970987491770809
18q	150	0.754103650497881	0.970987491770809
6q	185	0.766591164528735	0.970987491770809
1p	181.5	0.783311241085418	0.970987491770809
2q	156	0.81091912665332	0.970987491770809
5q	180	0.830689776242062	0.970987491770809
17q	155.5	0.832274992946408	0.970987491770809
19q	158	0.864764552420644	0.981624627072083
7q	162	0.915921402469003	0.985387453954889
6p	173.5	0.927745453505716	0.985387453954889
19p	164	0.950123630806528	0.985387453954889
22q	165	0.964943657509272	0.985387453954889
18p	166.5	0.985387453954889	0.985387453954889
