estimate	std_error	t_value	p_values	r_sq	FDR
21p	-5.9325948589689	1.16373200852572	-5.09790468553379	1.88618508819286e-06	0.213610631117637	7.92197737041003e-05
22q	-2.98569389212898	1.2038331651839	-2.48015587082856	0.014992928381547	0.0513664651441965	0.241019546318075
3p	3.23896559948015	1.33454289338956	2.42702247752683	0.0172156818798625	0.0487870421603226	0.241019546318075
13q	-1.97830913991527	0.891257697358887	-2.21968252928161	0.0289530973578885	0.0391328456772475	0.304007522257829
5q	-2.8098445704704	1.3860917645178	-2.02717066964747	0.045603373895787	0.0307853734056196	0.383068340724611
Xq	1.90092866401194	1.12705618033916	1.68663168453582	0.0951377387352815	0.0175831115254245	0.541946568159668
21q	-2.24271870274494	1.3494739988757	-1.66192064805505	0.100008131786888	0.0167067690519772	0.541946568159668
2p	1.63874931421749	1.00972743700264	1.6229620530884	0.108095328053952	0.015348343767929	0.541946568159668
19q	-1.70939462900281	1.12355766576846	-1.52141245712891	0.131662142786934	0.0119425037869597	0.541946568159668
12q	1.87587838062552	1.2872192872645	1.45731065342565	0.148511066808448	0.00989459328228393	0.541946568159668
16p	-1.85496184707639	1.27910777422079	-1.45019980681957	0.150478959109218	0.00967233913329824	0.541946568159668
Xp	1.54728383663668	1.14519504076708	1.35110944560175	0.180047194915738	0.00667864042184363	0.541946568159668
18q	-1.58314254389511	1.18189809391552	-1.3394915788808	0.183783460298447	0.00634038088652167	0.541946568159668
8q	-0.849410571904596	0.636723892720046	-1.33403282272943	0.185559010361109	0.00618237650839049	0.541946568159668
2q	-2.11548015502191	1.61495335049842	-1.30993267041987	0.19355234577131	0.00549191810435978	0.541946568159668
3q	1.24634110213221	0.998803017434155	1.24783473855932	0.215328468299146	0.00376665825905731	0.565237229285259
7p	-1.38356590432839	1.18436116407425	-1.16819594081325	0.245812987481218	0.00166863708657961	0.607302674953598
17q	-1.1924840676939	1.11757529622615	-1.06702794140198	0.28881314107523	-0.00080842446064322	0.632854411049376
17p	-1.38633170280931	1.30744877760587	-1.06033347275592	0.29183020562646	-0.000964837913480565	0.632854411049376
4q	1.48943617155599	1.43284615989602	1.03949482731913	0.301359243356846	-0.00144572869241721	0.632854411049376
10p	-0.777753758941666	0.835502128736324	-0.930881840023555	0.354404993760541	-0.00380432946891607	0.661646853086302
9p	-0.741002274175534	0.797131926997461	-0.929585491534194	0.355072369118087	-0.00383097352935646	0.661646853086302
15q	-1.22337370868406	1.33616368645947	-0.915586706240854	0.36233041954726	-0.00411641617196334	0.661646853086302
4p	0.953696021056147	1.15396162085963	0.826453847178819	0.410732346709618	-0.00583572606475058	0.695572250314723
9q	1.0961169765164	1.36098555040595	0.805384727405409	0.422720411262603	-0.0062172214858125	0.695572250314723
1q	1.06885473776716	1.35000214058984	0.791742994792703	0.430592345432923	-0.00645912601981169	0.695572250314723
8p	-0.518230096976019	0.689871000142394	-0.751198552873006	0.454492939770604	-0.00715434226471889	0.70698901742094
16q	-0.811944587942937	1.25748327275086	-0.645690169831632	0.520122900262926	-0.00879604725882333	0.78018435039439
7q	-0.501132719611029	1.32996866651493	-0.376800395549321	0.707208882412748	-0.0118729224610088	0.960034838234457
18p	0.353197935256073	1.08489640248375	0.325559135828514	0.745513616636034	-0.0122770808485027	0.960034838234457
11p	-0.425191040762105	1.31546400925766	-0.32322514167609	0.747274548409113	-0.012294092760454	0.960034838234457
10q	0.435879928961594	1.38249765910053	0.315284388434468	0.753275618491746	-0.0123510585167348	0.960034838234457
6q	-0.301587116243519	1.1640365127885	-0.259087333541672	0.796159529042204	-0.0127138619946225	0.960034838234457
14q	0.325353101185085	1.25671629793719	0.258891447273445	0.796310195331755	-0.012715002866565	0.960034838234457
6p	-0.207841182619356	0.913794662206017	-0.227448453373103	0.820590937388107	-0.0128869753500462	0.960034838234457
19p	-0.186632463249292	1.0371603464444	-0.179945621609143	0.857599798885271	-0.0131046944157445	0.960034838234457
11q	-0.203845251919754	1.29467732546437	-0.157448692357873	0.875243941497002	-0.0131901131658163	0.960034838234457
20q	-0.144932504730269	1.06848963674069	-0.135642405641265	0.89240690606998	-0.0132620487881592	0.960034838234457
1p	-0.23390885884277	1.96754208115415	-0.118883789619158	0.905632377467427	-0.0133100643160744	0.960034838234457
20p	-0.0956435649238216	0.886447680077494	-0.10789532994825	0.914318893556625	-0.0133381175903813	0.960034838234457
5p	-0.0524738998991409	0.873628927578104	-0.0600642884440769	0.952237606780417	-0.0134285677167663	0.975462914262866
12p	-0.0158031080765897	0.79039069365685	-0.0199940462399354	0.984092382181341	-0.013464690168842	0.984092382181341
