estimate	std_error	t_value	p_values	r_sq	FDR
3q	8.27808149828497	3.55592376063577	2.32796934229122	0.0230868095565775	0.0532466350433	0.62067713879604
20q	7.99814273167243	4.03008702267877	1.98460794684183	0.0514786662346728	0.0326114588339286	0.62067713879604
6q	-7.43879361875058	4.07935023520769	-1.82352413738553	0.0728941588324958	0.023797177224092	0.62067713879604
2p	6.35500324040195	3.52337562316365	1.80366895843361	0.0759899532538449	0.0227518038189968	0.62067713879604
16q	-8.2371379967933	4.77966532069932	-1.72337129152552	0.0896498545149639	0.0186190658971802	0.62067713879604
Xp	-7.53604854222864	4.49646079331533	-1.67599560824196	0.0986181777974981	0.0162533835734303	0.62067713879604
12p	-5.67881163470947	3.43767118037565	-1.65193566712478	0.10344618979934	0.0150729589754866	0.62067713879604
8p	-4.33145031541094	2.83125010293192	-1.52987202046385	0.130976448976048	0.00930681432596148	0.687626357124253
4q	-8.22081911008561	5.65744051243232	-1.45309863922037	0.151082228407839	0.00587501532699253	0.705050399236584
4p	-5.31688156042586	4.23213947009311	-1.25631057246535	0.213569915142642	-0.00220764055589284	0.893698137766357
17q	-5.06348638717724	4.37452884639715	-1.1574929700938	0.251372694190857	-0.00586625132042951	0.893698137766357
3p	5.8824326122249	5.12516745446427	1.147754227445	0.255342325076102	-0.00621197739942692	0.893698137766357
17p	-5.64094050124051	5.42038033810141	-1.04069090163078	0.301934585129953	-0.00983439120804808	0.922268024936619
21p	-4.90477719327153	4.83427389628843	-1.01458405098586	0.314124505551722	-0.0106676213125048	0.922268024936619
15q	-5.77703194397022	5.97797171133512	-0.966386631274302	0.337488446907576	-0.0121536893055882	0.922268024936619
19q	-3.69746755339778	4.27161066596153	-0.865590954452185	0.389947740736375	-0.0150402041598219	0.922268024936619
21q	-4.31652098509206	5.20395020828154	-0.829470077984753	0.409921623919902	-0.0160009378089145	0.922268024936619
Xq	-3.09805282809155	3.99257959633696	-0.775952677545588	0.440635021977847	-0.0173521759024147	0.922268024936619
8q	-1.89827243904735	2.62487827008283	-0.723184941824921	0.472201089164275	-0.0185994639244462	0.922268024936619
7q	-4.09882939106101	6.11992485440343	-0.669751588226089	0.505425450666753	-0.0197758068282785	0.922268024936619
5q	-4.11349669713843	6.25945446963856	-0.657165367539762	0.51343103454714	-0.0200401347731631	0.922268024936619
18q	2.78491301759367	4.65789525796431	0.597890863439208	0.552022649919823	-0.0212192313730559	0.922268024936619
22q	-2.85510929712588	4.88610964945419	-0.584331810368769	0.56105126146609	-0.021473654642131	0.922268024936619
16p	2.03090158126678	4.09848936290158	0.495524424108538	0.621927232410456	-0.0229984065461253	0.922268024936619
9q	-2.57789617134307	5.21774057222606	-0.494063692063413	0.622952705584117	-0.0230214245014653	0.922268024936619
6p	1.49735970220632	3.15643972963295	0.474382478508609	0.636841808096293	-0.0233250286587228	0.922268024936619
9p	-1.43810109097965	3.35421337160988	-0.428744665784162	0.669548729719178	-0.0239821744625566	0.922268024936619
7p	-2.23591345191507	5.36194827671865	-0.416996460339483	0.678076416681586	-0.0241407159907057	0.922268024936619
5p	-1.40993530614996	3.54596933158356	-0.397616328373688	0.692236139801106	-0.02439272501948	0.922268024936619
20p	1.28386743527	3.35300675948617	0.382900342099742	0.703062463096867	-0.0245761524637342	0.922268024936619
10p	1.20020017747409	3.26349122779156	0.36776571275979	0.71426141677297	-0.0247576480244875	0.922268024936619
14q	-1.89989471437411	5.26447679747934	-0.360889559867334	0.719370529006212	-0.0248377099315993	0.922268024936619
10q	-2.11849371347578	6.04169198143551	-0.350645766117395	0.727005659801527	-0.0249542026766185	0.922268024936619
12q	1.82914115430596	5.71034254454736	0.320320740837614	0.749768695226358	-0.025279537680214	0.922268024936619
1q	-1.48957956208879	5.33182676484628	-0.279375086210576	0.780857858215757	-0.0256724284677621	0.922268024936619
11p	1.32266454524284	5.49356910309765	0.240765979351571	0.810506121846354	-0.0259939769171271	0.922268024936619
1p	1.95931717939523	8.22494190954261	0.23821653708241	0.812474212444164	-0.0260135358327769	0.922268024936619
11q	0.94726501226525	4.72613172873842	0.200431360494074	0.841778796860453	-0.0262790808178728	0.930387091266817
18p	-0.333719190110375	3.92641391747201	-0.0849933799962784	0.932531975446191	-0.0268073762073493	0.994736024871193
13q	-0.179454059465314	3.49064772215339	-0.0514099599127144	0.959158971033021	-0.0268808683649397	0.994736024871193
19p	-0.108046392895514	4.12508025723944	-0.0261925553341405	0.979185254441731	-0.0269122670613164	0.994736024871193
2q	-0.0442958181450553	6.68789339254823	-0.00662328412627068	0.994736024871193	-0.0269225711892143	0.994736024871193
