estimate	std_error	t_value	p_values	r_sq	FDR
2p	1.30431697921241	0.441965980149986	2.95117053753725	0.0048457318467718	0.115980230549822	0.196890849791284
12p	0.913122723198806	0.354022244802256	2.57928064296876	0.0129528188483827	0.0833101077205664	0.196890849791284
Xq	-1.4540364825815	0.570929273709921	-2.54678915504387	0.0140636321279489	0.0805584647438997	0.196890849791284
9q	-1.53431501853197	0.710411562475403	-2.15975513290592	0.0357122987950563	0.0493488805420901	0.374979137348091
20q	0.987295108837217	0.506807937626366	1.94806559948767	0.057147167095471	0.0336907622243536	0.480036203601956
21q	-1.1240468511372	0.675503261875942	-1.66401395015563	0.102492918425649	0.014539321086724	0.531861112519949
2q	1.37612038364819	0.841488229792252	1.63534121444328	0.108386185797327	0.0127352129953878	0.531861112519949
10p	-0.645491178781934	0.405113286671494	-1.59335968485616	0.117510561795894	0.0101387301430617	0.531861112519949
Xp	-0.830204177178033	0.521222898809624	-1.59280065989822	0.11763613261781	0.010104520077556	0.531861112519949
4q	-1.0271214089926	0.660977214771762	-1.55394374577234	0.126633598219035	0.00775038453835075	0.531861112519949
4p	-0.879852030846437	0.626183692525071	-1.40510211516121	0.16629933651404	-0.000822869292744111	0.586402528690887
12q	0.793665396848368	0.566537070316697	1.40090638094469	0.167543579625968	-0.00105407743153063	0.586402528690887
10q	-0.847946503360784	0.63191295536125	-1.34187231986094	0.185822789019723	-0.00424474783245299	0.600350549140644
22q	-0.818835765653459	0.647758058368703	-1.26410741645668	0.212171896964854	-0.00826692473796742	0.624858075622576
16q	-0.715652971268513	0.609997762828958	-1.17320589496847	0.246384826279935	-0.0127012832345648	0.624858075622576
21p	-0.815677553568486	0.702399872248413	-1.16127235467379	0.251157108850802	-0.0132616256506541	0.624858075622576
3q	-0.623205881728658	0.538682095443273	-1.15690847533336	0.252918744894852	-0.0134652557208264	0.624858075622576
15q	-0.671490644577978	0.610462234452884	-1.09997081994726	0.276719636941949	-0.016058999725802	0.645679152864549
17q	-0.473579195037167	0.605555942062612	-0.782056887137607	0.437944047250753	-0.0283128100683332	0.835692952589387
17p	-0.470925135288153	0.610354105245821	-0.771560527308139	0.444079848804849	-0.0286509274257007	0.835692952589387
7q	0.423409861763272	0.574523904244506	0.736975186994269	0.464651694663624	-0.0297341861862297	0.835692952589387
1p	0.622092290355304	0.879603556711437	0.707241672238244	0.482766497941968	-0.0306274853313917	0.835692952589387
20p	0.268768300495289	0.403212632077855	0.666567163608589	0.508175196313893	-0.0317922387783423	0.835692952589387
18q	-0.363272726416955	0.563637360008549	-0.644514988168005	0.522247530266356	-0.0323959250358019	0.835692952589387
1q	0.44255128742235	0.702249317372112	0.630191125109842	0.531497578070529	-0.0327775305997786	0.835692952589387
9p	0.235801430282807	0.378833640338855	0.622440578592465	0.536538188275139	-0.0329805539827432	0.835692952589387
6p	-0.250368252086546	0.402924243785375	-0.62137797848647	0.537231183807463	-0.033008198830857	0.835692952589387
5q	-0.325566533117368	0.607754334987477	-0.535687718499081	0.594597688180096	-0.0350862737644873	0.891896532270144
16p	0.233611699903951	0.563762644845392	0.414379530179793	0.680404656305088	-0.0375123570078333	0.975643844598593
3p	-0.278265156319341	0.7427542326745	-0.37463961035586	0.709545072124996	-0.0381743745767884	0.975643844598593
14q	0.204483622561563	0.605701357939051	0.337598091669029	0.737108096541506	-0.0387320467645251	0.975643844598593
8q	-0.0767894936207728	0.306598640905929	-0.250456079628655	0.803281860418678	-0.039816964363778	0.975643844598593
11p	-0.120947232825077	0.661971527373925	-0.182707605725704	0.855781305287001	-0.0404392884437021	0.975643844598593
8p	0.0644822916906263	0.367072898817805	0.175666173935199	0.861280162088673	-0.0404928365909203	0.975643844598593
19p	-0.0780115899593605	0.566786754911795	-0.137638343315734	0.891090288431529	-0.0407457333991057	0.975643844598593
13q	0.0502304576451445	0.419185716024092	0.11982864807888	0.905108858294236	-0.0408430976122731	0.975643844598593
6q	0.0575470411763729	0.541243970281602	0.106323662407605	0.915759663659936	-0.0409079586898191	0.975643844598593
19q	0.0675737598921939	0.650529544534426	0.103875005309029	0.917692544294748	-0.0409188901595712	0.975643844598593
11q	-0.0502309701711924	0.636421661478784	-0.0789271849334545	0.937411989849703	-0.0410157579969161	0.975643844598593
18p	0.0259523476639076	0.559038086819616	0.0464232192327919	0.963161619448543	-0.041102315398861	0.975643844598593
5p	0.0132121976950301	0.420504465817039	0.0314198748623486	0.975062324548239	-0.041127129397279	0.975643844598593
7p	0.0165494158653305	0.539298002968161	0.0306869592956894	0.975643844598593	-0.0411280965446932	0.975643844598593
